日期,时段,计划购电量kWh,充电量kWh,放电量kWh,计划净供给kWh,净负载预测kWh,紧急购电量kWh
2025-02-01,0:10,1299.6116,833.3333,0.0000,466.2783,435.8276,0.0000
2025-02-01,0:20,1303.9971,833.3333,0.0000,470.6637,442.0721,0.0000
2025-02-01,0:30,496.8598,0.0000,0.0000,496.8598,462.0170,0.0000
2025-02-01,0:40,486.5780,0.0000,0.0000,486.5780,452.5108,0.0000
2025-02-01,0:50,496.1706,0.0000,0.0000,496.1706,458.4912,0.0000
2025-02-01,1:00,522.0488,0.0000,0.0000,522.0488,482.1331,0.0000
2025-02-01,1:10,514.5157,0.0000,0.0000,514.5157,476.8691,0.0000
2025-02-01,1:20,512.1221,0.0000,0.0000,512.1221,462.6185,0.0000
2025-02-01,1:30,505.4368,0.0000,0.0000,505.4368,464.5722,0.0000
2025-02-01,1:40,513.9116,0.0000,0.0000,513.9116,486.9059,0.0000
2025-02-01,1:50,532.4065,0.0000,0.0000,532.4065,499.1436,0.0000
2025-02-01,2:00,544.0614,0.0000,0.0000,544.0614,488.0205,0.0000
2025-02-01,2:10,509.5054,0.0000,0.0000,509.5054,470.7911,0.0000
2025-02-01,2:20,528.3352,0.0000,0.0000,528.3352,481.5322,0.0000
2025-02-01,2:30,584.5643,0.0000,0.0000,584.5643,506.1226,0.0000
2025-02-01,2:40,553.0726,0.0000,0.0000,553.0726,501.7456,0.0000
2025-02-01,2:50,569.5322,0.0000,0.0000,569.5322,515.8524,0.0000
2025-02-01,3:00,587.9451,0.0000,0.0000,587.9451,540.9179,0.0000
2025-02-01,3:10,553.6232,0.0000,0.0000,553.6232,519.6712,0.0000
2025-02-01,3:20,532.1838,0.0000,0.0000,532.1838,505.2611,0.0000
2025-02-01,3:30,552.8476,0.0000,0.0000,552.8476,509.6998,0.0000
2025-02-01,3:40,554.8478,0.0000,0.0000,554.8478,496.2466,0.0000
2025-02-01,3:50,569.0130,0.0000,0.0000,569.0130,508.2877,0.0000
2025-02-01,4:00,592.7198,0.0000,0.0000,592.7198,535.8315,0.0000
2025-02-01,4:10,554.6805,0.0000,0.0000,554.6805,523.1500,0.0000
2025-02-01,4:20,557.5228,0.0000,0.0000,557.5228,524.9833,0.0000
2025-02-01,4:30,605.8744,0.0000,0.0000,605.8744,549.7931,0.0000
2025-02-01,4:40,575.3965,0.0000,0.0000,575.3965,547.4431,0.0000
2025-02-01,4:50,573.3648,0.0000,0.0000,573.3648,531.8999,0.0000
2025-02-01,5:00,568.8168,0.0000,0.0000,568.8168,526.0339,0.0000
2025-02-01,5:10,563.5645,0.0000,0.0000,563.5645,539.4481,0.0000
2025-02-01,5:20,613.8151,0.0000,0.0000,613.8151,560.4011,0.0000
2025-02-01,5:30,635.1002,0.0000,0.0000,635.1002,570.7458,0.0000
2025-02-01,5:40,1448.8123,833.3333,0.0000,615.4789,558.7355,0.0000
2025-02-01,5:50,605.1318,0.0000,0.0000,605.1318,542.6027,0.0000
2025-02-01,6:00,0.0000,0.0000,589.1055,589.1055,540.0563,0.0000
2025-02-01,6:10,0.0000,0.0000,585.1735,585.1735,553.1365,0.0000
2025-02-01,6:20,0.0000,0.0000,592.5533,592.5533,556.0976,0.0000
2025-02-01,6:30,0.0000,0.0000,597.9235,597.9235,546.9193,0.0000
2025-02-01,6:40,0.0000,0.0000,589.3114,589.3114,548.1465,0.0000
2025-02-01,6:50,0.0000,0.0000,623.7343,623.7343,575.5778,0.0000
2025-02-01,7:00,0.0000,0.0000,629.7428,629.7428,589.3525,0.0000
2025-02-01,7:10,0.0000,0.0000,616.5089,616.5089,556.9322,0.0000
2025-02-01,7:20,244.4958,0.0000,305.2661,549.7619,494.2783,0.0000
2025-02-01,7:30,477.8377,0.0000,0.0000,477.8377,433.6031,0.0000
2025-02-01,7:40,447.2348,0.0000,0.0000,447.2348,396.7143,0.0000
2025-02-01,7:50,0.0000,0.0000,445.9491,445.9491,356.2594,0.0000
2025-02-01,8:00,0.0000,0.0000,542.8641,542.8641,300.2536,0.0000
2025-02-01,8:10,0.0000,0.0000,466.4375,466.4375,242.5049,0.0000
2025-02-01,8:20,0.0000,0.0000,405.9234,405.9234,189.0131,0.0000
2025-02-01,8:30,0.0000,0.0000,372.0579,372.0579,137.7351,0.0000
2025-02-01,8:40,0.0000,0.0000,311.2159,311.2159,89.9481,0.0000
2025-02-01,8:50,0.0000,0.0000,288.4871,288.4871,80.8329,0.0000
2025-02-01,9:00,0.0000,0.0000,250.1934,250.1934,96.6829,0.0000
2025-02-01,9:10,0.0000,0.0000,222.5805,222.5805,77.6678,0.0000
2025-02-01,9:20,0.0000,0.0000,184.3329,184.3329,11.1356,0.0000
2025-02-01,9:30,0.0000,0.0000,20.6388,20.6388,-58.4790,0.0000
2025-02-01,9:40,0.0000,0.0000,0.0000,0.0000,-74.2550,0.0000
2025-02-01,9:50,0.0000,0.0000,0.0000,0.0000,-104.3830,0.0000
2025-02-01,10:00,0.0000,0.0000,0.0000,0.0000,-167.2126,0.0000
2025-02-01,10:10,0.0000,28.1121,0.0000,-28.1121,-213.3753,0.0000
2025-02-01,10:20,0.0000,85.0167,0.0000,-85.0167,-248.2827,0.0000
2025-02-01,10:30,0.0000,99.6487,0.0000,-99.6487,-274.0285,0.0000
