name,days,initial_energy_kwh,final_energy_kwh,first_residual_index,seconds,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,g_kwh,c_kwh,d_kwh,emergency_kwh,dump_kwh,h1_cost_yuan,h2_cost_yuan,saving_yuan,saving_percent,group,relative_folder,saving_vs_original_yuan
uniform56,334,8550.0,6000.0,0,34.93219041824341,13508190.545332529,893806.4311245969,14401996.976457125,22170625.758447576,6901766.497352803,5592725.862855772,237775.35158211715,3160170.980565994,6012618.079453788,8389378.897003334,0.0,0.0,原样本口径,variants/uniform56,0.0
half_life7,334,8550.0,6000.0,0,34.24528503417969,13470128.131792096,974247.9033752716,14444376.035167366,22111552.851534363,6890553.082595713,5583642.996902529,258228.71469033495,3123681.9855648456,6023393.762919887,8420982.27224748,-42379.05871024355,-0.2942582114099898,原样本口径,variants/half_life7,-42379.05871024169
half_life14,334,8550.0,6000.0,0,34.89518356323242,13482107.627641631,922163.9430474244,14404271.570689056,22131589.05864685,6892364.699372524,5585110.406491745,244460.9241468143,3129606.194946219,6005749.95374481,8398521.616944248,-2274.594231933356,-0.0157936030374928,原样本口径,variants/half_life14,-2274.5942319314927
half_life28,334,8550.0,6000.0,0,36.09665131568909,13495016.592288936,896363.5120186732,14391380.104307609,22150116.906307697,6893998.790188735,5586434.020052876,237997.1386724787,3141359.7798776515,6001276.980195867,8390103.124111742,10616.872149515895,0.0737180556756903,原样本口径,variants/half_life28,10616.872149515897
online_primary,334,8550.0,6000.0,0,35.54053068161011,13461261.911911566,938748.637330654,14400010.54924222,22099181.128222287,6884711.037492156,5578910.940368647,248441.61982545335,3102633.1559575647,6008462.367029894,8391548.182212327,1986.4272149018943,0.0137927206772025,原样本口径,variants/online_primary,1986.427214903757
uniform28,334,8550.0,6000.0,0,18.1434805393219,13491490.175840508,952048.0330068646,14443538.208847374,22152013.390717834,6895229.334029129,5587430.760563595,250845.9935469324,3155871.3158325646,6020982.19961869,8422556.009228684,,,短窗口扩展,extensions/short_windows/variants/uniform28,-41541.23239024915
uniform42,334,8550.0,6000.0,0,26.18767881393433,13495066.672733836,912327.6561954364,14407394.328929272,22152980.459383477,6898239.836577864,5589869.267628072,241795.1144369293,3147215.5099039413,6009295.746167048,8398098.582762225,,,短窗口扩展,extensions/short_windows/variants/uniform42,-5397.352472146973
online_extended,334,8550.0,6000.0,0,34.43478965759277,13466618.198390877,927464.9989936216,14394083.1973845,22106071.329171933,6886527.800866292,5580382.518701697,245567.7892951588,3106304.341335828,6003924.415393526,8390158.781990975,,,短窗口扩展,extensions/short_windows/variants/online_extended,7913.7790726237
uniform56,334,8550.0,6000.0,7,36.32062482833862,13462061.301981028,927073.78013718,14389135.082118206,22098240.81750527,6888505.95482122,5581984.8234051885,246063.2534775549,3098593.4446001286,5999756.185114872,8389378.897003334,0.0,0.0,排除回退残差,sensitivity/valid_residuals/variants/uniform56,12861.89433891885
half_life28,334,8550.0,6000.0,7,35.90275049209595,13472941.893124571,917089.2329394928,14390031.126064064,22116641.460054256,6889665.72781549,5582924.239530547,243038.84065268844,3113749.317455333,5999928.001952322,8390103.124111742,-896.043945858255,-0.0062272258947085,排除回退残差,sensitivity/valid_residuals/variants/half_life28,11965.850393060595
online_primary,334,8550.0,6000.0,7,35.49225616455078,13458905.330530722,940311.1772119858,14399216.507742709,22097049.62024897,6884284.222049883,5578565.219860405,248532.83084844812,3100673.953941271,6007668.32553038,8391548.182212327,-10081.42562450096,-0.0700627630984536,排除回退残差,sensitivity/valid_residuals/variants/online_primary,2780.468714416027
