date,span,original_kwh,adjusted_kwh
2025-03-20,10:00-10:10,0.0,0.0
2025-03-20,12:00-12:10,545.4131086295023,545.4131086295023
2025-03-20,14:00-14:10,0.0,0.0
2025-03-20,16:00-16:10,525.4867027766089,525.4867027766089
2025-03-20,18:00-18:10,-0.0,0.0
2025-03-20,20:00-20:10,719.4977541666667,719.4977541666667
2025-06-21,10:00-10:10,0.0,0.0
2025-06-21,12:00-12:10,0.0,0.0
2025-06-21,14:00-14:10,0.0,0.0
2025-06-21,16:00-16:10,192.83771734665484,134.07310348186775
2025-06-21,18:00-18:10,453.0507315552375,453.0507315552375
2025-06-21,20:00-20:10,0.0,0.0
2025-09-23,10:00-10:10,0.0,0.0
2025-09-23,12:00-12:10,456.64911862235556,306.14270192626014
2025-09-23,14:00-14:10,0.0,0.0
2025-09-23,16:00-16:10,536.2096067734667,536.2096067734667
2025-09-23,18:00-18:10,0.0,0.0
2025-09-23,20:00-20:10,0.0,0.0
2025-12-21,10:00-10:10,0.0,0.0
2025-12-21,12:00-12:10,918.2622481684166,918.2622481684166
2025-12-21,14:00-14:10,0.0,0.0
2025-12-21,16:00-16:10,843.1468195421941,844.0129948705594
2025-12-21,18:00-18:10,703.4101574697179,703.4101574697179
2025-12-21,20:00-20:10,0.0,0.0
