日期,时段,计划购电量kWh,充电量kWh,放电量kWh,计划净供给kWh,净负载预测kWh,紧急购电量kWh,储电量kWh
2025-02-01,00:10,1294.6709,833.3333,0.0000,461.3376,435.8276,0.0000,
2025-02-01,00:20,1301.5663,833.3333,0.0000,468.2330,442.0721,0.0000,
2025-02-01,00:30,484.6255,-0.0000,0.0000,484.6255,462.0170,0.0000,
2025-02-01,00:40,479.0944,0.0000,0.0000,479.0944,452.5108,0.0000,
2025-02-01,00:50,480.3135,0.0000,0.0000,480.3135,458.4912,0.0000,
2025-02-01,01:00,498.4794,0.0000,0.0000,498.4794,482.1331,0.0000,
2025-02-01,01:10,502.1397,0.0000,0.0000,502.1397,476.8691,0.0000,
2025-02-01,01:20,493.0571,0.0000,0.0000,493.0571,462.6185,0.0000,
2025-02-01,01:30,492.3914,0.0000,0.0000,492.3914,464.5722,0.0000,
2025-02-01,01:40,503.4240,0.0000,0.0000,503.4240,486.9059,0.0000,
2025-02-01,01:50,515.3066,0.0000,0.0000,515.3066,499.1436,0.0000,
2025-02-01,02:00,507.6476,0.0000,0.0000,507.6476,488.0205,0.0000,
2025-02-01,02:10,495.9920,0.0000,0.0000,495.9920,470.7911,0.0000,
2025-02-01,02:20,510.3575,0.0000,0.0000,510.3575,481.5322,0.0000,
2025-02-01,02:30,528.4099,0.0000,0.0000,528.4099,506.1226,0.0000,
2025-02-01,02:40,544.1105,0.0000,0.0000,544.1105,501.7456,0.0000,
2025-02-01,02:50,569.5322,0.0000,0.0000,569.5322,515.8524,0.0000,
2025-02-01,03:00,579.2298,0.0000,0.0000,579.2298,540.9179,0.0000,
2025-02-01,03:10,545.6648,0.0000,0.0000,545.6648,519.6712,0.0000,
2025-02-01,03:20,520.3827,0.0000,0.0000,520.3827,505.2611,0.0000,
2025-02-01,03:30,537.7171,0.0000,0.0000,537.7171,509.6998,0.0000,
2025-02-01,03:40,526.9569,0.0000,0.0000,526.9569,496.2466,0.0000,
2025-02-01,03:50,526.3575,0.0000,0.0000,526.3575,508.2877,0.0000,
2025-02-01,04:00,550.2827,0.0000,0.0000,550.2827,535.8315,0.0000,
2025-02-01,04:10,535.9850,0.0000,0.0000,535.9850,523.1500,0.0000,
2025-02-01,04:20,533.9477,0.0000,0.0000,533.9477,524.9833,0.0000,
2025-02-01,04:30,574.8810,0.0000,0.0000,574.8810,549.7931,0.0000,
2025-02-01,04:40,569.4042,0.0000,0.0000,569.4042,547.4431,0.0000,
2025-02-01,04:50,553.3024,0.0000,0.0000,553.3024,531.8999,0.0000,
2025-02-01,05:00,561.6445,0.0000,0.0000,561.6445,526.0339,0.0000,
2025-02-01,05:10,556.9692,0.0000,0.0000,556.9692,539.4481,0.0000,
2025-02-01,05:20,606.9228,0.0000,0.0000,606.9228,560.4011,0.0000,
2025-02-01,05:30,599.9762,0.0000,0.0000,599.9762,570.7458,0.0000,
2025-02-01,05:40,1420.0404,833.3333,0.0000,586.7071,558.7355,0.0000,
