period,interval,start_minute,end_minute,price_yuan_per_kwh,load_kw,pv_kw,load_kwh,pv_kwh,grid_kwh,charge_kwh,discharge_kwh,curtailment_kwh,energy_start_kwh,energy_end_kwh,soc_end,cost_yuan,no_storage_grid_kwh,no_storage_cost_yuan,mode
1,0:00-0:10,0,10,0.4248,3439.8466,0.0,573.3077666666666,0.0,1406.6410999999998,833.3333333333333,0.0,0.0,6000.0,6750.0,0.5625,597.5411392799999,573.3077666666666,243.54113927999995,充电
2,0:10-0:20,10,20,0.4245,3437.9792,0.0,572.9965333333333,0.0,1406.3298666666665,833.3333333333333,0.0,0.0,6750.0,7500.0,0.625,596.9870283999999,572.9965333333333,243.23702839999999,充电
3,0:20-0:30,20,30,0.4269,3444.3031,0.0,574.0505166666667,0.0,1407.38385,833.3333333333333,0.0,0.0,7500.0,8250.0,0.6875,600.812165565,574.0505166666667,245.06216556500002,充电
4,0:30-0:40,30,40,0.4272,3454.4437,0.0,575.7406166666666,0.0,1409.07395,833.3333333333333,0.0,0.0,8250.0,9000.0,0.75,601.9563914400001,575.7406166666666,245.95639143999998,充电
5,0:40-0:50,40,50,0.4271,3458.8273,0.0,576.4712166666666,0.0,1409.8045499999998,833.3333333333333,0.0,0.0,9000.0,9750.0,0.8125,602.127523305,576.4712166666666,246.2108566383333,充电
6,0:50-1:00,50,60,0.4285,3459.8401,0.0,576.6400166666666,0.0,576.6400166666666,0.0,0.0,0.0,9750.0,9750.0,0.8125,247.09024714166665,576.6400166666666,247.09024714166665,待机
7,1:00-1:10,60,70,0.4311,3467.1582,0.0,577.8597,0.0,577.8597,0.0,0.0,0.0,9750.0,9750.0,0.8125,249.11531666999997,577.8597,249.11531666999997,待机
8,1:10-1:20,70,80,0.4302,3467.9632,0.0,577.9938666666667,0.0,577.9938666666667,0.0,0.0,0.0,9750.0,9750.0,0.8125,248.65296144,577.9938666666667,248.65296144,待机
9,1:20-1:30,80,90,0.4279,3466.9683,0.0,577.82805,0.0,911.1613833333333,333.3333333333333,0.0,0.0,9750.0,10050.0,0.8375,389.8859559283333,577.82805,247.252622595,充电
10,1:30-1:40,90,100,0.4312,3482.4927,0.0,580.41545,0.0,580.41545,0.0,0.0,0.0,10050.0,10050.0,0.8375,250.27514204,580.41545,250.27514204,待机
11,1:40-1:50,100,110,0.4333,3495.0841,0.0,582.5140166666666,0.0,582.5140166666666,0.0,0.0,0.0,10050.0,10050.0,0.8375,252.40332342166667,582.5140166666666,252.40332342166667,待机
12,1:50-2:00,110,120,0.4311,3498.4443,0.0,583.0740499999999,0.0,583.0740499999999,0.0,0.0,0.0,10050.0,10050.0,0.8375,251.36322295499997,583.0740499999999,251.36322295499997,待机
13,2:00-2:10,120,130,0.4293,3505.2295,0.0,584.2049166666666,0.0,584.2049166666666,0.0,0.0,0.0,10050.0,10050.0,0.8375,250.79917072499998,584.2049166666666,250.79917072499998,待机
14,2:10-2:20,130,140,0.4324,3512.6387,0.0,585.4397833333333,0.0,585.4397833333333,0.0,0.0,0.0,10050.0,10050.0,0.8375,253.1441623133333,585.4397833333333,253.1441623133333,待机
15,2:20-2:30,140,150,0.4367,3516.8685,0.0,586.1447499999999,0.0,586.1447499999999,0.0,0.0,0.0,10050.0,10050.0,0.8375,255.96941232499995,586.1447499999999,255.96941232499995,待机
16,2:30-2:40,150,160,0.4348,3517.9246,0.0,586.3207666666666,0.0,586.3207666666666,0.0,0.0,0.0,10050.0,10050.0,0.8375,254.93226934666666,586.3207666666666,254.93226934666666,待机
17,2:40-2:50,160,170,0.4335,3518.5518,0.0,586.4253,0.0,586.4253,0.0,0.0,0.0,10050.0,10050.0,0.8375,254.21536755,586.4253,254.21536755,待机
18,2:50-3:00,170,180,0.4357,3521.0976,0.0,586.8496,0.0,586.8496,0.0,0.0,0.0,10050.0,10050.0,0.8375,255.69037072,586.8496,255.69037072,待机
19,3:00-3:10,180,190,0.4374,3526.9261,0.0,587.8210166666667,0.0,587.8210166666667,0.0,0.0,0.0,10050.0,10050.0,0.8375,257.11291269,587.8210166666667,257.11291269,待机
20,3:10-3:20,190,200,0.4371,3537.2854,0.0,589.5475666666666,0.0,589.5475666666666,0.0,0.0,0.0,10050.0,10050.0,0.8375,257.69124138999996,589.5475666666666,257.69124138999996,待机
21,3:20-3:30,200,210,0.4356,3544.8808,0.0,590.8134666666666,0.0,590.8134666666666,0.0,0.0,0.0,10050.0,10050.0,0.8375,257.35834608,590.8134666666666,257.35834608,待机
22,3:30-3:40,210,220,0.4353,3541.2787,0.0,590.2131166666666,0.0,590.2131166666666,0.0,0.0,0.0,10050.0,10050.0,0.8375,256.91976968499995,590.2131166666666,256.91976968499995,待机
23,3:40-3:50,220,230,0.436,3546.3976,0.0,591.0662666666666,0.0,591.0662666666666,0.0,0.0,0.0,10050.0,10050.0,0.8375,257.70489226666666,591.0662666666666,257.70489226666666,待机
24,3:50-4:00,230,240,0.4378,3560.207,0.0,593.3678333333332,0.0,593.3678333333332,0.0,0.0,0.0,10050.0,10050.0,0.8375,259.7764374333333,593.3678333333332,259.7764374333333,待机
25,4:00-4:10,240,250,0.4401,3561.9581,0.0,593.6596833333333,0.0,593.6596833333333,0.0,0.0,0.0,10050.0,10050.0,0.8375,261.269626635,593.6596833333333,261.269626635,待机
26,4:10-4:20,250,260,0.4389,3556.7183,0.0,592.7863833333333,0.0,592.7863833333333,0.0,0.0,0.0,10050.0,10050.0,0.8375,260.173943645,592.7863833333333,260.173943645,待机
