date,method,lp_status,lp_message,lp_objective_yuan,expected_cost_yuan,cleanup_objective_difference_yuan,cleanup_state_max_abs_kwh,simultaneous_periods_before_cleanup,simultaneous_periods_after_cleanup,horizon_periods,scenario_count,planning_initial_kwh,planning_terminal_kwh,seconds,latest_input_date,scenario_first_origin,scenario_last_origin,scenario_last_observed_date
2025-02-01,stochastic_48h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),85709.80093925515,85709.8009392551,-4.3655745685100555e-11,3.637978807091713e-12,0,0,288,23,6000.0,6000.0,0.07926820000284351,2025-01-31,2025-01-08,2025-01-30,2025-01-31
2025-02-01,deterministic_48h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),77590.72621216142,77590.72621216145,2.9103830456733704e-11,3.637978807091713e-12,0,0,288,1,6000.0,6000.0,0.011982099997112527,2025-01-31,2025-01-08,2025-01-30,2025-01-31
2025-02-01,stochastic_24h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),25917.19746988785,25917.197469887855,3.637978807091713e-12,3.637978807091713e-12,0,0,144,23,6000.0,6000.0,0.04083699999318924,2025-01-31,2025-01-08,2025-01-30,2025-01-31
2025-02-02,stochastic_48h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),118331.58406215046,118331.58406215045,-1.4551915228366852e-11,5.4569682106375694e-12,0,0,288,24,8550.0,6000.0,0.08284420000563841,2025-02-01,2025-01-08,2025-01-31,2025-02-01
2025-02-02,deterministic_48h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),109528.54426533561,109528.54426533561,0.0,5.4569682106375694e-12,0,0,288,1,8549.999999999998,6000.0,0.010934200006886385,2025-02-01,2025-01-08,2025-01-31,2025-02-01
2025-02-02,stochastic_24h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),60116.62169692352,60116.62169692351,-7.275957614183426e-12,3.637978807091713e-12,0,0,144,24,5999.999999999999,6000.0,0.03765019999991637,2025-02-01,2025-01-08,2025-01-31,2025-02-01
2025-02-03,stochastic_48h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),117520.80900535185,117520.80900535171,-1.4551915228366852e-10,3.637978807091713e-12,0,0,288,25,8550.000000000004,6000.0,0.07903770000848453,2025-02-02,2025-01-08,2025-02-01,2025-02-02
2025-02-03,deterministic_48h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),108839.48670073267,108839.48670073265,-1.4551915228366852e-11,7.275957614183426e-12,0,0,288,1,8549.999999999998,6000.0,0.013616199998068623,2025-02-02,2025-01-08,2025-02-01,2025-02-02
2025-02-03,stochastic_24h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),59625.65919348561,59625.65919348557,-4.3655745685100555e-11,4.547473508864641e-12,0,0,144,25,6000.000000000002,6000.0,0.0389603000076022,2025-02-02,2025-01-08,2025-02-01,2025-02-02
2025-02-04,stochastic_48h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),117173.71023322947,117173.71023322962,1.4551915228366852e-10,3.637978807091713e-12,0,0,288,26,8550.000000000004,6000.0,0.09978020000562537,2025-02-03,2025-01-08,2025-02-02,2025-02-03
2025-02-04,deterministic_48h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),108644.49497979549,108644.49497979549,0.0,9.094947017729282e-12,0,0,288,1,8549.999999999995,6000.0,0.01108899999235291,2025-02-03,2025-01-08,2025-02-02,2025-02-03
2025-02-04,stochastic_24h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),59466.73660591251,59466.73660591243,-8.003553375601768e-11,5.4569682106375694e-12,0,0,144,26,6000.000000000005,6000.0,0.04225699999369681,2025-02-03,2025-01-08,2025-02-02,2025-02-03
2025-02-05,stochastic_48h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),117390.84551340435,117390.84551340455,2.0372681319713593e-10,3.637978807091713e-12,0,0,288,27,8550.000000000004,6000.0,0.08922449999954551,2025-02-04,2025-01-08,2025-02-03,2025-02-04
2025-02-05,deterministic_48h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),108877.46900130689,108877.46900130695,5.820766091346741e-11,1.1823431123048067e-11,0,0,288,1,8549.999999999995,6000.0,0.011411500003305264,2025-02-04,2025-01-08,2025-02-03,2025-02-04
2025-02-05,stochastic_24h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),59421.822395179675,59421.822395179595,-8.003553375601768e-11,3.637978807091713e-12,0,0,144,27,6000.000000000003,6000.0,0.04349650000222027,2025-02-04,2025-01-08,2025-02-03,2025-02-04
2025-02-06,stochastic_48h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),83592.39149353893,83592.39149353922,2.9103830456733704e-10,3.637978807091713e-12,0,0,288,28,8550.0,6000.0,0.0978021000046283,2025-02-05,2025-01-08,2025-02-04,2025-02-05
2025-02-06,deterministic_48h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),75742.79283551314,75742.79283551313,-1.4551915228366852e-11,1.1368683772161603e-11,0,0,288,1,8549.99999999999,6000.0,0.012229100000695325,2025-02-05,2025-01-08,2025-02-04,2025-02-05
2025-02-06,stochastic_24h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),59889.22911256166,59889.22911256163,-2.9103830456733704e-11,1.8189894035458565e-12,0,0,144,28,5999.999999999999,6000.0,0.04643940000096336,2025-02-05,2025-01-08,2025-02-04,2025-02-05
2025-02-07,stochastic_48h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),48898.83298420037,48898.832984200344,-2.9103830456733704e-11,7.275957614183426e-12,0,0,288,28,8550.000000000004,6000.0,0.09091499999340158,2025-02-06,2025-01-09,2025-02-05,2025-02-06
2025-02-07,deterministic_48h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),41910.976938973865,41910.97693897387,7.275957614183426e-12,9.094947017729282e-12,0,0,288,1,8549.999999999993,6000.0,0.010374599994975142,2025-02-06,2025-01-09,2025-02-05,2025-02-06
2025-02-07,stochastic_24h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),25353.322608084043,25353.322608084014,-2.9103830456733704e-11,2.7284841053187847e-12,0,0,144,28,6000.000000000001,6000.0,0.047792900004424155,2025-02-06,2025-01-09,2025-02-05,2025-02-06
2025-02-08,stochastic_48h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),81754.30665562232,81754.30665562226,-5.820766091346741e-11,1.4551915228366852e-11,0,0,288,28,8550.000000000007,6000.0,0.09981840000546072,2025-02-07,2025-01-10,2025-02-06,2025-02-07
2025-02-08,deterministic_48h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),74346.21125706249,74346.2112570625,1.4551915228366852e-11,3.637978807091713e-12,0,0,288,1,8529.949523507623,6000.0,0.011962899996433407,2025-02-07,2025-01-10,2025-02-06,2025-02-07
2025-02-08,stochastic_24h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),24586.341481844855,24586.341481844847,-7.275957614183426e-12,1.8189894035458565e-12,0,0,144,28,6000.000000000003,6000.0,0.04486270000052173,2025-02-07,2025-01-10,2025-02-06,2025-02-07
2025-02-09,stochastic_48h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),114759.39928745925,114759.39928745925,0.0,1.3642420526593924e-11,0,0,288,28,8550.000000000011,6000.0,0.09971930000756402,2025-02-08,2025-01-11,2025-02-07,2025-02-08
2025-02-09,deterministic_48h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),106790.68691542164,106790.6869154217,5.820766091346741e-11,3.637978807091713e-12,0,0,288,1,8550.000000000002,6000.0,0.012610899997525848,2025-02-08,2025-01-11,2025-02-07,2025-02-08
2025-02-09,stochastic_24h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),58054.78890697884,58054.78890697882,-2.1827872842550278e-11,1.8189894035458565e-12,0,0,144,28,6000.000000000001,6000.0,0.04154049999488052,2025-02-08,2025-01-11,2025-02-07,2025-02-08
2025-02-10,stochastic_48h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),115331.86131334801,115331.86131334805,4.3655745685100555e-11,2.7284841053187847e-12,0,0,288,28,8550.000000000011,6000.0,0.09361039999930654,2025-02-09,2025-01-12,2025-02-08,2025-02-09
2025-02-10,deterministic_48h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),107451.73901821743,107451.73901821741,-1.4551915228366852e-11,3.637978807091713e-12,0,0,288,1,8550.0,6000.0,0.01082239999959711,2025-02-09,2025-01-12,2025-02-08,2025-02-09
2025-02-10,stochastic_24h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),58503.883185996565,58503.88318599664,7.275957614183426e-11,1.8189894035458565e-12,0,0,144,28,6000.0,6000.0,0.04541900000185706,2025-02-09,2025-01-12,2025-02-08,2025-02-09
2025-02-11,stochastic_48h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),113025.10354622755,113025.10354622759,4.3655745685100555e-11,9.094947017729282e-12,0,0,288,28,8549.999999999998,6000.0,0.09218319998763036,2025-02-10,2025-01-13,2025-02-09,2025-02-10
2025-02-11,deterministic_48h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),105273.10765818717,105273.10765818725,7.275957614183426e-11,8.185452315956354e-12,0,0,288,1,8550.0,6000.0,0.010854699998162687,2025-02-10,2025-01-13,2025-02-09,2025-02-10
2025-02-11,stochastic_24h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),57273.10615878906,57273.10615878904,-1.4551915228366852e-11,5.4569682106375694e-12,0,0,144,28,5999.999999999999,6000.0,0.046552799991331995,2025-02-10,2025-01-13,2025-02-09,2025-02-10
2025-02-12,stochastic_48h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),112268.62518958202,112268.62518958194,-7.275957614183426e-11,1.4551915228366852e-11,0,0,288,28,8549.999999999993,6000.0,0.0983494999964023,2025-02-11,2025-01-14,2025-02-10,2025-02-11
2025-02-12,deterministic_48h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),104718.6366118823,104718.6366118823,0.0,5.4569682106375694e-12,0,0,288,1,8550.000000000005,6000.0,0.012017599990940653,2025-02-11,2025-01-14,2025-02-10,2025-02-11
2025-02-12,stochastic_24h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),56901.48013210838,56901.4801321084,2.1827872842550278e-11,5.4569682106375694e-12,0,0,144,28,5999.9999999999945,6000.0,0.04542840000067372,2025-02-11,2025-01-14,2025-02-10,2025-02-11
2025-02-13,stochastic_48h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),76841.57113733873,76841.5711373386,-1.3096723705530167e-10,1.6370904631912708e-11,0,0,288,28,8549.999999999989,6000.0,0.0942631999932928,2025-02-12,2025-01-15,2025-02-11,2025-02-12
2025-02-13,deterministic_48h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),70688.4770512214,70688.47705122139,-1.4551915228366852e-11,4.092726157978177e-12,0,0,288,1,8550.000000000004,6000.0,0.01136390000465326,2025-02-12,2025-01-15,2025-02-11,2025-02-12
2025-02-13,stochastic_24h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),56117.621461891424,56117.621461891504,8.003553375601768e-11,3.637978807091713e-12,0,0,144,28,5999.999999999995,6000.0,0.04520259999844711,2025-02-12,2025-01-15,2025-02-11,2025-02-12
2025-02-14,stochastic_48h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),41126.039149942,41126.0391499421,1.0186340659856796e-10,2.7284841053187847e-12,0,0,288,28,7949.999999999986,6000.0,0.09465289999207016,2025-02-13,2025-01-16,2025-02-12,2025-02-13
