date,planned_cost_yuan,increase_cost_yuan,cancellation_refund_yuan,breach_cost_yuan,adjustment_net_yuan,emergency_cost_yuan,total_cost_yuan,original_kwh,adjusted_kwh,increase_kwh,decrease_kwh,emergency_kwh,dump_kwh,charge_kwh,discharge_kwh,energy_start_kwh,energy_end_kwh,lp_eq_max,lp_ineq_max,max_tree_nodes,raw_simultaneous_slots
2025-02-01,25867.746346148662,0.0,0.0,0.0,0.0,437.1940931606459,26304.940439309306,50162.309439261364,50162.309439261364,0.0,0.0,119.01777793650825,9145.075601795757,23489.872010888284,16731.796328819506,6000.0,8550.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-02,58080.49972787869,0.0,0.0,0.0,0.0,282.78193889483975,58363.28166677353,92142.00570839022,92142.00570839022,0.0,0.0,45.582864229025176,9120.11792891175,24795.751019513136,20084.558325805643,8550.0,8550.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-03,56283.54268707262,0.0,0.0,0.0,0.0,1066.0999967709959,57349.642683843624,89564.64971763696,89564.64971763696,0.0,0.0,289.8439309406661,4973.148000053781,24549.627097493954,19885.197948970104,8550.0,8550.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-04,55869.449262721326,0.0,0.0,0.0,0.0,4477.611366001607,60347.06062872293,89027.30129007624,89027.30129007624,0.0,0.0,1131.1097700702821,4315.335541799878,24464.271412350765,19816.059844004114,8550.0,8550.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-05,55296.97033297955,0.0,0.0,0.0,0.0,3266.3958758153817,58563.36620879494,88124.07719143288,88124.07719143288,0.0,0.0,849.6269015403107,3601.5738539254326,24335.28029323383,19711.577037519404,8550.0,8550.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-06,55113.966266960735,0.0,0.0,0.0,0.0,2452.1388985074514,57566.10516546819,87554.486601164,87554.486601164,0.0,0.0,543.1105625194365,3867.1331581976524,23681.088362205865,19721.68157338675,8550.0,7950.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-07,21976.006370734067,0.0,0.0,0.0,0.0,2297.052378762679,24273.058749496748,42613.61175023294,42613.61175023294,0.0,0.0,491.4971503836882,7442.9863756254235,20297.06767539228,16440.624817067743,7950.0,7950.0,1.8189894035458565e-12,1.1368683772161603e-13,1,0
2025-02-08,21630.371836514332,0.0,0.0,0.0,0.0,1127.8109755681621,22758.182812082494,41830.48256045676,41830.48256045676,0.0,0.0,258.2100913080918,6051.076610050891,20633.964868669947,16173.511543622655,7950.0,8550.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-09,53865.96906688713,0.0,0.0,0.0,0.0,4282.736357189355,58148.70542407649,86005.29487196435,86005.29487196435,0.0,0.0,1248.821757777805,3079.6501685751577,24310.792076317546,19691.74158181721,8550.0,8550.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-10,54455.83620024377,0.0,0.0,0.0,0.0,410.2548327012097,54866.09103294498,86898.95276713182,86898.95276713182,0.0,0.0,133.85007003968258,8048.876937687348,24512.043769214873,19854.75545306405,8550.0,8550.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-11,53740.33002091141,0.0,0.0,0.0,0.0,430.24858079841454,54170.57860170983,86015.45306110417,86015.45306110417,0.0,0.0,106.24858884593482,6259.910058995672,24427.339250637284,19786.144793016196,8550.0,8550.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-12,53276.09518610855,0.0,0.0,0.0,0.0,1586.4909845190757,54862.586170627634,85254.39311364148,85254.39311364148,0.0,0.0,378.5265473326336,5762.079431531888,24232.126821625767,19628.022725516865,8550.0,8550.0,4.547473508864641e-13,1.1368683772161603e-13,1,0
2025-02-13,52283.08911746491,0.0,0.0,0.0,0.0,677.3483117405075,52960.43742920542,83235.55490775837,83235.55490775837,0.0,0.0,246.72350815759728,8681.497645346015,22748.57184224067,19277.27008833739,8550.0,7604.525670975057,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-14,19400.353610138427,0.0,0.0,0.0,0.0,2850.185163122897,22250.538773261324,37236.74375989656,37236.74375989656,0.0,0.0,852.9496987156324,5008.304513266936,18833.29842125862,15553.711292580027,7604.525670975057,7272.592813907785,1.8189894035458565e-12,1.1368683772161603e-13,1,0
2025-02-15,19917.394245179392,0.0,0.0,0.0,0.0,1936.5955301529516,21853.989775332342,38465.51252009298,38465.51252009298,0.0,0.0,533.8439746070577,4725.5753356217365,20231.703113659503,15238.013054581203,7272.592813907785,8550.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-16,50630.42887777525,0.0,0.0,0.0,0.0,4701.886348187576,55332.315225962826,81504.81665824549,81504.81665824549,0.0,0.0,1201.4705257243688,2924.628138750179,23180.42076431406,18776.14081909439,8550.0,8550.0,1.8189894035458565e-12,1.1368683772161603e-13,1,0
2025-02-17,50508.57554965632,0.0,0.0,0.0,0.0,249.38809615930182,50757.96364581562,81443.88296475523,81443.88296475523,0.0,0.0,100.34183685941017,5949.866371393741,23213.132966074973,18802.63770252073,8550.0,8550.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-18,49777.525074617006,0.0,0.0,0.0,0.0,1900.052923830262,51677.577998447276,80561.37439070678,80561.37439070678,0.0,0.0,471.9969432919738,4530.626308646925,23217.669694834185,18806.31245281569,8550.0,8550.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-19,49835.5610243436,0.0,0.0,0.0,0.0,3944.184887387397,53779.745911731,80643.70290685969,80643.70290685969,0.0,0.0,1024.2765433325642,4382.255477612897,23191.56099603175,18785.164406785716,8550.0,8550.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-20,49055.31635560168,0.0,0.0,0.0,0.0,2092.1086693915204,51147.4250249932,78761.69418765482,78761.69418765482,0.0,0.0,498.01944635076444,5751.6856263090185,21298.391980447428,18783.497706084185,8550.0,6847.99977564248,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-21,18928.603708135248,0.0,0.0,0.0,0.0,1115.9255348221159,20044.529242957364,36263.26386980509,36263.26386980509,0.0,0.0,301.72426870560776,7846.723622083334,18025.023251246756,14867.020768152732,6847.99977564248,6551.6087371504145,1.8189894035458565e-12,1.1368683772161603e-13,1,0
2025-02-22,19626.366687587513,0.0,0.0,0.0,0.0,1855.0119310429313,21481.37861863045,38123.75516515904,38123.75516515904,0.0,0.0,473.18293008646316,5119.42553640872,20179.987047046427,14547.237371542979,6551.6087371504145,8550.0,1.8189894035458565e-12,1.1368683772161603e-13,1,0
2025-02-23,48700.53144372019,0.0,0.0,0.0,0.0,3639.7096499275863,52340.241093647775,79022.65859070813,79022.65859070813,0.0,0.0,1076.57580231665,4154.242860228533,23227.041312962727,18813.90346349981,8550.0,8550.0,4.547473508864641e-13,1.1368683772161603e-13,1,0
2025-02-24,48402.41063603627,0.0,0.0,0.0,0.0,1413.335993995366,49815.74663003163,78729.1432316317,78729.1432316317,0.0,0.0,314.8131861168088,6418.697878766823,23274.8680121843,18852.643089869278,8550.0,8550.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-25,48167.49928588932,0.0,0.0,0.0,0.0,1333.0109229560276,49500.51020884534,78339.8503342814,78339.8503342814,0.0,0.0,335.80078250283543,8432.702157748681,23271.71434580108,18850.08862009887,8550.0,8550.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
