日期,时间段,充电量_kWh,放电量_kWh,时段初储能_kWh,时段末储能_kWh
2025-02-01,0:00-4:00,4499.999999999999,0.0,6000.0,10050.0
2025-02-01,4:00-8:00,833.3333333333333,6577.451618143237,10050.0,3491.7204242852936
2025-02-01,8:00-12:00,5709.458247822889,2062.548381856764,3491.7204242852936,6338.5124230406
2025-02-01,12:00-16:00,5195.416330614158,192.94840853400893,6338.5124230406,10800.0
2025-02-01,16:00-20:00,0.0,6342.920685741439,10800.0,3752.310349176181
2025-02-01,20:00-24:00,0.0,2297.079314258563,3752.310349176181,1200.0
2025-02-02,0:00-4:00,9000.0,0.0,1200.0,9300.0
2025-02-02,4:00-8:00,2500.0,1508.3333333333333,9300.0,9874.074074074075
2025-02-02,8:00-12:00,5833.333333333333,7806.666666666668,9874.074074074075,6450.0
2025-02-02,12:00-16:00,8244.926059143916,2763.390107906571,6450.0,10800.0
2025-02-02,16:00-20:00,0.0,5602.493678937324,10800.0,4575.007023402973
2025-02-02,20:00-24:00,0.0,3037.5063210626754,4575.007023402973,1200.0
2025-02-03,0:00-4:00,9000.0,0.0,1200.0,9300.0
2025-02-03,4:00-8:00,2500.0,1508.3333333333333,9300.0,9874.074074074075
2025-02-03,8:00-12:00,5833.333333333333,7806.666666666668,9874.074074074075,6450.0
2025-02-03,12:00-16:00,8113.686013744191,2657.085671132794,6450.0,10800.0
2025-02-03,16:00-20:00,0.0,5636.672168331914,10800.0,4537.030924075652
2025-02-03,20:00-24:00,0.0,3003.3278316680876,4537.030924075652,1200.0
2025-02-04,0:00-4:00,9000.0,0.0,1200.0,9300.0
2025-02-04,4:00-8:00,2500.0,1508.3333333333333,9300.0,9874.074074074075
2025-02-04,8:00-12:00,5833.333333333333,7806.666666666668,9874.074074074075,6450.0
2025-02-04,12:00-16:00,8112.727143614307,2656.308986327588,6450.0,10800.0
2025-02-04,16:00-20:00,0.0,5582.10341075713,10800.0,4597.66287693652
2025-02-04,20:00-24:00,0.0,3057.896589242868,4597.66287693652,1200.0
2025-02-05,0:00-4:00,9000.0,0.0,1200.0,9300.0
2025-02-05,4:00-8:00,2500.0,1789.5710536500765,9300.0,9561.587718166582
2025-02-05,8:00-12:00,5833.333333333333,7525.428946349924,9561.587718166582,6450.0
2025-02-05,12:00-16:00,7125.156670428271,1856.3769030468989,6450.0,10800.0
2025-02-05,16:00-20:00,0.0,5720.451050689793,10800.0,4443.943277011338
2025-02-05,20:00-24:00,0.0,2919.548949310204,4443.943277011338,1200.0
2025-02-06,0:00-4:00,9000.0,0.0,1200.0,9300.0
2025-02-06,4:00-8:00,2500.0,1666.6666666666665,9300.0,9698.14814814815
2025-02-06,8:00-12:00,5833.333333333333,7648.333333333336,9698.14814814815,6450.0
2025-02-06,12:00-16:00,7500.0,2160.000000000002,6450.0,10800.0
2025-02-06,16:00-20:00,0.0,5689.025971363827,10800.0,4478.860031817969
2025-02-06,20:00-24:00,0.0,2950.974028636172,4478.860031817969,1200.0
2025-02-07,0:00-4:00,9000.0,0.0,1200.0,9300.0
2025-02-07,4:00-8:00,1666.6666666666665,7003.580724408899,9300.0,3018.2436395456684
2025-02-07,8:00-12:00,5773.42070941243,1636.4192755911015,3018.2436395456684,6396.078638471188
2025-02-07,12:00-16:00,4919.993920343522,21.665850102319716,6396.078638471188,10800.0
2025-02-07,16:00-20:00,0.0,6251.332889863848,10800.0,3854.074566817946
2025-02-07,20:00-24:00,0.0,2388.667110136151,3854.074566817946,1200.0
2025-02-08,0:00-4:00,9000.0,0.0,1200.0,9300.0
2025-02-08,4:00-8:00,1666.6666666666665,6636.033472590383,9300.0,3426.629474899578
2025-02-08,8:00-12:00,4268.617797412624,1162.8674679376008,3426.629474899578,5976.310528195827
2025-02-08,12:00-16:00,5359.654968671306,0.0,5976.310528195827,10800.0
2025-02-08,16:00-20:00,0.0,6249.50030930176,10800.0,3856.110767442488
2025-02-08,20:00-24:00,0.0,2390.499690698239,3856.110767442488,1200.0
2025-02-09,0:00-4:00,9000.0,0.0,1200.0,9300.0
2025-02-09,4:00-8:00,2500.0,1968.8448268422908,9300.0,9362.3946368419
2025-02-09,8:00-12:00,5833.333333333333,7346.155173157709,9362.3946368419,6450.0
2025-02-09,12:00-16:00,7295.154206946338,1994.0749076265347,6450.0,10800.0
2025-02-09,16:00-20:00,0.0,5742.847920068909,10800.0,4419.057866590102
2025-02-09,20:00-24:00,0.0,2897.152079931092,4419.057866590102,1200.0
2025-02-10,0:00-4:00,9000.0,0.0,1200.0,9300.0
2025-02-10,4:00-8:00,2500.0,2458.639556953449,9300.0,8818.178270051723
2025-02-10,8:00-12:00,5833.333333333333,6856.360443046549,8818.178270051723,6450.0
2025-02-10,12:00-16:00,7158.923682497321,1883.7281828228308,6450.0,10800.0
2025-02-10,16:00-20:00,0.0,5743.690155549155,10800.0,4418.122049389829
2025-02-10,20:00-24:00,0.0,2896.309844450846,4418.122049389829,1200.0
2025-02-11,0:00-4:00,9000.0,0.0,1200.0,9300.0
2025-02-11,4:00-8:00,2500.0,2059.349695195379,9300.0,9261.833672005136
2025-02-11,8:00-12:00,5833.333333333333,7255.65030480462,9261.833672005136,6450.0
2025-02-11,12:00-16:00,7500.0,2160.000000000001,6450.0,10800.0
2025-02-11,16:00-20:00,0.0,5731.634445102152,10800.0,4431.517283219831
2025-02-11,20:00-24:00,0.0,2908.365554897848,4431.517283219831,1200.0
2025-02-12,0:00-4:00,9000.0,0.0,1200.0,9300.0
2025-02-12,4:00-8:00,2500.0,1692.7309496777514,9300.0,9669.187833691389
2025-02-12,8:00-12:00,5833.333333333333,7622.269050322249,9669.187833691389,6450.0
2025-02-12,12:00-16:00,7500.0,2160.0,6450.0,10800.0
2025-02-12,16:00-20:00,0.0,5695.869160208778,10800.0,4471.256488656914
2025-02-12,20:00-24:00,0.0,2944.130839791223,4471.256488656914,1200.0
2025-02-13,0:00-4:00,9000.0,0.0,1200.0,9300.0
2025-02-13,4:00-8:00,2500.0,1508.3333333333333,9300.0,9874.074074074075
2025-02-13,8:00-12:00,5833.333333333333,7806.666666666668,9874.074074074075,6450.0
