日期,时段,计划购电量_kWh,充电量_kWh,放电量_kWh,时段初储能_kWh,紧急购电量_kWh
2025-03-20,0:00-0:10,1412.6057557784702,833.3333333333333,0.0,1200.0,0.0
2025-03-20,0:10-0:20,1410.6446665072217,833.3333333333333,0.0,1950.0,0.0
2025-03-20,0:20-0:30,1431.149857810709,833.3333333333333,0.0,2700.0,16.035142189291037
2025-03-20,0:30-0:40,1414.988365476269,833.3333333333333,0.0,3450.0,0.0
2025-03-20,0:40-0:50,1433.8454928848664,833.3333333333333,0.0,4200.0,0.0
2025-03-20,0:50-1:00,1424.1618526851316,833.3333333333333,0.0,4950.0,0.0
2025-03-20,1:00-1:10,1247.9714664258152,666.6666666666666,0.0,5700.0,20.284250240851406
2025-03-20,1:10-1:20,1423.395441485301,833.3333333333333,0.0,6300.0,21.421641848032323
2025-03-20,1:20-1:30,1420.898525383951,833.3333333333333,0.0,7050.0,10.651474616048972
2025-03-20,1:30-1:40,593.7174179993806,0.0,0.0,7800.0,0.0
2025-03-20,1:40-1:50,600.4993966391252,0.0,0.0,7800.0,0.0
2025-03-20,1:50-2:00,1435.590609797446,833.3333333333333,0.0,7800.0,0.0
2025-03-20,2:00-2:10,1415.0069270199083,833.3333333333333,0.0,8550.0,0.0
2025-03-20,2:10-2:20,590.443500179308,0.0,0.0,9300.0,0.0
2025-03-20,2:20-2:30,616.2871363255188,0.0,0.0,9300.0,0.0
2025-03-20,2:30-2:40,611.7748349704423,0.0,0.0,9300.0,0.0
2025-03-20,2:40-2:50,614.6629630742527,0.0,0.0,9300.0,0.0
2025-03-20,2:50-3:00,608.4629750858054,0.0,0.0,9300.0,0.0
2025-03-20,3:00-3:10,604.7325718685604,0.0,0.0,9300.0,0.4777281314395623
2025-03-20,3:10-3:20,593.68939254059,0.0,0.0,9300.0,28.20299079274332
2025-03-20,3:20-3:30,606.7998379793779,0.0,0.0,9300.0,13.368495353955382
2025-03-20,3:30-3:40,627.4184590685654,0.0,0.0,9300.0,0.0
2025-03-20,3:40-3:50,623.7585010110276,0.0,0.0,9300.0,0.0
2025-03-20,3:50-4:00,615.46591045224,0.0,0.0,9300.0,0.0
2025-03-20,4:00-4:10,642.5759266620171,0.0,0.0,9300.0,0.0
2025-03-20,4:10-4:20,634.2967392308502,0.0,0.0,9300.0,0.0
2025-03-20,4:20-4:30,613.219963094207,0.0,0.0,9300.0,0.0
2025-03-20,4:30-4:40,596.0780658075433,0.0,0.0,9300.0,3.647067525790021
2025-03-20,4:40-4:50,618.5413971088466,0.0,0.0,9300.0,0.0
2025-03-20,4:50-5:00,626.0757460890032,0.0,0.0,9300.0,0.0
2025-03-20,5:00-5:10,616.7610568076793,0.0,0.0,9300.0,2.6728598589872945
2025-03-20,5:10-5:20,625.787224046386,0.0,0.0,9300.0,0.0
2025-03-20,5:20-5:30,1458.8259381481685,833.3333333333333,0.0,9300.0,0.0
2025-03-20,5:30-5:40,1462.093807680372,833.3333333333333,0.0,10050.0,0.0
2025-03-20,5:40-5:50,708.5543237683798,0.0,-0.0,10800.0,0.0
2025-03-20,5:50-6:00,0.0,0.0,750.9755060533896,10800.0,76.03949394661038
2025-03-20,6:00-6:10,0.0,0.0,766.8589891257892,9965.58277105179,25.090944207544226
2025-03-20,6:10-6:20,0.0,0.0,767.1483242886829,9113.51722757869,0.0
2025-03-20,6:20-6:30,0.0,0.0,740.546530750444,8261.130200591264,0.0
2025-03-20,6:30-6:40,0.0,0.0,683.1423531831726,7438.300721979659,0.0
2025-03-20,6:40-6:50,660.3297111645603,0.0,0.0,6679.253662887245,0.0
