日期,时间段,充电量_kWh,放电量_kWh,时段初储能_kWh,时段末储能_kWh
2025-03-20,0:00-4:00,9000.0,0.0,1200.0,9300.0
2025-03-20,4:00-8:00,2488.869408384715,4739.634329935205,9300.0,6273.722100951572
2025-03-20,8:00-12:00,5833.333333333333,4566.349890856414,6273.722100951572,6450.0
2025-03-20,12:00-16:00,5833.333333333333,809.9999999999986,6450.0,10800.0
2025-03-20,16:00-20:00,0.0,5644.343217260648,10800.0,4528.507536377057
2025-03-20,20:00-24:00,0.0,2995.656782739351,4528.507536377057,1200.0
2025-06-21,0:00-4:00,6666.666666666666,0.0,1200.0,7200.0
2025-06-21,4:00-8:00,1281.2269776546113,2432.051251398675,7200.0,5650.825111668401
2025-06-21,8:00-12:00,3146.62009079951,23.73555475843532,5650.825111668401,8456.410354767477
2025-06-21,12:00-16:00,2633.898395865871,24.227019942085022,8456.410354767477,10800.0
2025-06-21,16:00-20:00,0.0,5883.111945554952,10800.0,4263.208949383385
2025-06-21,20:00-24:00,0.0,2756.8880544450453,4263.208949383385,1200.0
2025-09-23,0:00-4:00,9000.0,0.0,1200.0,9300.0
2025-09-23,4:00-8:00,1666.6666666666665,6944.675562078162,9300.0,3083.6938199131514
2025-09-23,8:00-12:00,5766.461784886935,1638.941383263228,3083.6938199131514,6452.463444907806
2025-09-23,12:00-16:00,5247.888797240295,338.0070261816628,6452.463444907806,10800.0
2025-09-23,16:00-20:00,0.0,5833.333333333333,10800.0,4318.518518518519
2025-09-23,20:00-24:00,0.0,2806.6666666666665,4318.518518518519,1200.0
2025-12-21,0:00-4:00,9000.0,0.0,1200.0,9300.0
2025-12-21,4:00-8:00,2500.0,1508.3333333333333,9300.0,9874.074074074075
2025-12-21,8:00-12:00,5833.333333333333,7806.666666666668,9874.074074074075,6450.0
2025-12-21,12:00-16:00,8333.333333333332,2835.000000000001,6450.0,10800.0
2025-12-21,16:00-20:00,0.0,5505.046608256605,10800.0,4683.281546381551
2025-12-21,20:00-24:00,0.0,3134.9533917433964,4683.281546381551,1200.0
