日期,计划购电量kWh,紧急购电量kWh,计划购电费元,紧急购电费元,合计购电费元,紧急时段数,0:00储电量kWh,24:00储电量kWh,充电量kWh,放电量kWh,计划净供给kWh,弃置电量kWh
2025-02-01,47710.7871,187.7565,24849.94,711.03,25560.97,8,8550.0000,8550.0000,20528.5788,16628.1488,43810.3572,9619.9377
2025-02-02,91130.2510,102.0654,57360.37,475.80,57836.17,9,8550.0000,8550.0000,24687.8586,19997.1655,86439.5579,8185.3453
2025-02-03,89232.7174,361.1711,56007.25,1320.78,57328.02,27,8550.0000,8550.0000,24441.6182,19797.7108,84588.8100,4733.0646
2025-02-04,88799.0506,1243.9188,55696.38,4963.32,60659.70,33,8550.0000,8550.0000,24345.1828,19719.5981,84173.4659,4222.5208
2025-02-05,88152.7692,735.2008,55315.03,2889.76,58204.79,37,8550.0000,8550.0000,24326.6182,19704.5607,83530.7118,3517.4856
2025-02-06,87658.3500,598.8497,55195.61,2753.17,57948.78,29,8550.0000,7950.0000,23683.2572,19723.4383,83698.5311,4026.3236
2025-02-07,42004.2046,612.2398,21603.31,2678.96,24282.28,32,7950.0000,7950.0000,20148.1408,16319.9940,38176.0579,6982.6181
2025-02-08,41605.9026,378.6966,21482.59,1544.37,23026.96,27,7950.0000,8550.0000,20512.5845,16075.1934,37168.5115,5970.0454
2025-02-09,85968.5308,1120.5375,53836.28,3756.65,57592.93,41,8550.0000,8550.0000,24343.3715,19718.1309,81343.2902,2908.4117
2025-02-10,86961.1055,182.7960,54496.58,585.85,55082.43,13,8550.0000,8550.0000,24566.2939,19898.6980,82293.5097,8149.6681
2025-02-11,86119.7015,132.7110,53815.43,535.85,54351.28,16,8550.0000,8550.0000,24495.6051,19841.4401,81465.5365,6377.6504
2025-02-12,84698.4783,539.0967,52899.26,2183.60,55082.86,28,8550.0000,8550.0000,24282.6030,19668.9084,80084.7838,5357.1444
2025-02-13,83092.4010,294.8179,52151.63,881.08,53032.71,23,8550.0000,7604.5285,22837.1368,19349.0051,79604.2694,8569.6082
2025-02-14,36871.9109,830.9910,19209.81,2825.74,22035.56,34,7604.5285,7272.6003,18681.0421,15430.3795,33621.2483,4650.4375
2025-02-15,38125.6752,617.9122,19740.52,2253.58,21994.10,42,7272.6003,8550.0000,20070.3137,15107.2943,33162.6559,4500.4770
2025-02-16,81481.9342,1162.6069,50601.26,4687.54,55288.79,53,8550.0000,8550.0000,23186.5300,18781.0893,77076.4935,2861.7213
2025-02-17,81094.6796,183.9954,50287.12,513.43,50800.55,25,8550.0000,8550.0000,23213.1330,18802.6377,76684.1843,5684.3166
2025-02-18,80546.0288,463.4333,49759.16,1804.66,51563.82,26,8550.0000,8550.0000,23214.5480,18803.7839,76135.2647,4507.3102
