date,period,interval,price_yuan_per_kwh,load_kwh,pv_kwh,forecast_load_kwh,forecast_pv_kwh,net_q80_kwh,grid_plan_kwh,charge_kwh,discharge_kwh,energy_start_kwh,energy_end_kwh,emergency_kwh,surplus_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan
2025-02-01,1,0:00-0:10,0.4248,422.0303666666667,0.0,447.28122499999995,0.0,450.690525,1284.0238583333332,833.3333333333333,0.0,6000.0,6750.0,0.0,28.660158333333356,545.4533350199999,0.0,545.4533350199999
2025-02-01,2,0:10-0:20,0.4245,415.4073166666667,0.0,453.2701541666666,0.0,459.3800541666665,1292.7133874999997,833.3333333333333,0.0,6750.0,7500.0,0.0,43.972737499999766,548.7568329937499,0.0,548.7568329937499
2025-02-01,3,0:20-0:30,0.4269,410.7166666666667,0.0,460.3604166666667,0.0,472.4479166666668,1305.78125,833.3333333333333,0.0,7500.0,8250.0,0.0,61.731250000000045,557.438015625,0.0,557.438015625
2025-02-01,4,0:30-0:40,0.4272,430.29479999999995,0.0,456.77065,0.0,469.70455,1303.0378833333332,833.3333333333333,0.0,8250.0,9000.0,0.0,39.40975000000003,556.6577837599999,0.0,556.6577837599999
2025-02-01,5,0:40-0:50,0.4271,424.4105833333333,0.0,460.46558749999997,0.0,487.7080874999999,1321.0414208333332,833.3333333333333,0.0,9000.0,9750.0,0.0,63.29750416666661,564.2167908379166,0.0,564.2167908379166
2025-02-01,6,0:50-1:00,0.4285,406.0516666666666,0.0,475.89,0.0,507.4483333333334,507.4483333333334,0.0,0.0,9750.0,9750.0,0.0,101.39666666666676,217.44161083333336,0.0,217.44161083333336
2025-02-01,7,1:00-1:10,0.4311,436.7501833333333,0.0,486.2747124999999,0.0,508.70639583333315,508.70639583333315,0.0,0.0,9750.0,9750.0,0.0,71.95621249999982,219.30332724374992,0.0,219.30332724374992
2025-02-01,8,1:10-1:20,0.4302,451.7976833333333,0.0,475.9790958333333,0.0,490.9553902777778,490.9553902777778,0.0,0.0,9750.0,9750.0,0.0,39.1577069444445,211.2090088975,0.0,211.2090088975
2025-02-01,9,1:20-1:30,0.4279,446.08,0.0,462.7199999999999,0.0,487.9666666666666,821.3,333.3333333333333,0.0,9750.0,10050.0,0.0,41.886666666666656,351.43426999999997,0.0,351.43426999999997
2025-02-01,10,1:30-1:40,0.4312,471.7663333333333,0.0,480.70310833333326,0.0,503.3723583333333,503.3723583333333,0.0,0.0,10050.0,10050.0,0.0,31.60602499999999,217.05416091333333,0.0,217.05416091333333
2025-02-01,11,1:40-1:50,0.4333,448.02596666666665,0.0,499.92819999999995,0.0,517.19875,517.19875,0.0,0.0,10050.0,10050.0,0.0,69.17278333333337,224.102218375,0.0,224.102218375
2025-02-01,12,1:50-2:00,0.4311,397.4033333333333,0.0,501.53374999999994,0.0,529.639861111111,529.639861111111,0.0,0.0,10050.0,10050.0,0.0,132.23652777777772,228.32774412499995,0.0,228.32774412499995
2025-02-01,13,2:00-2:10,0.4293,434.0906333333333,0.0,495.9134416666666,0.0,505.85390833333327,505.85390833333327,0.0,0.0,10050.0,10050.0,0.0,71.76327499999996,217.16308284749996,0.0,217.16308284749996
2025-02-01,14,2:10-2:20,0.4324,490.5609166666666,0.0,499.3593708333333,0.0,517.8400708333334,517.8400708333334,0.0,0.0,10050.0,10050.0,0.0,27.27915416666673,223.91404662833335,0.0,223.91404662833335
2025-02-01,15,2:20-2:30,0.4367,503.22,0.0,508.4508333333333,0.0,519.1991666666667,519.1991666666667,0.0,0.0,10050.0,10050.0,0.0,15.979166666666629,226.73427608333333,0.0,226.73427608333333
2025-02-01,16,2:30-2:40,0.4348,474.07281666666665,0.0,507.1182,0.0,509.8779333333333,509.8779333333333,0.0,0.0,10050.0,10050.0,0.0,35.80511666666666,221.69492541333332,0.0,221.69492541333332
2025-02-01,17,2:40-2:50,0.4335,461.38439999999997,0.0,511.1837541666667,0.0,532.7081541666666,532.7081541666666,0.0,0.0,10050.0,10050.0,0.0,71.32375416666667,230.92898483124998,0.0,230.92898483124998
2025-02-01,18,2:50-3:00,0.4357,476.94166666666666,0.0,520.7624999999999,0.0,550.5058333333333,550.5058333333333,0.0,0.0,10050.0,10050.0,0.0,73.56416666666661,239.8553915833333,0.0,239.8553915833333
2025-02-01,19,3:00-3:10,0.4374,483.39955,0.0,519.826875,0.0,528.5681749999999,528.5681749999999,0.0,0.0,10050.0,10050.0,0.0,45.168624999999906,231.19571974499996,0.0,231.19571974499996
2025-02-01,20,3:10-3:20,0.4371,486.6019166666666,0.0,522.3059458333333,0.0,526.7730236111111,526.7730236111111,0.0,0.0,10050.0,10050.0,0.0,40.17110694444443,230.25248862041664,0.0,230.25248862041664
2025-02-01,21,3:20-3:30,0.4356,498.84833333333336,0.0,524.5866666666666,0.0,546.5733333333333,546.5733333333333,0.0,0.0,10050.0,10050.0,0.0,47.72499999999991,238.08734399999997,0.0,238.08734399999997
2025-02-01,22,3:30-3:40,0.4353,518.3097333333333,0.0,511.5722083333333,0.0,522.7243416666668,522.7243416666668,0.0,0.0,10050.0,10050.0,0.0,4.41460833333349,227.54190592750004,0.0,227.54190592750004
2025-02-01,23,3:40-3:50,0.436,509.13346666666666,0.0,520.7508458333333,0.0,533.3030236111111,533.3030236111111,0.0,0.0,10050.0,10050.0,0.0,24.16955694444448,232.52011829444444,0.0,232.52011829444444
2025-02-01,24,3:50-4:00,0.4378,483.6166666666666,0.0,542.6191666666666,0.0,569.5683333333333,569.5683333333333,0.0,0.0,10050.0,10050.0,0.0,85.95166666666665,249.35701633333332,0.0,249.35701633333332
