日期,计划购电量kWh,紧急购电量kWh,计划购电费元,紧急购电费元,合计购电费元,紧急时段数,0:00储电量kWh,24:00储电量kWh,充电量kWh,放电量kWh,计划净供给kWh,弃置电量kWh
2025-02-01,52468.2408,54.2677,27624.90,176.15,27801.06,3,8550.0000,8550.0000,21393.3628,17328.6239,48403.5019,14025.3259
2025-02-02,95235.7675,19.9199,60365.75,124.75,60490.50,2,8550.0000,8550.0000,25036.5765,20279.6269,90478.8180,12122.5401
2025-02-03,93265.0812,87.5310,58929.24,312.92,59242.16,6,8550.0000,8550.0000,24833.3333,20115.0000,88546.7478,8329.8313
2025-02-04,92662.0632,410.7145,58459.69,1461.02,59920.71,12,8550.0000,8550.0000,24833.3333,20115.0000,87943.7299,6748.8659
2025-02-05,91666.6641,297.6993,57797.71,1186.83,58984.54,14,8550.0000,8550.0000,24763.2687,20058.2476,86961.6431,6213.2161
2025-02-06,89939.9125,119.4459,56860.92,448.03,57308.95,12,8550.0000,7950.0000,24103.8633,20064.1292,85900.1785,5629.1213
2025-02-07,47158.1156,144.2468,24347.01,625.09,24972.10,12,7950.0000,7950.0000,21333.3333,17280.0000,43104.7823,11299.1026
2025-02-08,46813.8088,50.0999,24135.06,220.44,24355.50,5,7950.0000,8550.0000,22000.0000,17280.0000,42093.8088,10516.6461
2025-02-09,88630.7045,582.2843,55717.11,1909.02,57626.14,19,8550.0000,8550.0000,24583.5858,19912.7045,83959.8231,4404.4072
2025-02-10,89488.9916,62.2686,56274.87,175.72,56450.59,5,8550.0000,8550.0000,24736.3154,20036.4154,84789.0916,10462.4541
2025-02-11,87900.4828,43.5916,55102.05,180.90,55282.95,6,8550.0000,8550.0000,24651.6150,19967.8081,83216.6759,7996.0788
2025-02-12,87075.7969,263.7585,54573.46,1105.96,55679.43,13,8550.0000,8550.0000,24474.5547,19824.3893,82425.6315,7158.8954
2025-02-13,85527.4437,127.9448,53826.30,333.92,54160.22,11,8550.0000,7604.5285,23416.1033,19817.9680,81929.3084,10599.8294
2025-02-14,41769.9326,448.2767,21510.88,1263.40,22774.28,15,7604.5285,7272.6003,20879.5386,17211.1617,38101.5556,8299.7538
2025-02-15,42421.0818,263.0267,21772.90,937.31,22710.21,19,7272.6003,8550.0000,22050.2663,16711.0559,37081.8714,7801.7803
2025-02-16,83143.5734,721.5243,51825.56,2874.64,54700.20,30,8550.0000,8550.0000,23353.5084,18916.3418,78706.4068,3329.0277
2025-02-17,83079.5670,47.8440,51713.78,122.52,51836.30,7,8550.0000,8550.0000,23176.9448,18773.3253,78675.9475,7492.0843
2025-02-18,82525.7257,205.7203,51194.81,819.63,52014.44,14,8550.0000,8550.0000,23191.6409,18785.2291,78119.3139,6027.9261
2025-02-19,82592.9511,587.4482,51245.22,2182.69,53427.91,29,8550.0000,8550.0000,23166.6667,18765.0000,78191.2844,5311.9571
2025-02-20,80703.4985,196.0051,50450.50,831.45,51281.95,14,8550.0000,6848.0410,21275.6011,18765.0000,78192.8974,7199.7637
2025-02-21,38199.3864,163.7451,19853.83,629.95,20483.79,16,6848.0410,6551.6561,19225.5677,15839.4562,34813.2749,9253.0129
2025-02-22,39544.0135,257.7643,20319.19,984.02,21303.21,21,6551.6561,8550.0000,21226.6170,15395.0503,33712.4468,5867.6839
2025-02-23,80668.8903,617.9215,49883.86,1936.51,51820.37,33,8550.0000,8550.0000,23173.1413,18770.2445,76265.9935,4734.1398
2025-02-24,80322.8652,176.4014,49539.09,805.99,50345.08,17,8550.0000,8550.0000,23219.7681,18808.0121,75911.1093,7708.0757
2025-02-25,79917.9863,209.3444,49292.54,873.34,50165.88,14,8550.0000,8550.0000,23223.4145,18810.9657,75505.5376,9684.2144
2025-02-26,78795.7540,409.5404,48526.28,1604.11,50130.40,23,8550.0000,8550.0000,23211.3369,18801.1828,74385.6000,5570.7520
2025-02-27,75821.4367,310.5926,47119.70,1544.38,48664.07,15,8550.0000,6408.3587,20806.2082,18780.5058,73795.7343,6839.1501
2025-02-28,35450.4138,178.7250,18485.09,600.91,19086.01,18,6408.3587,6104.9372,17723.9124,14629.4484,32355.9499,9063.3563
2025-03-01,37788.2225,242.6029,19410.55,1022.96,20433.51,20,6104.9372,8550.0000,20358.3876,14289.7374,31719.5723,8060.8063
2025-03-02,75604.2054,4269.5856,46365.84,15848.02,62213.86,52,8550.0000,8550.0000,23118.0107,18725.5887,71211.7834,0.0000
2025-03-03,75953.1230,3032.4277,46558.79,12553.08,59111.86,67,8550.0000,8550.0000,23296.7151,18870.3392,71526.7471,0.0000
2025-03-04,76499.8774,807.9438,47041.70,2655.05,49696.75,38,8550.0000,8550.0000,23239.9414,18824.3525,72084.2886,2884.8306
2025-03-05,77150.2457,171.7411,47385.92,702.55,48088.47,14,8550.0000,8550.0000,23313.9873,18884.3297,72720.5882,6590.1161
2025-03-06,72892.6187,244.4985,45451.27,906.29,46357.57,23,8550.0000,5387.5164,19747.7903,18841.9454,71986.7738,6046.1196
2025-03-07,32936.0495,161.4849,17323.41,471.98,17795.39,15,5387.5164,4960.8126,16139.8461,13457.3088,30253.5121,9331.2266
2025-03-08,36701.9446,317.1160,18883.27,987.75,19871.02,22,4960.8126,8550.0000,20107.9196,13057.1462,29651.1712,10588.0317
2025-03-09,75206.5613,235.1588,45917.21,924.20,46841.41,16,8550.0000,8550.0000,23235.6340,18820.8635,70791.7908,7458.2658
2025-03-10,73542.7316,2048.9051,44835.63,6400.94,51236.58,54,8550.0000,8550.0000,22709.6028,18394.7783,69227.9071,1185.8356
2025-03-11,73733.4275,528.9917,44855.94,2045.11,46901.05,30,8550.0000,8550.0000,22616.8120,18319.6177,69436.2332,5497.3144
2025-03-12,73364.5773,438.0744,44611.50,1426.03,46037.53,26,8550.0000,8550.0000,22532.5046,18251.3287,69083.4014,6647.8668
2025-03-13,68445.5812,2687.0882,42344.24,10012.47,52356.71,55,8550.0000,4774.5880,18202.1041,18141.5752,68385.0522,839.4342
2025-03-14,31807.8034,215.1437,16603.53,732.43,17335.96,20,4774.5880,4431.1910,15501.3592,12865.1583,29171.6025,13142.1765
2025-03-15,36285.2829,591.5911,18516.00,2134.98,20650.98,32,4431.1910,8550.0000,20010.2218,12501.3515,28776.4127,7852.2875
2025-03-16,72359.9591,733.9694,43882.13,2735.30,46617.43,33,8550.0000,8550.0000,22329.0214,18086.5073,68117.4450,4766.3981
2025-03-17,72456.1013,194.1840,43845.62,750.71,44596.34,12,8550.0000,8550.0000,22325.8066,18083.9033,68214.1980,10356.0666
2025-03-18,71143.7998,823.8308,42959.15,4080.78,47039.93,27,8550.0000,8550.0000,22142.3178,17935.2774,66936.7594,5810.8011
2025-03-19,71006.0368,363.0819,42879.78,1671.81,44551.59,19,8550.0000,8550.0000,22049.4554,17860.0589,66816.6403,7351.1698
2025-03-20,65615.9356,689.8027,40493.15,2775.85,43269.00,34,8550.0000,4348.2553,17364.5840,17846.8833,66098.2348,3889.2730
2025-03-21,30509.6558,276.6092,15745.70,965.56,16711.26,25,4348.2553,4031.9537,15012.9464,12445.1580,27941.8674,15908.4028
2025-03-22,35725.1783,286.3222,18043.66,813.93,18857.59,20,4031.9537,8550.0000,20001.9887,12135.3692,27858.5589,11977.3591
2025-03-23,67825.0937,863.9123,40870.36,3183.12,44053.48,41,8550.0000,8550.0000,21850.6023,17698.9879,63673.4793,4903.7592
2025-03-24,67325.9409,658.4280,40558.56,2268.53,42827.09,27,8550.0000,8550.0000,21652.8404,17538.8007,63211.9012,5213.4042
2025-03-25,67666.8474,1243.3755,40713.73,4731.79,45445.52,43,8550.0000,8550.0000,21699.3478,17576.4717,63543.9713,2593.8466
2025-03-26,68211.9715,193.4729,41057.25,559.07,41616.31,16,8550.0000,8550.0000,21714.2166,17588.5154,64086.2704,8493.7155
2025-03-27,62421.0395,669.5136,38517.96,2368.23,40886.19,34,8550.0000,4022.7851,16626.5964,17542.0365,63336.4796,4619.4902
2025-03-28,29981.6491,365.4564,15349.28,1405.66,16754.94,18,4022.7851,3726.9638,14642.5582,12126.7113,27465.8022,16643.9214
2025-03-29,35446.7581,248.5520,17651.55,994.81,18646.36,23,3726.9638,8550.0000,20063.5964,11910.7805,27293.9423,19586.7331
2025-03-30,65120.0002,554.4424,39088.64,2181.22,41269.86,23,8550.0000,8550.0000,21416.9076,17347.6952,61050.7878,5705.1681
2025-03-31,64380.6524,1797.3334,38571.57,7138.90,45710.47,43,8550.0000,8550.0000,21437.0500,17364.0105,60307.6130,3356.2235
2025-04-01,64308.1161,3235.2760,38371.01,9483.43,47854.45,55,8550.0000,8550.0000,21488.7872,17405.9177,60225.2466,16.3951
2025-04-02,64676.0266,3193.6695,38538.24,12613.93,51152.16,55,8550.0000,8550.0000,21509.8898,17423.0107,60589.1476,153.8122
2025-04-03,60258.3107,515.1452,36912.21,2248.54,39160.75,29,8550.0000,3486.6822,15977.6947,17498.9187,61779.5347,5916.0045
2025-04-04,29616.2417,162.3254,15036.11,663.91,15700.02,17,3486.6822,3449.2053,14452.5125,11740.2643,26903.9935,20473.1912
2025-04-05,35564.2276,326.6893,17571.22,1165.27,18736.49,23,3449.2053,8550.0000,20086.2860,11679.1764,27157.1181,15113.0031
2025-04-06,65746.7202,203.6913,39060.66,758.45,39819.11,13,8550.0000,8550.0000,21614.7806,17507.9723,61639.9119,7229.8357
2025-04-07,65415.6264,205.7981,38788.80,650.27,39439.07,19,8550.0000,8550.0000,21539.5480,17447.0339,61323.1123,8080.3930
2025-04-08,64818.6357,709.4961,38375.81,3121.24,41497.05,35,8550.0000,8550.0000,21527.5570,17437.3212,60728.3999,6375.2063
2025-04-09,64145.6326,2089.1867,38118.64,7342.20,45460.85,52,8550.0000,8550.0000,21461.6183,17383.9108,60067.9251,933.6141
2025-04-10,58851.0833,642.1236,35998.32,2838.77,38837.10,30,8550.0000,3319.4029,15800.2911,17505.7731,60556.5654,6095.9275
2025-04-11,29003.7744,264.6836,14588.21,1107.74,15695.94,24,3319.4029,3251.4599,14253.2803,11606.3058,26356.7998,21040.1497
2025-04-12,35330.9842,167.8243,17327.22,684.44,18011.66,10,3251.4599,8550.0000,20095.2560,11508.4713,26744.1994,17719.0389
2025-04-13,63684.3617,371.0877,37730.05,1575.40,39305.44,21,8550.0000,8550.0000,21533.0624,17441.7806,59593.0798,5316.7214
2025-04-14,63240.7340,431.3374,37387.64,1481.94,38869.59,25,8550.0000,8550.0000,21463.2784,17385.2555,59162.7111,6634.6793
2025-04-15,63691.6473,260.0016,37713.49,1148.38,38861.87,17,8550.0000,8550.0000,21444.0362,17369.6693,59617.2804,9477.8516
2025-04-16,62975.6171,720.8701,37270.37,2180.66,39451.03,35,8550.0000,8550.0000,20917.3505,16943.0539,59001.3205,3221.7286
2025-04-17,56649.1899,240.5923,34592.51,1026.06,35618.56,17,8550.0000,2958.0239,14563.9293,16829.5612,58914.8218,6046.4795
2025-04-18,28102.8897,150.5216,14041.40,414.41,14455.81,14,2958.0239,2843.5921,13768.8608,11255.7659,25589.7947,19235.6776
2025-04-19,34461.2901,227.7703,16680.54,628.24,17308.78,13,2843.5921,8550.0000,20036.8769,11094.1031,25518.5164,18733.8372
2025-04-20,62340.9920,416.1067,36720.66,1804.70,38525.35,21,8550.0000,8550.0000,20889.5401,16920.5275,58371.9794,6414.2345
2025-04-21,61919.0801,355.7660,36323.80,1256.33,37580.14,23,8550.0000,8550.0000,20899.9591,16928.9668,57948.0879,9431.1775
