group,name,month,saving_yuan
原样本口径,uniform56,2,0.0
原样本口径,uniform56,3,0.0
原样本口径,uniform56,4,0.0
原样本口径,uniform56,5,0.0
原样本口径,uniform56,6,0.0
原样本口径,uniform56,7,0.0
原样本口径,uniform56,8,0.0
原样本口径,uniform56,9,0.0
原样本口径,uniform56,10,0.0
原样本口径,uniform56,11,0.0
原样本口径,uniform56,12,0.0
原样本口径,half_life7,2,11145.523084402412
原样本口径,half_life7,3,-6860.214352875584
原样本口径,half_life7,4,-7378.737009992177
原样本口径,half_life7,5,-7566.009828843069
原样本口径,half_life7,6,-116.24535879051473
原样本口径,half_life7,7,-6245.569379302491
原样本口径,half_life7,8,-10598.701182637727
原样本口径,half_life7,9,-6765.770641368017
原样本口径,half_life7,10,-5780.286235882344
原样本口径,half_life7,11,-1273.779461305312
原样本口径,half_life7,12,-939.2683436492043
原样本口径,half_life14,2,13505.809761298206
原样本口径,half_life14,3,-1608.1110740561235
原样本口径,half_life14,4,-2834.1467413000646
原样本口径,half_life14,5,-2534.909638972229
原样本口径,half_life14,6,339.4834020085327
原样本口径,half_life14,7,-1060.5713018079186
原样本口径,half_life14,8,-5110.956532582113
原样本口径,half_life14,9,-1926.3883703347237
原样本口径,half_life14,10,-2262.0711914597814
原样本口径,half_life14,11,1650.097251672356
原样本口径,half_life14,12,-432.82979640051053
原样本口径,half_life28,2,12638.733101313977
原样本口径,half_life28,3,-761.826892036468
原样本口径,half_life28,4,-162.14588241281854
原样本口径,half_life28,5,-729.2759074431688
原样本口径,half_life28,6,355.6148385001252
原样本口径,half_life28,7,388.7395621081632
原样本口径,half_life28,8,-1750.5069914564629
原样本口径,half_life28,9,-354.491286507975
原样本口径,half_life28,10,-509.00314966186124
原样本口径,half_life28,11,1562.5950477581973
原样本口径,half_life28,12,-61.560290646451904
原样本口径,online_primary,2,12261.071407079486
原样本口径,online_primary,3,-456.0525059423235
原样本口径,online_primary,4,0.0
原样本口径,online_primary,5,-970.0206488456988
原样本口径,online_primary,6,-6679.285828397704
原样本口径,online_primary,7,793.2609783739317
原样本口径,online_primary,8,0.0
原样本口径,online_primary,9,0.0
原样本口径,online_primary,10,0.0
原样本口径,online_primary,11,-607.1474127369984
原样本口径,online_primary,12,-2355.398774628309
短窗口扩展,uniform28,2,11365.16070267542
短窗口扩展,uniform28,3,-2452.4693825069808
短窗口扩展,uniform28,4,-1632.7425588720635
短窗口扩展,uniform28,5,-3277.4063554396325
短窗口扩展,uniform28,6,-12366.66257075805
短窗口扩展,uniform28,7,-10488.549602781797
短窗口扩展,uniform28,8,-7189.420970510288
短窗口扩展,uniform28,9,-3882.810714417101
短窗口扩展,uniform28,10,-6193.7497861128395
短窗口扩展,uniform28,11,-492.51705398254853
短窗口扩展,uniform28,12,-4930.064097543356
短窗口扩展,uniform42,2,3212.06325823471
短窗口扩展,uniform42,3,-2171.9683453873185
短窗口扩展,uniform42,4,-118.0216827714994
短窗口扩展,uniform42,5,-289.3429227803117
短窗口扩展,uniform42,6,2689.602979444404
短窗口扩展,uniform42,7,-5188.080548655034
短窗口扩展,uniform42,8,-1143.6221743422138
短窗口扩展,uniform42,9,-1703.0497297920483
短窗口扩展,uniform42,10,-328.28321906954807
短窗口扩展,uniform42,11,311.3876009137566
短窗口扩展,uniform42,12,-668.037687944041
短窗口扩展,online_extended,2,12261.071407079486
短窗口扩展,online_extended,3,-456.0525059423235
短窗口扩展,online_extended,4,-433.1893772008643
短窗口扩展,online_extended,5,-641.130315234559
短窗口扩展,online_extended,6,-2037.03514843855
短窗口扩展,online_extended,7,2629.5878072402775
短窗口扩展,online_extended,8,-54.212989397379715
短窗口扩展,online_extended,9,-530.1901080591851
短窗口扩展,online_extended,10,0.0
短窗口扩展,online_extended,11,-469.67092279400094
短窗口扩展,online_extended,12,-2355.398774628309
排除回退残差,uniform56,2,15521.021776023696
排除回退残差,uniform56,3,-2659.1274371076797
排除回退残差,uniform56,4,0.0
排除回退残差,uniform56,5,0.0
排除回退残差,uniform56,6,0.0
排除回退残差,uniform56,7,0.0
排除回退残差,uniform56,8,0.0
排除回退残差,uniform56,9,0.0
排除回退残差,uniform56,10,0.0
排除回退残差,uniform56,11,0.0
排除回退残差,uniform56,12,0.0
排除回退残差,half_life28,2,15307.46051114954
排除回退残差,half_life28,3,-2081.576058328312
排除回退残差,half_life28,4,-162.14588241281854
排除回退残差,half_life28,5,-729.2759074431688
排除回退残差,half_life28,6,355.6148385001252
排除回退残差,half_life28,7,388.7395621081632
排除回退残差,half_life28,8,-1750.5069914564629
排除回退残差,half_life28,9,-354.491286507975
排除回退残差,half_life28,10,-509.00314966186124
排除回退残差,half_life28,11,1562.5950477581973
排除回退残差,half_life28,12,-61.560290646451904
排除回退残差,online_primary,2,15521.021776023696
排除回退残差,online_primary,3,-3287.9911116196563
排除回退残差,online_primary,4,366.02973624729384
排除回退残差,online_primary,5,-970.0206488456988
排除回退残差,online_primary,6,-6679.285828397704
排除回退残差,online_primary,7,793.2609783739317
排除回退残差,online_primary,8,0.0
排除回退残差,online_primary,9,0.0
排除回退残差,online_primary,10,0.0
排除回退残差,online_primary,11,-607.1474127369984
排除回退残差,online_primary,12,-2355.398774628309
