date,planned_cost_yuan,increase_cost_yuan,cancellation_refund_yuan,breach_cost_yuan,adjustment_net_yuan,emergency_cost_yuan,total_cost_yuan,original_kwh,adjusted_kwh,increase_kwh,decrease_kwh,emergency_kwh,dump_kwh,charge_kwh,discharge_kwh,energy_start_kwh,energy_end_kwh,lp_eq_max,lp_ineq_max,max_tree_nodes,raw_simultaneous_slots
2025-02-01,16936.07343684993,0.0,0.0,0.0,0.0,903.0825583947205,17839.155995244648,38972.848582128965,38972.848582128965,0.0,0.0,283.07245813116907,6384.801392681375,14804.96691708118,16312.023202835753,6000.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-02,61888.02407513654,0.0,0.0,0.0,0.0,1046.3169166264056,62934.34099176295,88896.09123147323,88896.09123147323,0.0,0.0,212.83251341883965,6084.924941549544,24566.951859697496,19899.231006354974,1200.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-03,61144.161377412966,0.0,0.0,0.0,0.0,3814.6489894546803,64958.81036686765,86632.37200841407,86632.37200841407,0.0,0.0,879.3885982565388,2797.7943954321727,23668.682690728623,19171.632979490183,1200.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-04,60614.202101060066,0.0,0.0,0.0,0.0,10085.628133502072,70699.83023456213,86004.97413737862,86004.97413737862,0.0,0.0,2098.5450660221786,2466.4231846121424,23380.1687830982,18937.93671430954,1200.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-05,59936.28996654709,0.0,0.0,0.0,0.0,8718.40539751093,68654.69536405802,84902.16632677596,84902.16632677596,0.0,0.0,1950.5683512169824,1687.5194835413024,23246.253742727953,18829.465531609643,1200.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-06,59932.656161204395,0.0,0.0,0.0,0.0,7344.208423510701,67276.8645847151,85061.75969365021,85061.75969365021,0.0,0.0,1609.718311512195,1848.6439471958734,23956.72021736768,19404.943376067822,1200.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-07,16706.773697863275,0.0,0.0,0.0,0.0,3905.195216078531,20611.968913941804,39815.18236295591,39815.18236295591,0.0,0.0,1009.1324695281351,5352.668171228302,19294.56312941613,15628.596134827061,1200.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-08,16165.56674563928,0.0,0.0,0.0,0.0,2823.252991821094,18988.819737460373,38838.52613924723,38838.52613924723,0.0,0.0,798.5279820801613,4330.824905010819,19626.66578763109,15897.599287981182,1200.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-09,57826.03131119473,0.0,0.0,0.0,0.0,11643.619163887397,69469.65047508212,82867.56602686376,82867.56602686376,0.0,0.0,2639.637142463868,1543.700872762618,23200.45436788606,18792.36803798771,1200.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-10,56943.61098512204,0.0,0.0,0.0,0.0,1919.477884362273,58863.088869484316,83762.93684051462,83762.93684051462,0.0,0.0,544.1675806003394,5509.898523882702,23529.306915257494,19058.73860135857,1200.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-11,56655.97176841329,0.0,0.0,0.0,0.0,2393.7856181340494,59049.75738654734,82655.8953309913,82655.8953309913,0.0,0.0,544.5609181585332,3695.3941279510095,22549.81572560785,18265.350737742356,1200.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-12,55669.430398323464,0.0,0.0,0.0,0.0,5034.829494891879,60704.25989321534,81824.49212542508,81824.49212542508,0.0,0.0,1089.856181059346,3382.608172800523,22447.389475529322,18182.38547517875,1200.0,1200.0,4.547473508864641e-13,1.1368683772161603e-13,1,0
2025-02-13,54880.67624107168,0.0,0.0,0.0,0.0,2231.2783741991725,57111.95461527085,81366.04758917901,81366.04758917901,0.0,0.0,684.6684739854938,6319.570379831173,23166.666666666668,18765.0,1200.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-14,14998.688697532756,0.0,0.0,0.0,0.0,3587.847946013756,18586.53664354651,36051.55563304082,36051.55563304082,0.0,0.0,1264.6740758054516,3924.8056072110694,18892.7488682555,15303.12658328696,1200.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-15,15214.536484806182,0.0,0.0,0.0,0.0,3059.6439498025297,18274.18043460871,35530.28539264265,35530.28539264265,0.0,0.0,1020.052479239419,3748.4659116588487,18535.6887380169,15013.907877793685,1200.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-16,53015.986664724056,0.0,0.0,0.0,0.0,12194.934080618945,65210.920745343006,78315.36157070602,78315.36157070602,0.0,0.0,2772.1449618616757,1454.722118698303,22396.870072996848,18141.46475912745,1200.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-17,52599.92935069314,0.0,0.0,0.0,0.0,2335.2753084913284,54935.20465918447,78275.2236483838,78275.2236483838,0.0,0.0,642.0959184466315,3460.5615820051935,22488.920095571477,18216.025277412897,1200.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-18,51323.50150724,0.0,0.0,0.0,0.0,5456.395754626097,56779.8972618661,77674.82112789723,77674.82112789723,0.0,0.0,1194.5884505672434,2518.959847521597,22416.11551373449,18157.053566124938,1200.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-19,51402.99026333227,0.0,0.0,0.0,0.0,9274.19340465697,60677.18366798923,77656.23174560802,77656.23174560802,0.0,0.0,2096.8656780419856,2633.1738666726524,22318.927229705365,18078.331056061346,1200.0,1200.0,2.2737367544323206e-13,1.1368683772161603e-13,1,0
2025-02-20,51986.86423227633,0.0,0.0,0.0,0.0,5222.393871024897,57209.25810330123,77760.75867432862,77760.75867432862,0.0,0.0,1141.0303634802772,3519.8360289619177,23099.048818492913,18710.229542979265,1200.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
