date,planned_cost_yuan,increase_cost_yuan,cancellation_refund_yuan,breach_cost_yuan,adjustment_net_yuan,emergency_cost_yuan,total_cost_yuan,original_kwh,adjusted_kwh,increase_kwh,decrease_kwh,emergency_kwh,dump_kwh,charge_kwh,discharge_kwh,energy_start_kwh,energy_end_kwh,lp_eq_max,lp_ineq_max,max_tree_nodes,raw_simultaneous_slots
2025-02-01,16942.97576087307,0.0,0.0,0.0,0.0,522.3083223519601,17465.28408322503,38737.081134902706,38737.081134902706,0.0,0.0,164.0840470080219,6047.24582197361,14714.439087388371,16238.695660784582,6000.0,1200.0,1.8189894035458565e-12,1.1368683772161603e-13,1,0
2025-02-02,61750.09933404469,0.0,0.0,0.0,0.0,1130.5588037908797,62880.65813783557,88711.05185585306,88711.05185585306,0.0,0.0,226.0519746065986,5910.340511937882,24581.501939588336,19911.016571066553,1200.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-03,61829.27184375613,0.0,0.0,0.0,0.0,2726.0026011801165,64555.27444493625,87483.73471578414,87483.73471578414,0.0,0.0,643.2809907113696,3339.9419748532137,24053.459113906876,19483.301882264568,1200.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-04,61862.9123402342,0.0,0.0,0.0,0.0,5346.612906871018,67209.52524710522,87465.25198969286,87465.25198969286,0.0,0.0,1163.839529507485,2863.7202830215365,24055.30150620426,19484.794220025447,1200.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-05,60001.80344909012,0.0,0.0,0.0,0.0,8718.230230542442,68720.03367963256,84934.55740088674,84934.55740088674,0.0,0.0,2010.9770022060943,1771.0345254085444,23295.120496583993,18869.047602233037,1200.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-06,61227.90739998968,0.0,0.0,0.0,0.0,4467.286242137227,65695.1936421269,86506.81347792284,86506.81347792284,0.0,0.0,968.0551092262413,2643.8113704824164,24000.000000000004,19439.999999999996,1200.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-07,16848.892311629854,0.0,0.0,0.0,0.0,2892.1218058050117,19741.014117434865,40043.01034037247,40043.01034037247,0.0,0.0,784.6762337453995,5317.283241351068,19498.54561105334,15793.821944953208,1200.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-08,15518.495647357006,0.0,0.0,0.0,0.0,3689.1294617804997,19207.62510913751,37193.36005043892,37193.36005043892,0.0,0.0,1075.0646985498865,3001.152386544925,19421.62971461692,15731.520068839705,1200.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-09,58382.02349641547,0.0,0.0,0.0,0.0,8839.05085083021,67221.07434724568,83445.54358375151,83445.54358375151,0.0,0.0,2074.690038686312,1563.150989104482,23166.666666666668,18765.0,1200.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-10,56329.17859739158,0.0,0.0,0.0,0.0,2046.0181179804372,58375.19671537202,82925.19987438855,82925.19987438855,0.0,0.0,566.6546557074173,4734.727386670401,23318.36610574861,18887.876545656378,1200.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-11,56352.10874871689,0.0,0.0,0.0,0.0,3161.951266148433,59514.06001486533,82202.894060035,82202.894060035,0.0,0.0,713.6996826260452,3384.1577413342,22693.888778913257,18382.04991091974,1200.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-12,55725.533016135916,0.0,0.0,0.0,0.0,4558.098656618714,60283.63167275463,81802.21914844288,81802.21914844288,0.0,0.0,991.6474100257209,3255.6511699793,22481.469763978785,18209.990508822815,1200.0,1200.0,4.547473508864641e-13,1.1368683772161603e-13,1,0
2025-02-13,53860.7261838034,0.0,0.0,0.0,0.0,2509.105004774018,56369.831188577424,80099.82825908455,80099.82825908455,0.0,0.0,740.5602558666735,5158.652030661376,22906.618250648353,18554.360783025164,1200.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-14,14936.56052952324,0.0,0.0,0.0,0.0,3164.092833656339,18100.653363179583,36002.05201386674,36002.05201386674,0.0,0.0,1104.6436292052122,3701.2721773523754,18966.429731857417,15362.808082804508,1200.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-15,15179.265993356163,0.0,0.0,0.0,0.0,3200.3757461029986,18379.641739459163,35385.89208126124,35385.89208126124,0.0,0.0,1000.6572064160212,3627.1101188525636,18312.358256972107,14833.010188147407,1200.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-16,53989.60100332857,0.0,0.0,0.0,0.0,8529.025638803854,62518.626642132425,79432.29175158091,79432.29175158091,0.0,0.0,1983.5733235175048,1755.6144841973762,22541.42889947916,18258.55740857812,1200.0,1200.0,1.8189894035458565e-12,1.1368683772161603e-13,1,0
2025-02-17,53519.14759839102,0.0,0.0,0.0,0.0,2153.209569071311,55672.35716746232,79505.85877693171,79505.85877693171,0.0,0.0,568.1194787204693,4613.517284443764,22508.409497588207,18231.81169304645,1200.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-18,50491.052414405916,0.0,0.0,0.0,0.0,8311.934568788787,58802.9869831947,76485.82077959491,76485.82077959491,0.0,0.0,1936.327633913973,2100.2556606966473,22265.815628836393,18035.310659357478,1200.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-19,50759.342040191244,0.0,0.0,0.0,0.0,9414.019351843821,60173.36139203507,76632.1228812968,76632.1228812968,0.0,0.0,2153.587208240683,1672.4537326039574,22283.836703158984,18049.907729558774,1200.0,1200.0,2.2737367544323206e-13,1.1368683772161603e-13,1,0
