date,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,g_kwh,c_kwh,d_kwh,emergency_kwh,dump_kwh,energy_start_kwh,energy_end_kwh,chosen_candidate,sample_count,effective_sample_count,max_history_day,selection_last_observed_day
2025-02-01,24657.47423293691,437.19409316064554,25094.668326097555,47329.088578884504,20656.69947511066,16731.926574839632,119.01777793650808,9145.157523216654,8550.0,8550.0,uniform56,24,24.0,2025-01-31,2025-01-31
2025-02-02,58080.57263221619,282.78193889483975,58363.354571111035,92142.0970049262,24795.751019513133,20084.558325805643,45.582864229025176,9120.209225447728,8550.0,8550.0,uniform56,25,25.0,2025-02-01,2025-02-01
2025-02-03,56283.59259456061,1066.5008549282848,57350.09344948889,89564.71538323582,24549.627097493947,19885.197948970104,289.9262257789515,4973.295960490926,8550.0,8550.0,uniform56,26,26.0,2025-02-02,2025-02-02
2025-02-04,55869.50556059758,4477.6113660016035,60347.116926599185,89027.37290121065,24464.27141235076,19816.059844004114,1131.1097700702817,4315.407152934302,8550.0,8550.0,uniform56,27,27.000000000000007,2025-02-03,2025-02-03
2025-02-05,55296.80084220369,3266.3982802960663,58563.19912249975,88123.90247670279,24335.280293233824,19711.577037519404,849.6276422579294,3601.3998799129618,8550.0,8550.0,uniform56,28,27.999999999999996,2025-02-04,2025-02-04
2025-02-06,55113.79471678048,2453.0264971596307,57566.82121394013,87554.31016761396,23681.08836220586,19721.68157338675,543.2935392484607,3867.1397013766373,8550.0,7950.0,uniform56,29,29.000000000000007,2025-02-05,2025-02-05
2025-02-07,21975.86738502478,2297.0526149857833,24272.920000010563,42613.46028556415,20297.050897079655,16440.611226634515,491.497187061447,7442.838135513792,7950.0,7950.0,uniform56,30,30.0,2025-02-06,2025-02-06
2025-02-08,21630.17699674155,1127.8110918753534,22757.9880886169,41830.27236794804,20633.94732337151,16173.497331930925,258.2101449924633,6050.869804833251,7950.0,8550.0,uniform56,31,31.0,2025-02-07,2025-02-07
2025-02-09,53865.653802377456,4283.663503914922,58149.31730629238,86004.95431980232,24310.792076317543,19691.74158181721,1249.0120996474184,3079.499958282754,8550.0,8550.0,uniform56,32,32.0,2025-02-08,2025-02-08
2025-02-10,54455.7063650792,410.25524636665693,54865.96161144587,86898.80255683941,24512.04376921487,19854.75545306405,133.8501342684607,8048.7267916237215,8550.0,8550.0,uniform56,33,32.99999999999999,2025-02-09,2025-02-09
2025-02-11,53740.20026847994,430.3002695413869,54170.500538021326,86015.30291504052,24427.339250637277,19786.144793016196,106.25962401736359,6259.770948103476,8550.0,8550.0,uniform56,34,34.0,2025-02-10,2025-02-10
2025-02-12,53275.97577142567,1586.4958847185765,54862.47165614425,85254.25400274928,24232.12682162576,19628.022725516865,378.52733470300404,5761.941108010062,8550.0,8550.0,uniform56,35,35.00000000000001,2025-02-11,2025-02-11
