date,span,planned_kwh
2025-03-20,10:00-10:10,0.0
2025-03-20,12:00-12:10,626.6338540646253
2025-03-20,14:00-14:10,0.0
2025-03-20,16:00-16:10,494.2447272108841
2025-03-20,18:00-18:10,706.6762355612243
2025-03-20,20:00-20:10,0.0
2025-03-20,全天,65615.93558137321
2025-06-21,10:00-10:10,0.0
2025-06-21,12:00-12:10,0.0
2025-06-21,14:00-14:10,0.0
2025-06-21,16:00-16:10,250.70484525510196
2025-06-21,18:00-18:10,0.0
2025-06-21,20:00-20:10,0.0
2025-06-21,全天,46473.41010516377
2025-09-23,10:00-10:10,0.0
2025-09-23,12:00-12:10,549.4793041156456
2025-09-23,14:00-14:10,0.0
2025-09-23,16:00-16:10,548.3262619727894
2025-09-23,18:00-18:10,777.5599388265305
2025-09-23,20:00-20:10,0.0
2025-09-23,全天,70464.22121091268
2025-12-21,10:00-10:10,0.0
2025-12-21,12:00-12:10,989.9302925680267
2025-12-21,14:00-14:10,0.0
2025-12-21,16:00-16:10,863.8168963265306
2025-12-21,18:00-18:10,719.7676491836735
2025-12-21,20:00-20:10,0.0
2025-12-21,全天,98935.41828388342
