date,span,charge_kwh,discharge_kwh
2025-03-20,00:00-04:00,1666.6666666666665,0.0
2025-03-20,04:00-08:00,833.3333333333333,5501.2313845763565
2025-03-20,08:00-12:00,5912.261083764171,3138.768615423642
2025-03-20,12:00-16:00,5454.261462091207,566.8832621428575
2025-03-20,16:00-20:00,0.0,5671.592736666666
2025-03-20,20:00-24:00,3498.0614681699826,2968.407263333333
2025-03-20,0:00储电量,8550.0,
2025-03-20,24:00储电量,4348.2553213529845,
2025-06-21,00:00-04:00,2869.4618483780546,0.0
2025-06-21,04:00-08:00,833.3333333333333,2615.318881972789
2025-06-21,08:00-12:00,5087.5137434523795,0.0
2025-06-21,12:00-16:00,3470.920194387755,0.0
2025-06-21,16:00-20:00,0.0,6017.994229030613
2025-06-21,20:00-24:00,8166.666666666666,2622.0057709693874
2025-06-21,0:00储电量,2670.8036612622823,
2025-06-21,24:00储电量,8550.0,
2025-09-23,00:00-04:00,1666.6666666666665,0.0
2025-09-23,04:00-08:00,833.3333333333333,5644.6119058333325
2025-09-23,08:00-12:00,6191.304184115646,2995.3880941666666
2025-09-23,12:00-16:00,4841.849478582759,296.85446678571407
2025-09-23,16:00-20:00,0.0,5695.378356938775
2025-09-23,20:00-24:00,8166.666666666666,2944.6216430612244
2025-09-23,0:00储电量,8550.0,
2025-09-23,24:00储电量,8550.0,
2025-12-21,00:00-04:00,1666.6666666666665,0.0
2025-12-21,04:00-08:00,1666.6666666666665,1508.3333333333333
2025-12-21,08:00-12:00,5833.333333333333,7806.666666666668
2025-12-21,12:00-16:00,8241.145544427647,2760.327890986395
2025-12-21,16:00-20:00,0.0,5609.574505833332
2025-12-21,20:00-24:00,8166.666666666666,3030.4254941666663
2025-12-21,0:00储电量,8550.0,
2025-12-21,24:00储电量,8550.0,
