date,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,g_kwh,c_kwh,d_kwh,emergency_kwh,dump_kwh,energy_start_kwh,energy_end_kwh,chosen_candidate,sample_count,effective_sample_count,max_history_day,selection_last_observed_day
2025-02-01,25434.59876686739,363.5203660094397,25798.119132876833,48838.155928250526,21164.01981063261,17142.856046612418,104.82939406462609,10543.645624961628,8550.0,8550.0,half_life14,31,26.07746953696181,2025-01-31,2025-01-31
2025-02-02,58558.03033986824,222.1163070689713,58780.14664693721,92728.93094875973,24833.33333333333,20115.0,35.46523342687078,9689.784898853282,8550.0,8550.0,half_life14,32,26.651725829146937,2025-02-01,2025-02-01
2025-02-03,57010.2589085146,584.2212150606409,57594.48012357524,90535.60388966535,24584.75455167424,19913.651186856136,162.0531637443375,5809.637188591589,8550.0,8550.0,half_life14,33,27.207532584605097,2025-02-02,2025-02-02
2025-02-04,56423.37683065009,3769.5010829087637,60192.87791355885,89753.08876275337,24487.929311376167,19835.222742214697,966.8830150245905,4872.401258616493,8550.0,8550.0,half_life14,34,27.745116255961648,2025-02-03,2025-02-03
2025-02-05,55875.80107873897,2393.3473020999318,58269.1483808389,88891.79594040196,24477.853391615674,19827.061247208698,639.960661988882,4132.537474650554,8550.0,8550.0,half_life14,35,28.2647318805808,2025-02-04,2025-02-04
2025-02-06,55546.923079308406,1661.5076115839975,57208.4306908924,88108.08986272672,23796.464304578683,19815.136086708735,362.636365607993,4218.340793798091,8550.0,7950.0,half_life14,36,28.76666029174491,2025-02-05,2025-02-05
2025-02-07,22320.699648942933,1712.9680529529355,24033.667701895865,43328.18471518833,20489.72654322443,16596.67850001178,382.59680919699645,8012.053814506013,7950.0,7950.0,half_life14,37,29.251205398705324,2025-02-06,2025-02-06
2025-02-08,22129.29781102796,924.9024984208025,23054.20030944876,42854.06767720257,20947.636113944798,16427.585252295292,221.33560814147899,6978.189707027876,7950.0,8550.0,half_life14,38,29.71869155041572,2025-02-07,2025-02-07
2025-02-09,54359.74126220438,3322.3172817397435,57682.05854394412,86607.3436059707,24417.391369104713,19778.08700897482,1020.6153041807122,3433.2385833548606,8550.0,8550.0,half_life14,39,30.16946099541768,2025-02-08,2025-02-08
2025-02-10,54905.70150312784,383.03546865096325,55288.7369717788,87485.52653638928,24633.632692132487,19953.242480627312,128.9759740709237,8607.474715621722,8550.0,8550.0,half_life14,40,30.603871448111406,2025-02-09,2025-02-09
2025-02-11,53997.044373602876,438.0512896110698,54435.09566321396,86320.94897536715,24544.43355293105,19880.99117787415,98.11997581349226,6535.029442790421,8550.0,8550.0,half_life14,41,31.022293769538333,2025-02-10,2025-02-10
2025-02-12,53386.77867659063,1763.1325736087215,55149.91125019935,85356.51487805332,24373.98078125962,19742.92443282029,432.0611155595625,5890.783511840224,8550.0,8550.0,half_life14,42,31.425109768839178,2025-02-11,2025-02-11
2025-02-13,52539.525458468226,646.0700294444055,53185.59548791264,83604.96345374822,22949.93658666937,19440.372961766818,232.7326029251692,8998.65341510417,8550.0,7604.528526039303,half_life14,43,31.812710129744225,2025-02-12,2025-02-12
2025-02-14,19426.26290697548,2692.4450506775183,22118.707957653,37315.21399513245,18941.97245796011,15641.73309453612,816.9801792104777,5030.152994252276,7604.528526039303,7272.600299829933,half_life14,44,32.18549246480907,2025-02-13,2025-02-13
2025-02-15,19999.96569176792,1875.236182277836,21875.201874045753,38601.46694214821,20342.644954484305,15327.882682979229,542.7453209105186,4849.358891553655,7272.600299829933,8550.0,half_life14,45,32.54385949863105,2025-02-14,2025-02-14
2025-02-16,50812.78608755605,4195.789614042284,55008.575701598325,81746.1065239659,23197.824854070634,18790.238131797218,1055.5536184231178,3016.694320115592,8550.0,8550.0,half_life14,46,32.88821737996875,2025-02-15,2025-02-15
2025-02-17,50779.141325787175,399.4137250786639,51178.555050865834,81802.73658261809,23216.254659775368,18805.166274418043,140.840347023552,6348.625377617667,8550.0,8550.0,half_life14,47,33.218974121536284,2025-02-16,2025-02-16
2025-02-18,50130.97226406468,1683.923483792833,51814.89574785752,81072.45730381018,23217.669694834185,18806.31245281569,419.96819538548897,4989.680473843841,8550.0,8550.0,half_life14,48,33.53653816524981,2025-02-17,2025-02-17
2025-02-19,50141.62492915227,3657.7935420483573,53799.41847120063,81061.27602155597,23174.218989229026,18771.11738127551,967.477731147525,4746.324761416643,8550.0,8550.0,half_life14,49,33.841317069858135,2025-02-18,2025-02-18
