date,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,g_kwh,c_kwh,d_kwh,emergency_kwh,dump_kwh,energy_start_kwh,energy_end_kwh,emergency_slots,sample_count,max_history_day,clipped_scenario_price_count,horizon_expected_cost_yuan,solver_status,raw_simultaneous_slots
2025-02-01,20773.148233152435,360.43147192447987,21133.579705076914,49575.40343733861,23166.666666666668,17279.999999999996,113.22954714002307,9423.790384478632,8550.0,10200.0,6,24,2025-01-31,0,87072.9249412101,0,0
2025-02-02,63593.76564373383,297.2282045645195,63890.99384829835,90481.06583673137,23142.962858573705,20095.799915444702,48.599864229025115,9126.224807831404,10200.0,8700.0,4,25,2025-02-01,0,133418.40677485638,0,0
2025-02-03,63361.60926220169,1061.5853720335829,64423.194634235275,89170.81481992528,24125.458703275723,20216.621549653337,230.14316969009434,5275.204335992987,8700.0,7950.0,16,26,2025-02-02,0,129101.11548631257,0,0
2025-02-04,62665.48288808212,5029.2116513410365,67694.69453942316,87949.59293077874,22033.049839143918,18656.77036970657,1079.369826215805,4457.819337557213,7950.0,7050.0,33,27,2025-02-03,0,127616.48119977152,0,0
2025-02-05,62996.12914730013,3772.211111904589,66768.34025920472,89935.28358229228,25395.187336568604,19085.10174262057,809.0255516655246,3685.796556676435,7050.0,8700.0,34,28,2025-02-04,0,126317.98835601067,0,0
2025-02-06,59196.288173706766,2622.1459381782106,61818.43411188498,80960.22479994454,17808.565980657175,20499.93844433231,514.5186765200633,3895.058723473073,8700.0,1950.0,28,29,2025-02-05,0,81421.90390597621,0,0
2025-02-07,19904.5846299521,1741.2564961201685,21645.841126072268,49102.17299096793,26686.015434386805,16527.1437396562,431.3940415810447,7569.015671151703,1950.0,7603.920846885676,24,30,2025-02-06,0,35453.53367302483,0,0
2025-02-08,18218.948850342964,877.0908485152536,19096.039698858214,44434.66213980811,22953.391007745016,16255.775478470574,234.66305911023596,6394.546952977235,7603.920846885676,10200.0,18,31,2025-02-07,0,77512.4209128569,0,0
2025-02-09,59073.71712765161,5282.9735654979095,64356.69069314952,84440.87536403866,23000.0,20115.0,1212.563344307862,3213.0227416798575,10200.0,8550.0,40,32,2025-02-08,0,121941.43006602963,0,0
2025-02-10,59291.63773742134,434.46402480817386,59726.10176222952,87182.96130360344,24982.788546734046,20101.058722854577,133.85013426846092,8108.444030659103,8550.0,8700.0,13,33,2025-02-09,0,122049.31434726463,0,0
2025-02-11,58547.329805719804,410.1107651133913,58957.4405708332,84919.3187500229,22760.138045082425,19245.711816516763,97.32854030443002,6281.623928428338,8700.0,7800.0,13,34,2025-02-10,0,120355.56434328601,0,0
2025-02-12,58636.11237907939,1813.0324291790298,60449.144808258425,86225.2748227632,25060.170343063783,19488.73797788166,387.65425248078174,5774.760576728526,7800.0,8700.0,23,35,2025-02-11,0,119311.21109878906,0,0
2025-02-13,53847.02408206057,663.6494077351084,54510.67348979568,77152.92045675988,16779.312303099414,19666.242965510526,219.7972380359971,8930.169340540328,8700.0,1950.0,17,36,2025-02-12,0,76282.53069375096,0,0
2025-02-14,17335.42274220673,2385.8472062599812,19721.269948466714,42646.19538733759,24131.98720973363,15598.941203370632,873.2237659067869,5184.571330214711,1950.0,6336.63159612623,32,37,2025-02-13,0,31928.830750979796,0,0
2025-02-15,17720.841491019164,1510.8761656002066,19231.71765661937,42294.68121462472,24499.982138540316,15827.953968731257,503.6947195187412,4846.256664334402,6336.63159612623,10800.0,32,38,2025-02-14,0,69859.08739562583,0,0
2025-02-16,53841.12299597713,5469.078651913211,59310.20164789034,78353.01442701589,20762.266212199433,19517.435631881544,1213.4666197856877,2944.2713664837006,10800.0,7800.0,49,39,2025-02-15,0,111519.67689257393,0,0
2025-02-17,56037.92531166352,283.68569067931827,56321.61100234284,84008.00272810183,26199.52294406319,19196.613584691182,101.83155991496591,5923.061761978121,7800.0,10050.0,14,40,2025-02-16,0,110131.51576957837,0,0
2025-02-18,52530.27134402376,1935.5758726113936,54465.84721663515,78524.97549610042,21050.800680808115,18941.148551454575,413.5612825304984,4737.49686594405,10050.0,7950.0,21,41,2025-02-17,0,109160.13060098037,0,0
2025-02-19,54152.809695315984,4306.645871034337,58459.45556635032,82391.3123721689,24386.341746400925,18402.93681458475,991.2345535040025,4519.8146105234,7950.0,9450.0,39,42,2025-02-18,0,109248.10464259799,0,0
2025-02-20,50590.91407173171,2320.9599267146423,52911.873998446354,72437.81819235689,15065.763367089063,18953.268327342143,494.2921524203033,5826.481571696942,9450.0,1950.0,25,43,2025-02-19,0,70744.92603073297,0,0
2025-02-21,17136.305471821186,797.3105039226583,17933.615975743844,40916.72877780066,22613.93100802814,14942.284116502795,251.28960706973206,7936.10946001171,1950.0,5700.0,22,44,2025-02-20,0,30268.599913732298,0,0
2025-02-22,17420.2038982565,1400.2381587728057,18820.442057029308,41999.00492208978,25054.370913215964,15704.040439704931,432.2541795626972,5236.165744808115,5700.0,10800.0,31,45,2025-02-21,0,65288.255225410714,0,0
2025-02-23,51146.30811516977,4040.303383638715,55186.61149880848,76066.50314481356,19953.83254942996,18727.604365038263,1011.4985744980022,4319.91985158653,10800.0,7950.0,39,46,2025-02-22,0,104939.27037538838,0,0
2025-02-24,51868.90207110782,1550.4712784038027,53419.373349511625,78652.21140021237,23373.742309357593,19067.73127057965,315.80366596741595,6458.970410735176,7950.0,7800.0,22,47,2025-02-23,0,103615.84458915486,0,0
2025-02-25,50901.085944438244,1401.2021587541747,52302.28810319242,78467.68418082253,23112.56976632268,18586.181510721373,326.8780883361686,8446.850780224066,7800.0,7950.0,21,48,2025-02-24,0,102749.06471168314,0,0
2025-02-26,50465.40263220072,2992.6505050171963,53458.05313721792,76460.08667193507,21368.5127386618,17983.495318316054,686.24292398236,4946.464142238355,7950.0,7200.0,29,49,2025-02-25,0,101220.71001463705,0,0
2025-02-27,46855.14924316483,2717.4304616556956,49572.57970482052,71445.9591911081,17187.628119315315,18646.978776645406,483.46003042113335,6432.185678859317,7200.0,1950.0,19,50,2025-02-26,0,66102.6517988722,0,0
2025-02-28,16362.197892536631,637.4534841405607,16999.651376677193,40606.05541078916,22950.95703126918,14540.275195328037,220.15319990871194,9122.933224756733,1950.0,6450.0,20,51,2025-02-27,0,28963.30715049615,0,0
2025-03-01,16125.497760484795,1234.8220396690629,17360.31980015386,39845.72303811847,23051.220186855062,14756.4883513526,365.46425230409324,8257.68952158677,6450.0,10800.0,23,52,2025-02-28,0,60878.75992429211,0,0
2025-03-02,47192.20457973318,20745.8134185661,67938.01799829928,71296.61434128207,18586.884646802653,17755.376563910148,4704.715551507331,2811.514743230233,10800.0,7800.0,56,53,2025-03-01,0,96161.16738101648,0,0
