date,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,g_kwh,c_kwh,d_kwh,emergency_kwh,dump_kwh,energy_start_kwh,energy_end_kwh,emergency_slots,sample_count,max_history_day,clipped_scenario_price_count,horizon_expected_cost_yuan,solver_status,raw_simultaneous_slots
2025-02-01,20711.336372663092,360.43147192447987,21071.76784458757,49452.01344743632,23166.666666666668,17280.0,113.22954714002307,9300.400394576342,8550.0,10200.0,6,24,2025-01-31,0,86998.16487000507,0,0
2025-02-02,63577.177452589,290.39319106451967,63867.57064365352,90473.22062312307,23102.570112263485,20063.081790933426,45.582864229025176,9123.037216022038,10200.0,8700.0,3,25,2025-02-01,0,133318.5599348412,0,0
2025-02-03,63122.03222427163,1261.649071755249,64383.68129602688,88812.4439080693,24103.531006119378,20198.860114956697,289.9262257789515,4980.7827426855665,8700.0,7950.0,18,26,2025-02-02,0,128982.3939314492,0,0
2025-02-04,62587.74980828865,5159.593439946657,67747.34324823531,87823.5157256297,22007.63079559954,18636.180944435622,1101.6070848200854,4358.809009285871,7950.0,7050.0,33,27,2025-02-03,0,127497.78150018604,0,0
2025-02-05,62945.4935699372,3780.553941866811,66726.047511804,89883.74923921913,25369.102956551025,19063.97339480633,812.9023313877468,3643.095025528862,7050.0,8700.0,34,28,2025-02-04,0,126210.26058750346,0,0
2025-02-06,59182.85304065069,2634.1563910748782,61817.00943172557,80948.6686648856,17799.91178032046,20492.928542059573,516.3128881867301,3886.9410981447777,8700.0,1950.0,28,29,2025-02-05,0,81319.49266828514,0,0
2025-02-07,19865.910914495005,1815.745403587624,21681.656318082627,49012.58511659928,26649.06740726351,16497.21583768633,445.7122501397619,7500.766130495198,1950.0,7603.920846885676,24,30,2025-02-06,0,35375.29208774605,0,0
2025-02-08,18116.886049119483,890.2404161269446,19007.126465246427,44154.38181500506,22917.691722981093,16226.859057811796,241.10667638778403,6127.493109556875,7603.920846885676,10200.0,20,31,2025-02-07,0,77432.06713918342,0,0
2025-02-09,58999.66578363745,5356.273433175089,64355.93921681254,84318.77511289527,23000.0,20115.0,1230.6714892965244,3109.0306355251314,10200.0,8550.0,41,32,2025-02-08,0,121842.88182863427,0,0
2025-02-10,59271.87560473582,434.46402480817386,59706.339629543996,87150.84940085966,25000.0,20115.0,133.85013426846092,8073.061951794784,8550.0,8700.0,13,33,2025-02-09,0,121951.9732504518,0,0
2025-02-11,58552.072207823476,458.1827288850176,59010.254936708494,84920.99858938732,22760.672583970612,19246.144793016196,105.35524990062743,6291.228915000208,8700.0,7800.0,14,34,2025-02-10,0,120257.66168106743,0,0
2025-02-12,58658.606539085566,1792.8545494709738,60451.46108855654,86256.34485882882,25075.884344371956,19501.46631894128,378.52733470300376,5793.71803476781,7800.0,8700.0,22,35,2025-02-11,0,119214.05972785923,0,0
2025-02-13,53685.5434446003,742.1515887069064,54427.6950333072,76893.88567531569,16779.312303099414,19666.242965510526,246.7235113083898,8698.060832368521,8700.0,1950.0,17,36,2025-02-12,0,76179.37305169342,0,0
2025-02-14,17294.707510678923,2316.3519970974576,19611.059507776383,42544.88033035224,24125.31172827936,15593.534063392677,865.2189146719704,5076.519763470864,1950.0,6336.63159612623,33,37,2025-02-13,0,31857.028011496568,0,0
2025-02-15,17705.524051636934,1519.3059054613175,19224.82995709825,42249.65920652092,24494.04696960318,15823.14648189218,509.5652472965189,4808.232866106436,6336.63159612623,10800.0,33,38,2025-02-14,0,69797.52714237859,0,0
2025-02-16,53834.155955885726,5413.90564900038,59248.061604886105,78331.97990185556,20762.266212199433,19517.43563188154,1203.357530036538,2913.127751574215,10800.0,7800.0,49,39,2025-02-15,0,111416.90940191099,0,0
2025-02-17,56042.829646737264,280.32562032751287,56323.15526706477,84016.58891947447,26212.00330177819,19206.722674440334,100.34183685941042,5927.786962329358,7800.0,10050.0,14,40,2025-02-16,0,110035.69705214218,0,0
2025-02-18,52336.87058362599,2191.2833987544277,54528.15398238042,78241.8035093524,21045.574844926185,18936.91562439021,476.22987035633844,4517.986375839429,10050.0,7950.0,23,41,2025-02-17,0,109060.69621232005,0,0
2025-02-19,54072.219058209994,4380.2453750065,58452.46443321649,82236.1525661922,24375.079660807016,18393.814525253685,1018.9556954538789,4394.515742759417,7950.0,9450.0,40,42,2025-02-18,0,109149.42455456885,0,0
2025-02-20,50524.862737050644,2350.9573363125332,52875.820073363175,72331.69680665084,15058.234820527694,18947.170204627433,504.05721788515586,5731.555675302399,9450.0,1950.0,26,43,2025-02-19,0,70645.89537122246,0,0
2025-02-21,17123.99523185448,866.8798995376142,17990.875131392095,40883.06708488603,22610.87434535665,14939.808219738889,278.6941506944663,7930.433076629406,1950.0,5700.0,22,44,2025-02-20,0,30221.054770541323,0,0
2025-02-22,17399.159188996204,1451.8766138109067,18851.03580280711,41972.76251889162,25052.374659111905,15702.423473880648,444.6553518937631,5222.703802220792,5700.0,10800.0,32,45,2025-02-21,0,65248.45672914447,0,0
2025-02-23,50959.59187975989,4325.13552442675,55284.72740418665,75797.36608847078,19938.68796030959,18715.337247850766,1093.1412527982363,4135.302945476855,10800.0,7950.0,41,46,2025-02-22,0,104843.78163294427,0,0
2025-02-24,51768.84707323799,1571.636677242501,53340.48375048049,78479.03734936725,23364.776253929424,19060.468765682832,322.98677896802604,6294.683023422028,7950.0,7800.0,22,47,2025-02-23,0,103518.71359427097,0,0
2025-02-25,50845.60676778275,1419.7609985933411,52265.36776637609,78358.88440705289,23112.56976632268,18586.181510721373,335.8007825028352,8346.973700621082,7800.0,7950.0,21,48,2025-02-24,0,102652.6448288709,0,0
2025-02-26,50426.16727148594,3044.0328512225806,53470.20012270851,76398.0945217366,21344.403544545592,17963.966871081924,696.3149986323039,4899.124813571906,7950.0,7200.0,30,49,2025-02-25,0,101124.89297055012,0,0
2025-02-27,46832.65994684825,2734.548081312707,49567.20802816096,71406.40135680132,17190.807211346262,18649.553841190474,486.37099437578166,6394.9347810213185,7200.0,1950.0,19,50,2025-02-26,0,66008.36599020955,0,0
2025-02-28,16296.539304515747,702.5172237101092,16999.056528225858,40465.058298307136,22946.573667231707,14536.724670457683,242.02442125393384,9004.64017278705,1950.0,6450.0,23,51,2025-02-27,0,28924.222177928754,0,0
2025-03-01,16080.262873729145,1271.4075287205421,17351.670402449687,39720.22845750059,23022.891232743474,14733.541898522215,380.59512490635154,8152.708314852347,6450.0,10800.0,24,52,2025-02-28,0,60839.3010049754,0,0
2025-03-02,47110.328945813664,21109.30670819146,68219.63565400512,71174.29021169266,18557.62165653607,17731.67354179422,4788.85130544609,2778.8863357302325,10800.0,7800.0,56,53,2025-03-01,0,96056.13876514783,0,0
2025-03-03,47947.287526754146,15976.66212240186,63923.949649156006,72785.68152749095,19945.43970324656,18180.806159629716,3382.321981907639,2386.2233324484073,7800.0,5550.0,67,54,2025-03-02,0,96611.52890284183,0,0
2025-03-04,50474.01065791813,3416.1051649994547,53890.115822917585,77882.2757034572,24310.71008240327,18341.67516674665,856.6152681754245,3570.398122642674,5550.0,7050.0,39,55,2025-03-03,0,98049.68958360815,0,0
2025-03-05,50039.99110454681,768.1199918564122,50808.11109640322,78738.23081376284,25006.811407601082,18905.517240156874,173.46653586805562,6679.931165520023,7050.0,8550.0,14,56,2025-03-04,0,98721.01722497548,0,0
2025-03-06,45997.94941732129,931.6397034547509,46929.589120776036,68897.70251264423,15422.394333618531,18432.139410231008,238.43418675130636,6205.227642674689,8550.0,1950.0,23,56,2025-03-05,0,63350.47427248201,0,0
2025-03-07,15315.105184042804,380.4245147187401,15695.529698761544,37629.52420308694,20845.543135122603,13509.88993944931,161.48493499956467,9533.070409079884,1950.0,5700.0,15,56,2025-03-06,0,27420.967868879106,0,0
2025-03-08,15536.072365651682,812.947618439575,16349.019984091257,38541.207617517335,22417.728774394476,13568.360307259525,310.4620565608833,10939.161690276598,5700.0,10800.0,22,56,2025-03-07,0,60290.239868256125,0,0
