date,planned_cost_yuan,increase_cost_yuan,cancellation_refund_yuan,breach_cost_yuan,adjustment_net_yuan,emergency_cost_yuan,total_cost_yuan,original_kwh,adjusted_kwh,increase_kwh,decrease_kwh,emergency_kwh,dump_kwh,charge_kwh,discharge_kwh,energy_start_kwh,energy_end_kwh,lp_eq_max,lp_ineq_max,max_tree_nodes,raw_simultaneous_slots
2025-02-01,17060.455994990552,0.0,433.5179790529189,216.75898952645946,-216.75898952645946,944.4942961799461,17788.191301644038,39006.86083278175,37951.20683367726,0.0,1055.6539991044922,279.3110916183681,5334.622246865574,14935.367079456402,16417.647334359684,6000.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,3,0
2025-02-02,61886.59390119794,12.086051844367438,388.2380822148647,194.11904110743234,-182.0329892630649,835.8052843451126,62540.36619627999,88822.81887762269,88310.80396973796,5.9803814267386315,517.9952893114653,178.62340167742573,5492.815907544575,24422.807967741108,19782.474453870294,1200.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,3,0
2025-02-03,61861.873340887396,0.0,438.8862281904668,219.4431140952334,-219.4431140952334,3189.2145788519306,64831.64480564409,87501.30638801065,86983.46736900108,0.0,517.8390190095656,750.4994993998594,2986.903456674111,23842.87848277278,19312.73157104595,1200.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,3,0
2025-02-04,61819.3418831801,323.80921562204014,98.45774184573739,49.228870922868694,274.5803446991714,4980.75532250994,67074.67755038923,87422.3613255053,87568.31895745726,259.2884530441073,113.33082109214877,1099.70369915193,2857.586464657694,24292.485483955268,19676.913242003764,1200.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,3,0
2025-02-05,59949.664171333374,1044.5093204934515,2.1220879806247184,1.0610439903123592,1043.448276503139,5682.649068088682,66675.7615159252,84879.53454479406,85783.80943674778,906.9344833569126,2.6595914032143355,1286.7400435989935,1832.9457564944987,23627.246002731215,19138.06926221228,1200.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,3,0
2025-02-06,61776.26732726008,0.0,674.392186087858,337.196093043929,-337.196093043929,4516.861587927355,65955.9328221435,87125.02627390494,86375.16555534698,0.0,749.8607185579598,961.1491529183794,2530.6429268489446,23866.392446051283,19331.777881301536,1200.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,3,0
2025-02-07,16915.458075943498,16.942749725225244,0.0,0.0,16.942749725225244,2164.5812427574656,19096.98206842619,40209.98627178499,40229.758488918786,19.772217133794904,0.0,631.5755222280378,5308.432966192824,19722.217780459636,15974.996402172306,1200.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,3,0
2025-02-08,15576.93787210494,123.66238811403895,0.0,0.0,123.66238811403895,2791.920233397046,18492.520493616023,37307.48125813213,37435.496985948754,128.01572781661903,0.0,817.0965936625882,3003.093589051021,19328.09091522978,15655.753641336121,1200.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,3,0
2025-02-09,58331.91649957116,939.9742023346566,0.0,0.0,939.9742023346566,6076.2468650244045,65348.13756693023,83367.51480398157,84176.17312469822,808.65832071664,0.0,1435.3642013697645,1649.8228211323599,23191.04493825765,18784.746399988693,1200.0,1200.0,1.8189894035458565e-12,1.1368683772161603e-13,3,0
2025-02-10,56472.28273126181,0.0,2440.576892987335,1220.2884464936676,-1220.2884464936676,4453.158055840933,59705.15234060908,83088.90519161455,79977.19627868455,0.0,3111.7089129300166,1089.8351542111768,2480.040737703792,22422.91111504531,18162.558003186707,1200.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,3,0
2025-02-11,56558.60375362674,0.0,974.9023322507261,487.45116612536305,-487.45116612536305,2820.1065086766553,58891.25909617804,82433.92762751415,81278.92340207877,0.0,1155.0042254353725,658.0544359163176,2460.898730773069,22397.273546782548,18141.79157289386,1200.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,3,0
2025-02-12,55898.73959745378,0.0,1319.1310341858818,659.5655170929409,-659.5655170929409,5109.101601225996,60348.27568158683,82025.67270153428,80412.01200464877,0.0,1613.660696885495,1095.8163849540092,1975.0964082869627,22452.60972622363,18186.613878241136,1200.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,3,0
2025-02-13,54026.44820234104,0.0,1584.997282747248,792.498641373624,-792.498641373624,2723.852724508185,55957.8022854756,80320.96615607454,78304.23514143558,0.0,2016.731014638955,783.136001809212,3439.693809886469,22727.359561535057,18409.16124484339,1200.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,3,0
2025-02-14,14951.517043171138,140.9047182964161,0.0,0.0,140.9047182964161,2752.970310671886,17845.39207213944,36035.241451552225,36176.90287158974,141.66142003751162,0.0,935.1284933560989,3701.6864693743987,18992.331994235657,15383.788915330884,1200.0,1200.0,1.8189894035458565e-12,1.1368683772161603e-13,3,0
2025-02-15,15182.652191335841,0.0,35.25303906357433,17.626519531787164,-17.626519531787164,3000.863715356605,18165.88938716066,35380.701030772194,35326.758501654935,0.0,53.94252911725783,943.0155920472558,3515.9192936510644,18282.966842374353,14809.203142323227,1200.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,3,0
2025-02-16,54278.72090574492,0.0,1113.833295028885,556.9166475144425,-556.9166475144425,10502.737436398917,64224.54169462939,79805.1889002427,78432.93056892321,0.0,1372.2583313194925,2451.720406395315,1236.93883638227,22475.437047032927,18205.10400809667,1200.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,3,0
2025-02-17,53676.66344391297,51.47421396286595,1455.4146010647291,727.7073005323646,-676.2330865694986,2204.899038058294,55205.329395401764,79734.09476062139,77850.72312381788,38.87160686426023,1922.2432436677784,614.3042522781313,3004.6069236787334,22508.19624079266,18231.638955042057,1200.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,3,0
2025-02-18,50730.80963958707,122.11618411788092,25.109105360965906,12.554552680482953,109.56163143739796,7351.215832768467,58191.58710379293,76799.27799233237,76858.43473059134,84.73213042825616,25.575392169268525,1643.0954203110282,2194.4102627167467,22188.063709748953,17972.331604896655,1200.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,3,0
2025-02-19,50956.052445926645,0.0,245.71790193047792,122.85895096523896,-122.85895096523896,8951.901915167451,59785.095410128866,76947.51564572411,76490.05450615785,0.0,457.4611395662496,2064.3436715509933,1380.9019244621852,22600.88878901753,18306.719919104195,1200.0,1200.0,9.094947017729282e-13,2.2737367544323206e-13,3,0
