slot,hour_center,price,load_kw,pv_kw,grid_kw,charge_kw,discharge_kw,energy_after_kwh
0,0.0833333333333,0.4248,3439.8466,0,8439.8466,5000,0,6750
1,0.25,0.4245,3437.9792,0,8437.9792,5000,0,7500
2,0.416666666667,0.4269,3444.3031,0,8444.3031,5000,0,8250
3,0.583333333333,0.4272,3454.4437,0,8454.4437,5000,0,9000
4,0.75,0.4271,3458.8273,0,8458.8273,5000,0,9750
5,0.916666666667,0.4285,3459.8401,0,3459.8401,0,0,9750
6,1.08333333333,0.4311,3467.1582,0,3467.1582,0,0,9750
7,1.25,0.4302,3467.9632,0,3467.9632,0,0,9750
8,1.41666666667,0.4279,3466.9683,0,5466.9683,2000,0,10050
9,1.58333333333,0.4312,3482.4927,0,3482.4927,0,0,10050
10,1.75,0.4333,3495.0841,0,3495.0841,0,0,10050
11,1.91666666667,0.4311,3498.4443,0,3498.4443,0,0,10050
12,2.08333333333,0.4293,3505.2295,0,3505.2295,0,0,10050
13,2.25,0.4324,3512.6387,0,3512.6387,0,0,10050
14,2.41666666667,0.4367,3516.8685,0,3516.8685,0,0,10050
15,2.58333333333,0.4348,3517.9246,0,3517.9246,0,0,10050
16,2.75,0.4335,3518.5518,0,3518.5518,0,0,10050
17,2.91666666667,0.4357,3521.0976,0,3521.0976,0,0,10050
18,3.08333333333,0.4374,3526.9261,0,3526.9261,0,0,10050
19,3.25,0.4371,3537.2854,0,3537.2854,0,0,10050
20,3.41666666667,0.4356,3544.8808,0,3544.8808,0,0,10050
21,3.58333333333,0.4353,3541.2787,0,3541.2787,0,0,10050
22,3.75,0.436,3546.3976,0,3546.3976,0,0,10050
23,3.91666666667,0.4378,3560.207,0,3560.207,0,0,10050
24,4.08333333333,0.4401,3561.9581,0,3561.9581,0,0,10050
25,4.25,0.4389,3556.7183,0,3556.7183,0,0,10050
26,4.41666666667,0.4364,3560.0272,0,3560.0272,0,0,10050
27,4.58333333333,0.4393,3580.654,0.5994,3580.0546,0,0,10050
28,4.75,0.4422,3586.916,0.2345,3586.6815,0,0,10050
29,4.91666666667,0.4395,3571.2635,0.2885,3570.975,0,0,10050
30,5.08333333333,0.4333,3562.3171,18.6781,3543.639,0,0,10050
31,5.25,0.4439,3591.3809,54.4698,3536.9111,0,0,10050
32,5.41666666667,0.4301,3579.7045,108.9718,3470.7327,0,0,10050
33,5.58333333333,0.3713,3486.119,184.1603,8301.9587,5000,0,10800
34,5.75,0.5708,3823.8994,277.0582,3546.8412,0,-0,10800
35,5.91666666667,0.9099,4398.0727,388.5494,0,0,4009.5233,10057.4956852
36,6.08333333333,0.9368,4454.0123,521.2803,0,0,3932.732,9329.21198148
37,6.25,0.8758,4371.7919,672.7677,0,0,3699.0242,8644.2075
38,6.41666666667,0.8759,4392.953,844.2261,0,0,3548.7269,7987.03585185
39,6.58333333333,0.8601,4384.5956,1039.6744,0,0,3344.9212,7367.606
40,6.75,0.8442,4434.7757,1259.3375,0,0,3175.4382,6779.56188889
41,6.91666666667,0.8334,4523.4561,1508.6318,0,0,3014.8243,6221.26109259
42,7.08333333333,0.8092,4524.0721,1791.4107,0,0,2732.6614,5715.21268519
43,7.25,0.7972,4545.8867,2085.4865,0,0,2460.4002,5259.58301852
44,7.41666666667,0.7644,4523.2418,2381.2611,0,0,2141.9807,4862.91992593
45,7.58333333333,0.6899,4383.3566,2683.1752,0,0,1700.1814,4548.07151852
46,7.75,0.86,4910.4599,2986.3552,0,0,1924.1047,4191.75583333
47,7.91666666667,1.1617,5799.7327,3289.204,0,0,2510.5287,3726.84311111
48,8.08333333333,1.1683,5884.826,3593.3613,0,0,2291.4647,3302.4977963
49,8.25,1.0956,5748.0713,3890.7332,0,0,1857.3381,2958.5462963
50,8.41666666667,1.0849,5769.0581,4181.3417,0,0,1587.7164,2664.52474074
51,8.58333333333,1.061,5754.2105,4471.7657,0,0,1282.4448,2427.03496296
52,8.75,1.043,5824.1807,4752.8272,0,0,1071.3535,2228.63616667
53,8.91666666667,1.036,5954.2601,5021.9074,0,0,932.3527,2055.97825926
54,9.08333333333,1.0147,5958.9696,5285.4126,0,0,673.557,1931.24548148
55,9.25,0.9922,5929.5554,5543.1742,0,0,386.3812,1859.69340741
56,9.41666666667,0.97,5923.7828,5788.4093,0,0,135.3735,1834.62424074
57,9.58333333333,0.9422,5907.586,6012.1304,0,104.5444,0,1850.30590074
58,9.75,0.9569,5899.1262,6216.1528,0,317.0266,0,1897.85989074
59,9.91666666667,0.9977,5902.2196,6409.5941,0,507.3745,0,1973.96606574
60,10.0833333333,0.9919,5897.4793,6599.3808,0,701.9015,0,2079.25129074
61,10.25,0.9588,5886.7568,6766.7204,0,879.9636,0,2211.24583074
62,10.4166666667,0.9549,5873.4708,6914.5923,0,1041.1215,0,2367.41405574
63,10.5833333333,0.9839,5858.0308,7064.2053,0,1206.1745,0,2548.34023074
64,10.75,0.799,5844.9948,7197.4315,0,1352.4367,0,2751.20573574
65,10.9166666667,0.5025,5839.0587,7303.1142,0,1464.0555,0,2970.81406074
66,11.0833333333,0.4662,5838.7103,7387.6848,3451.0255,5000,0,3720.81406074
67,11.25,0.5007,5823.4378,7459.227,0,1635.7892,0,3966.18244074
68,11.4166666667,0.4827,5814.7932,7520.7191,0,1705.9259,0,4222.07132574
69,11.5833333333,0.4785,5832.3951,7568.2039,1075.6630284,2811.4718284,0,4643.7921
70,11.75,0.4662,5712.901,7592.1539,3120.7471,5000,0,5393.7921
71,11.9166666667,0.4432,5519.4607,7601.0433,2918.4174,5000,0,6143.7921
72,12.0833333333,0.4411,5494.7907,7612.316,2882.4747,5000,0,6893.7921
73,12.25,0.4551,5514.4524,7602.6524,2911.8,5000,0,7643.7921
74,12.4166666667,0.4463,5485.829,7554.1872,2931.6418,5000,0,8393.7921
75,12.5833333333,0.4113,5462.3628,7472.7384,2989.6244,5000,0,9143.7921
76,12.75,0.5682,5566.1066,7393.4172,0,1827.3106,0,9417.88869
77,12.9166666667,0.8279,5725.7548,7312.7979,0,1587.0431,0,9655.945155
78,13.0833333333,0.8636,5739.4957,7194.541,0,1455.0453,0,9874.20195
79,13.25,0.8416,5714.6836,7053.1371,0,1338.4535,0,10074.969975
80,13.4166666667,0.8618,5717.8505,6910.4064,0,1192.5559,0,10253.85336
81,13.5833333333,0.8623,5708.2486,6772.4075,0,1064.1589,0,10413.477195
82,13.75,0.9026,5696.9182,6607.36,0,910.4418,0,10550.043465
83,13.9166666667,0.9754,5692.2983,6412.5085,0,720.2102,0,10658.074995
84,14.0833333333,1.0002,5687.1291,6214.0158,0,526.8867,0,10737.108
85,14.25,0.9978,5678.962,6000.7112,0,321.7492,0,10785.37038
86,14.4166666667,1.0271,5669.4508,5766.9816,0,97.5308,0,10800
87,14.5833333333,1.0906,5664.1948,5521.5066,0,0,142.6882,10773.5762593
88,14.75,0.9376,5672.7011,5268.781,0,0,403.9201,10698.7762407
89,14.9166666667,0.6694,5682.2544,5009.7152,672.5392,0,0,10698.7762407
90,15.0833333333,0.66,5669.0195,4743.4484,1600.39616173,674.825061728,0,10800
91,15.25,0.7217,5656.3651,4471.224,1185.1411,0,0,10800
92,15.4166666667,0.7308,5657.0867,4188.2025,1468.8842,0,0,10800
93,15.5833333333,0.7534,5662.6008,3889.3931,1773.2077,0,0,10800
94,15.75,0.7823,5669.2596,3594.5946,2074.665,0,0,10800
95,15.9166666667,0.8055,5673.4767,3303.8878,2369.5889,0,0,10800
96,16.0833333333,0.8271,5671.0146,2998.4247,2672.5899,0,0,10800
97,16.25,0.8519,5661.5926,2687.4131,2974.1795,0,0,10800
