slot,hour_center,baseline_kwh,optimized_kwh,delta_kwh,price,cost_delta_yuan
0,0.0833333333333,573.307766667,1406.6411,833.333333333,0.4248,354
1,0.25,572.996533333,1406.32986667,833.333333333,0.4245,353.75
2,0.416666666667,574.050516667,1407.38385,833.333333333,0.4269,355.75
3,0.583333333333,575.740616667,1409.07395,833.333333333,0.4272,356
4,0.75,576.471216667,1409.80455,833.333333333,0.4271,355.916666667
5,0.916666666667,576.640016667,576.640016667,0,0.4285,0
6,1.08333333333,577.8597,577.8597,0,0.4311,0
7,1.25,577.993866667,577.993866667,0,0.4302,0
8,1.41666666667,577.82805,911.161383333,333.333333333,0.4279,142.633333333
9,1.58333333333,580.41545,580.41545,0,0.4312,0
10,1.75,582.514016667,582.514016667,0,0.4333,0
11,1.91666666667,583.07405,583.07405,0,0.4311,0
12,2.08333333333,584.204916667,584.204916667,0,0.4293,0
13,2.25,585.439783333,585.439783333,0,0.4324,0
14,2.41666666667,586.14475,586.14475,0,0.4367,0
15,2.58333333333,586.320766667,586.320766667,0,0.4348,0
16,2.75,586.4253,586.4253,0,0.4335,0
17,2.91666666667,586.8496,586.8496,0,0.4357,0
18,3.08333333333,587.821016667,587.821016667,0,0.4374,0
19,3.25,589.547566667,589.547566667,0,0.4371,0
20,3.41666666667,590.813466667,590.813466667,0,0.4356,0
21,3.58333333333,590.213116667,590.213116667,0,0.4353,0
22,3.75,591.066266667,591.066266667,0,0.436,0
23,3.91666666667,593.367833333,593.367833333,0,0.4378,0
24,4.08333333333,593.659683333,593.659683333,0,0.4401,0
25,4.25,592.786383333,592.786383333,0,0.4389,0
26,4.41666666667,593.337866667,593.337866667,0,0.4364,0
27,4.58333333333,596.675766667,596.675766667,0,0.4393,0
28,4.75,597.78025,597.78025,0,0.4422,0
29,4.91666666667,595.1625,595.1625,0,0.4395,0
30,5.08333333333,590.6065,590.6065,0,0.4333,0
31,5.25,589.485183333,589.485183333,0,0.4439,0
32,5.41666666667,578.45545,578.45545,0,0.4301,0
33,5.58333333333,550.32645,1383.65978333,833.333333333,0.3713,309.416666667
34,5.75,591.1402,591.1402,0,0.5708,0
35,5.91666666667,668.253883333,0,-668.253883333,0.9099,-608.044208445
36,6.08333333333,655.455333333,0,-655.455333333,0.9368,-614.030556267
37,6.25,616.504033333,0,-616.504033333,0.8758,-539.934232393
