name,days,initial_energy_kwh,final_energy_kwh,first_residual_index,seconds,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,g_kwh,c_kwh,d_kwh,emergency_kwh,dump_kwh,h1_cost_yuan,h2_cost_yuan,saving_yuan,saving_percent,group,relative_folder,saving_vs_original_yuan
uniform56,334,8550,6000,0,34.9321904182,13508190.5453,893806.431125,14401996.9765,22170625.7584,6901766.49735,5592725.86286,237775.351582,3160170.98057,6012618.07945,8389378.897,0,0,原样本口径,variants/uniform56,0
half_life7,334,8550,6000,0,34.2452850342,13470128.1318,974247.903375,14444376.0352,22111552.8515,6890553.0826,5583642.9969,258228.71469,3123681.98556,6023393.76292,8420982.27225,-42379.0587102,-0.29425821141,原样本口径,variants/half_life7,-42379.0587102
half_life14,334,8550,6000,0,34.8951835632,13482107.6276,922163.943047,14404271.5707,22131589.0586,6892364.69937,5585110.40649,244460.924147,3129606.19495,6005749.95374,8398521.61694,-2274.59423193,-0.0157936030375,原样本口径,variants/half_life14,-2274.59423193
half_life28,334,8550,6000,0,36.0966513157,13495016.5923,896363.512019,14391380.1043,22150116.9063,6893998.79019,5586434.02005,237997.138672,3141359.77988,6001276.9802,8390103.12411,10616.8721495,0.0737180556757,原样本口径,variants/half_life28,10616.8721495
online_primary,334,8550,6000,0,35.5405306816,13461261.9119,938748.637331,14400010.5492,22099181.1282,6884711.03749,5578910.94037,248441.619825,3102633.15596,6008462.36703,8391548.18221,1986.4272149,0.0137927206772,原样本口径,variants/online_primary,1986.4272149
uniform28,334,8550,6000,0,18.1434805393,13491490.1758,952048.033007,14443538.2088,22152013.3907,6895229.33403,5587430.76056,250845.993547,3155871.31583,6020982.19962,8422556.00923,,,短窗口扩展,extensions/short_windows/variants/uniform28,-41541.2323902
uniform42,334,8550,6000,0,26.1876788139,13495066.6727,912327.656195,14407394.3289,22152980.4594,6898239.83658,5589869.26763,241795.114437,3147215.5099,6009295.74617,8398098.58276,,,短窗口扩展,extensions/short_windows/variants/uniform42,-5397.35247215
online_extended,334,8550,6000,0,34.4347896576,13466618.1984,927464.998994,14394083.1974,22106071.3292,6886527.80087,5580382.5187,245567.789295,3106304.34134,6003924.41539,8390158.78199,,,短窗口扩展,extensions/short_windows/variants/online_extended,7913.77907262
uniform56,334,8550,6000,7,36.3206248283,13462061.302,927073.780137,14389135.0821,22098240.8175,6888505.95482,5581984.82341,246063.253478,3098593.4446,5999756.18511,8389378.897,0,0,排除回退残差,sensitivity/valid_residuals/variants/uniform56,12861.8943389
half_life28,334,8550,6000,7,35.9027504921,13472941.8931,917089.232939,14390031.1261,22116641.4601,6889665.72782,5582924.23953,243038.840653,3113749.31746,5999928.00195,8390103.12411,-896.043945858,-0.00622722589471,排除回退残差,sensitivity/valid_residuals/variants/half_life28,11965.8503931
online_primary,334,8550,6000,7,35.4922561646,13458905.3305,940311.177212,14399216.5077,22097049.6202,6884284.22205,5578565.21986,248532.830848,3100673.95394,6007668.32553,8391548.18221,-10081.4256245,-0.0700627630985,排除回退残差,sensitivity/valid_residuals/variants/online_primary,2780.46871442
