date,original_cost,published_cost,saving_yuan,cumulative_saving_yuan
2025-02-01,27801.0566368,25094.6683261,2706.38831069,2706.38831069
2025-02-02,60490.5015741,58363.3545711,2127.14700296,4833.53531365
2025-02-03,59242.1644904,57350.0934495,1892.07104093,6725.60635458
2025-02-04,59920.7084889,60347.1169266,-426.408437675,6299.19791691
2025-02-05,58984.5412629,58563.1991225,421.342140447,6720.54005735
2025-02-06,57308.9521593,57566.8212139,-257.869054686,6462.67100267
2025-02-07,24972.1044778,24272.92,699.184477785,7161.85548045
2025-02-08,24355.4983023,22757.9880886,1597.5102137,8759.36569415
2025-02-09,57626.1382261,58149.3173063,-523.179080217,8236.18661394
2025-02-10,56450.5898704,54865.9616114,1584.62825899,9820.81487292
2025-02-11,55282.9511874,54170.500538,1112.45064936,10933.2655223
2025-02-12,55679.4262904,54862.4716561,816.954634283,11750.2201566
2025-02-13,54160.222469,52960.2585585,1199.96391047,12950.184067
2025-02-14,22774.2802959,22251.2562046,523.024091233,13473.2081583
2025-02-15,22710.2139114,21853.948299,856.265612408,14329.4737707
2025-02-16,54700.2013306,55332.2057197,-632.004389095,13697.4693816
2025-02-17,51836.3048571,50757.8564477,1078.44840934,14775.9177909
2025-02-18,52014.4394074,51677.4412174,336.998189977,15112.9159809
2025-02-19,53427.9130379,53779.487333,-351.574295152,14761.3416857
2025-02-20,51281.949601,51148.2444019,133.705199101,14895.0468848
2025-02-21,20483.7860475,20044.3890543,439.396993209,15334.4438781
2025-02-22,21303.2066561,21481.2726887,-178.066032688,15156.3778454
2025-02-23,51820.36783,52340.3181147,-519.950284707,14636.4275607
2025-02-24,50345.0762341,49815.5992011,529.477033029,15165.9045937
2025-02-25,50165.8795521,49500.4477544,665.431797651,15831.3363913
2025-02-26,50130.3971511,50303.5969901,-173.199838955,15658.1365524
2025-02-27,48664.0746315,48786.5513898,-122.476758336,15535.659794
2025-02-28,19086.0057743,19100.6437923,-14.6380180251,15521.021776
2025-03-01,20433.5099236,20789.7792684,-356.269344791,15164.7524312
2025-03-02,62213.8570309,63467.5242056,-1253.6671747,13911.0852565
2025-03-03,59111.8626847,59992.1541107,-880.291426032,13030.7938305
2025-03-04,49696.7525697,49865.6520613,-168.899491586,12861.8943389
2025-03-05,48088.4689352,48088.4689352,0,12861.8943389
2025-03-06,46357.5655375,46357.5655375,0,12861.8943389
2025-03-07,17795.3913545,17795.3913545,0,12861.8943389
2025-03-08,19871.0225175,19871.0225175,0,12861.8943389
2025-03-09,46841.41401,46841.41401,0,12861.8943389
2025-03-10,51236.575077,51236.575077,0,12861.8943389
2025-03-11,46901.0509765,46901.0509765,0,12861.8943389
2025-03-12,46037.5272409,46037.5272409,0,12861.8943389
2025-03-13,52356.7113338,52356.7113338,0,12861.8943389
2025-03-14,17335.9571103,17335.9571103,0,12861.8943389
2025-03-15,20650.9771124,20650.9771124,0,12861.8943389
2025-03-16,46617.4305146,46617.4305146,0,12861.8943389
2025-03-17,44596.3352494,44596.3352494,0,12861.8943389
2025-03-18,47039.9251532,47039.9251532,0,12861.8943389
2025-03-19,44551.5899212,44551.5899212,0,12861.8943389
2025-03-20,43269.002437,43269.002437,0,12861.8943389
2025-03-21,16711.262183,16711.262183,0,12861.8943389
2025-03-22,18857.5939599,18857.5939599,0,12861.8943389
2025-03-23,44053.4782505,44053.4782505,0,12861.8943389
2025-03-24,42827.0862389,42827.0862389,0,12861.8943389
2025-03-25,45445.5202582,45445.5202582,0,12861.8943389
2025-03-26,41616.3137749,41616.3137749,0,12861.8943389
2025-03-27,40886.1901526,40886.1901526,0,12861.8943389
2025-03-28,16754.9363191,16754.9363191,0,12861.8943389
2025-03-29,18646.3639899,18646.3639899,0,12861.8943389
2025-03-30,41269.858678,41269.858678,0,12861.8943389
2025-03-31,45710.4687946,45710.4687946,0,12861.8943389
2025-04-01,47854.4460021,47854.4460021,0,12861.8943389
2025-04-02,51152.1649112,51152.1649112,0,12861.8943389
2025-04-03,39160.7505441,39160.7505441,0,12861.8943389
2025-04-04,15700.0185085,15700.0185085,0,12861.8943389
2025-04-05,18736.4890553,18736.4890553,0,12861.8943389
2025-04-06,39819.1124739,39819.1124739,0,12861.8943389
2025-04-07,39439.0692142,39439.0692142,0,12861.8943389
2025-04-08,41497.0451439,41497.0451439,0,12861.8943389
2025-04-09,45460.8455644,45460.8455644,0,12861.8943389
2025-04-10,38837.0971518,38837.0971518,0,12861.8943389
2025-04-11,15695.9432909,15695.9432909,0,12861.8943389
2025-04-12,18011.659073,18011.659073,0,12861.8943389
2025-04-13,39305.4447771,39305.4447771,0,12861.8943389
2025-04-14,38869.5870264,38869.5870264,0,12861.8943389
2025-04-15,38861.869665,38861.869665,0,12861.8943389
2025-04-16,39451.0303655,39451.0303655,0,12861.8943389
2025-04-17,35618.5621594,35618.5621594,0,12861.8943389
2025-04-18,14455.8054822,14455.8054822,0,12861.8943389
2025-04-19,17308.7777739,17308.7777739,0,12861.8943389
2025-04-20,38525.354944,38525.354944,0,12861.8943389
2025-04-21,37580.1351731,37580.1351731,0,12861.8943389
2025-04-22,38135.5894918,38135.5894918,0,12861.8943389
2025-04-23,37113.1211506,37113.1211506,0,12861.8943389
2025-04-24,34427.0389,34427.0389,0,12861.8943389
2025-04-25,13952.6479448,13952.6479448,0,12861.8943389
2025-04-26,16990.91014,16990.91014,0,12861.8943389
2025-04-27,39018.1894349,39018.1894349,0,12861.8943389
2025-04-28,51369.1008193,51369.1008193,0,12861.8943389
2025-04-29,37965.5380483,37965.5380483,0,12861.8943389
2025-04-30,37420.2413989,37420.2413989,0,12861.8943389
2025-05-01,44797.7890241,44797.7890241,0,12861.8943389
2025-05-02,24838.6790213,24838.6790213,0,12861.8943389
2025-05-03,22655.8907394,22655.8907394,0,12861.8943389
2025-05-04,41656.2168993,41656.2168993,0,12861.8943389
2025-05-05,44137.4108767,44137.4108767,0,12861.8943389
2025-05-06,42903.1228602,42903.1228602,0,12861.8943389
2025-05-07,42468.4204788,42468.4204788,0,12861.8943389
2025-05-08,40560.096995,40560.096995,0,12861.8943389
2025-05-09,16853.3428873,16853.3428873,0,12861.8943389
2025-05-10,19919.8987607,19919.8987607,0,12861.8943389
2025-05-11,41794.0191084,41794.0191084,0,12861.8943389
2025-05-12,43063.2918297,43063.2918297,0,12861.8943389
2025-05-13,40425.3934306,40425.3934306,0,12861.8943389
2025-05-14,40682.4178107,40682.4178107,0,12861.8943389
2025-05-15,38721.1081534,38721.1081534,0,12861.8943389
2025-05-16,16631.4480675,16631.4480675,0,12861.8943389
2025-05-17,21185.9413354,21185.9413354,0,12861.8943389
2025-05-18,41121.5090152,41121.5090152,0,12861.8943389
2025-05-19,39640.667069,39640.667069,0,12861.8943389
2025-05-20,40697.1560703,40697.1560703,0,12861.8943389
2025-05-21,41032.4200972,41032.4200972,0,12861.8943389
2025-05-22,36139.0657088,36139.0657088,0,12861.8943389
2025-05-23,15699.5448446,15699.5448446,0,12861.8943389
2025-05-24,18859.2121501,18859.2121501,0,12861.8943389
2025-05-25,38893.8120118,38893.8120118,0,12861.8943389
2025-05-26,42920.1455772,42920.1455772,0,12861.8943389
2025-05-27,38506.6840212,38506.6840212,0,12861.8943389
2025-05-28,40793.109945,40793.109945,0,12861.8943389
2025-05-29,39082.6191048,39082.6191048,0,12861.8943389
2025-05-30,16896.7496755,16896.7496755,0,12861.8943389
2025-05-31,19526.8039403,19526.8039403,0,12861.8943389
2025-06-01,84518.734585,84518.734585,0,12861.8943389
2025-06-02,73713.0294314,73713.0294314,0,12861.8943389
2025-06-03,56957.1312952,56957.1312952,0,12861.8943389
2025-06-04,56322.0807493,56322.0807493,0,12861.8943389
2025-06-05,50493.4879013,50493.4879013,0,12861.8943389
2025-06-06,27536.0156912,27536.0156912,0,12861.8943389
2025-06-07,28506.0033929,28506.0033929,0,12861.8943389
2025-06-08,55630.7586308,55630.7586308,0,12861.8943389
2025-06-09,54887.0006867,54887.0006867,0,12861.8943389
2025-06-10,55069.5989162,55069.5989162,0,12861.8943389
2025-06-11,58596.6417435,58596.6417435,0,12861.8943389
2025-06-12,52870.1612339,52870.1612339,0,12861.8943389
2025-06-13,24538.2698593,24538.2698593,0,12861.8943389
2025-06-14,26848.8291045,26848.8291045,0,12861.8943389
2025-06-15,55853.4615212,55853.4615212,0,12861.8943389
2025-06-16,56469.3545214,56469.3545214,0,12861.8943389
2025-06-17,58834.3816679,58834.3816679,0,12861.8943389
2025-06-18,56162.342026,56162.342026,0,12861.8943389
2025-06-19,53233.878385,53233.878385,0,12861.8943389
2025-06-20,23602.2679442,23602.2679442,0,12861.8943389
2025-06-21,26609.8560435,26609.8560435,0,12861.8943389
2025-06-22,54542.4995506,54542.4995506,0,12861.8943389
2025-06-23,53497.357798,53497.357798,0,12861.8943389
2025-06-24,61474.1947574,61474.1947574,0,12861.8943389
2025-06-25,54473.5765389,54473.5765389,0,12861.8943389
2025-06-26,49895.6475263,49895.6475263,0,12861.8943389
2025-06-27,21541.9802778,21541.9802778,0,12861.8943389
2025-06-28,24390.4006783,24390.4006783,0,12861.8943389
2025-06-29,53475.6555648,53475.6555648,0,12861.8943389
2025-06-30,54434.9572505,54434.9572505,0,12861.8943389
2025-07-01,71576.243898,71576.243898,0,12861.8943389
2025-07-02,67663.2978123,67663.2978123,0,12861.8943389
2025-07-03,63881.9977419,63881.9977419,0,12861.8943389
2025-07-04,30331.23301,30331.23301,0,12861.8943389
2025-07-05,31698.4044902,31698.4044902,0,12861.8943389
2025-07-06,62258.3019704,62258.3019704,0,12861.8943389
2025-07-07,56700.1329479,56700.1329479,0,12861.8943389
2025-07-08,58353.6674643,58353.6674643,0,12861.8943389
2025-07-09,57463.4726653,57463.4726653,0,12861.8943389
2025-07-10,54253.5481723,54253.5481723,0,12861.8943389
2025-07-11,28219.0393666,28219.0393666,0,12861.8943389
2025-07-12,30302.0650286,30302.0650286,0,12861.8943389
2025-07-13,55137.3042849,55137.3042849,0,12861.8943389
2025-07-14,54118.3728016,54118.3728016,0,12861.8943389
2025-07-15,59385.7264487,59385.7264487,0,12861.8943389
2025-07-16,56928.3277918,56928.3277918,0,12861.8943389
2025-07-17,54758.7270199,54758.7270199,0,12861.8943389
2025-07-18,27265.5377542,27265.5377542,0,12861.8943389
2025-07-19,29919.3102089,29919.3102089,0,12861.8943389
2025-07-20,54413.9478495,54413.9478495,0,12861.8943389
2025-07-21,55632.4753881,55632.4753881,0,12861.8943389
2025-07-22,58264.6100582,58264.6100582,0,12861.8943389
2025-07-23,56597.3650473,56597.3650473,0,12861.8943389
2025-07-24,55932.2269289,55932.2269289,0,12861.8943389
2025-07-25,27221.6214177,27221.6214177,0,12861.8943389
2025-07-26,29740.5111378,29740.5111378,0,12861.8943389
2025-07-27,57596.3064803,57596.3064803,0,12861.8943389
2025-07-28,61356.8771567,61356.8771567,0,12861.8943389
2025-07-29,59287.2711076,59287.2711076,0,12861.8943389
2025-07-30,56756.6120454,56756.6120454,0,12861.8943389
2025-07-31,53503.9429163,53503.9429163,0,12861.8943389
2025-08-01,26516.2179748,26516.2179748,0,12861.8943389
2025-08-02,28840.0830589,28840.0830589,0,12861.8943389
2025-08-03,54424.7478462,54424.7478462,0,12861.8943389
2025-08-04,51409.7463938,51409.7463938,0,12861.8943389
2025-08-05,50783.9263591,50783.9263591,0,12861.8943389
2025-08-06,56132.6408648,56132.6408648,0,12861.8943389
2025-08-07,46906.7175048,46906.7175048,0,12861.8943389
2025-08-08,24831.7713814,24831.7713814,0,12861.8943389
2025-08-09,28854.0555836,28854.0555836,0,12861.8943389
2025-08-10,51759.0901788,51759.0901788,0,12861.8943389
2025-08-11,51003.9966079,51003.9966079,0,12861.8943389
2025-08-12,54850.7028519,54850.7028519,0,12861.8943389
2025-08-13,52503.9708294,52503.9708294,0,12861.8943389
2025-08-14,48864.1397849,48864.1397849,0,12861.8943389
2025-08-15,25718.5391269,25718.5391269,0,12861.8943389
2025-08-16,28346.4603791,28346.4603791,0,12861.8943389
2025-08-17,49602.0483818,49602.0483818,0,12861.8943389
2025-08-18,50211.67275,50211.67275,0,12861.8943389
2025-08-19,50432.1507838,50432.1507838,0,12861.8943389
2025-08-20,60496.0334956,60496.0334956,0,12861.8943389
2025-08-21,49375.8549277,49375.8549277,0,12861.8943389
2025-08-22,28357.856667,28357.856667,0,12861.8943389
2025-08-23,28341.0518984,28341.0518984,0,12861.8943389
2025-08-24,50627.2464119,50627.2464119,0,12861.8943389
2025-08-25,56291.5650891,56291.5650891,0,12861.8943389
2025-08-26,51352.5082828,51352.5082828,0,12861.8943389
2025-08-27,51650.4150328,51650.4150328,0,12861.8943389
