date,slot,start,end,issue_hour,price_yuan_per_kwh,original_kwh,adjusted_kwh,increase_kwh,decrease_kwh,charge_kwh,discharge_kwh,energy_before_kwh,energy_after_kwh,load_kwh,pv_kwh,forecast_net_kwh,net_supply_kwh,emergency_kwh,dump_kwh,planned_cost_yuan,increase_cost_yuan,cancellation_refund_yuan,breach_cost_yuan,adjustment_net_yuan,emergency_cost_yuan,total_cost_yuan,delta_grid_kw
2025-03-20,0,00:00,00:10,0,0.4248,1392.26697167,1392.26697167,0,0,796.068683333,0,8583.538185,9300,549.844816667,0,574.031125833,596.198288333,0,46.3534716667,591.435009564,0,0,0,0,0,591.435009564,0
2025-03-20,1,00:10,00:20,0,0.4245,1427.9557975,1427.9557975,0,0,833.333333333,0,9300,10050,570.3135,0,573.4533675,594.622464167,0,24.3089641667,606.167236039,0,0,0,0,0,606.167236039,0
2025-03-20,2,00:20,00:30,0,0.4269,601.462666667,601.462666667,0,0,0,0,10050,10050,613.851666667,0,582.428833333,601.462666667,12.389,0,256.7644124,0,0,0,0,26.4443205,283.2087329,0
2025-03-20,3,00:30,00:40,0,0.4272,596.542393333,596.542393333,0,0,0,0,10050,10050,579.456166667,0,581.882428333,596.542393333,0,17.0862266667,254.842910432,0,0,0,0,0,254.842910432,0
2025-03-20,4,00:40,00:50,0,0.4271,596.131573611,596.131573611,0,0,0,0,10050,10050,550.444916667,0,576.97248,596.131573611,0,45.6866569444,254.607795089,0,0,0,0,0,254.607795089,0
2025-03-20,5,00:50,01:00,0,0.4285,599.524416667,599.524416667,0,0,0,0,10050,10050,571.156666667,0,579.208666667,599.524416667,0,28.36775,256.896212542,0,0,0,0,0,256.896212542,0
2025-03-20,6,01:00,01:10,0,0.4311,612.347540833,612.347540833,0,0,0,0,10050,10050,601.58905,0,591.3209875,612.347540833,0,10.7584908333,263.983024853,0,0,0,0,0,263.983024853,0
2025-03-20,7,01:10,01:20,0,0.4302,599.40234,599.40234,0,0,0,0,10050,10050,611.48375,0,582.842955,599.40234,12.08141,0,257.862886668,0,0,0,0,25.98711291,283.849999578,0
2025-03-20,8,01:20,01:30,0,0.4279,577.047583333,577.047583333,0,0,0,0,10050,10050,598.216666667,0,560.4865,577.047583333,21.1690833333,0,246.918660908,0,0,0,0,45.2912537917,292.2099147,0
2025-03-20,9,01:30,01:40,0,0.4312,579.707860833,579.707860833,0,0,0,0,10050,10050,583.93595,0,563.189760833,579.707860833,4.22808916667,0,249.970029591,0,0,0,0,9.11576024333,259.085789835,0
2025-03-20,10,01:40,01:50,0,0.4333,593.400890833,593.400890833,0,0,0,0,10050,10050,590.99505,0,577.237930833,593.400890833,0,2.40584083333,257.120605998,0,0,0,0,0,257.120605998,0
2025-03-20,11,01:50,02:00,0,0.4311,604.756166667,604.756166667,0,0,0,0,10050,10050,598.443333333,0,583.294,604.756166667,0,6.31283333333,260.71038345,0,0,0,0,0,260.71038345,0
2025-03-20,12,02:00,02:10,0,0.4293,597.379435,597.379435,0,0,0,0,10050,10050,565.983616667,0,576.1433525,597.379435,0,31.3958183333,256.454991446,0,0,0,0,0,256.454991446,0
2025-03-20,13,02:10,02:20,0,0.4324,592.580726389,592.580726389,0,0,0,0,10050,10050,546.120766667,0,574.053888333,592.580726389,0,46.4599597222,256.231906091,0,0,0,0,0,256.231906091,0
2025-03-20,14,02:20,02:30,0,0.4367,601.35925,601.35925,0,0,0,0,10050,10050,565.713333333,0,581.873916667,601.35925,0,35.6459166667,262.613584475,0,0,0,0,0,262.613584475,0
2025-03-20,15,02:30,02:40,0,0.4348,608.461759167,608.461759167,0,0,0,0,10050,10050,597.926566667,0,589.0024,608.461759167,0,10.5351925,264.559172886,0,0,0,0,0,264.559172886,0
2025-03-20,16,02:40,02:50,0,0.4335,626.847893333,626.847893333,0,0,0,0,10050,10050,600.954466667,0,599.062913333,626.847893333,0,25.8934266667,271.73856176,0,0,0,0,0,271.73856176,0
2025-03-20,17,02:50,03:00,0,0.4357,623.637333333,623.637333333,0,0,0,0,10050,10050,587.131666667,0,601.583416667,623.637333333,0,36.5056666667,271.718786133,0,0,0,0,0,271.718786133,0
2025-03-20,18,03:00,03:10,0,0.4374,604.524231667,604.524231667,0,0,0,0,10050,10050,605.2103,0,579.726738333,604.524231667,0.686068333334,0,264.418898931,0,0,0,0,1.500431445,265.919330376,0
2025-03-20,19,03:10,03:20,0,0.4371,580.384505833,580.384505833,0,0,0,0,10050,10050,621.892383333,0,561.896660833,580.384505833,41.5078775,0,253.6860675,0,0,0,0,90.7154662763,344.401533776,0
2025-03-20,20,03:20,03:30,0,0.4356,592.19725,592.19725,0,0,0,0,10050,10050,620.168333333,0,570.9515,592.19725,27.9710833333,0,257.9611221,0,0,0,0,60.9210195,318.8821416,0
