name,month,cost_yuan,saving_yuan
q2_repriced,2,1324455.08981,0
q2_repriced,3,1208913.63038,0
q2_repriced,4,993512.55208,0
q2_repriced,5,1028608.48457,0
q2_repriced,6,1566998.6686,0
q2_repriced,7,1806306.29782,0
q2_repriced,8,1524750.91578,0
q2_repriced,9,1206116.51167,0
q2_repriced,10,1179612.12366,0
q2_repriced,11,1378668.82473,0
q2_repriced,12,1966761.13239,0
mean_price,2,1322286.39202,2168.6977838
mean_price,3,1208107.45438,806.175996282
mean_price,4,995484.978863,-1972.42678223
mean_price,5,1029575.72803,-967.243464964
mean_price,6,1555694.73048,11303.9381179
mean_price,7,1800448.8819,5857.41591991
mean_price,8,1513368.86551,11382.0502701
mean_price,9,1208979.34881,-2862.83713836
mean_price,10,1182237.55691,-2625.43324746
mean_price,11,1376179.71313,2489.11160097
mean_price,12,1968557.79581,-1796.66341745
joint_price,2,1322585.76149,1869.32832114
joint_price,3,1207996.32983,917.300544548
joint_price,4,993412.889598,99.6624829275
joint_price,5,1029209.40961,-600.925044853
joint_price,6,1557119.76425,9878.90434122
joint_price,7,1800203.95202,6102.34580097
joint_price,8,1511209.68735,13541.2284333
joint_price,9,1208946.63859,-2830.12692393
joint_price,10,1184031.69691,-4419.57325151
joint_price,11,1377933.81641,735.008319558
joint_price,12,1970393.94225,-3632.80985764
known_today_price,2,1312695.03716,11760.0526505
known_today_price,3,1195938.16435,12975.4660295
known_today_price,4,984825.833997,8686.71808397
known_today_price,5,1016553.86595,12054.6186187
known_today_price,6,1544567.94728,22430.7213196
known_today_price,7,1790629.17033,15677.1274888
known_today_price,8,1504392.84457,20358.0712151
known_today_price,9,1192753.62427,13362.8873982
known_today_price,10,1169698.24556,9913.87810582
known_today_price,11,1364066.01464,14602.8100816
known_today_price,12,1956922.43012,9838.70226774
