date,slot,price_yuan_per_kwh_difference,adjusted_kwh_difference,energy_after_kwh_difference
2025-03-20,0,0.0239,-4887.734495,-8100
2025-03-20,1,0.0128,-53.494025,-8100
2025-03-20,2,0.0042,4939.599,-7350
2025-03-20,3,0.0072,4942.790025,-6600
2025-03-20,4,-0.0033,4919.21433833,-5850
2025-03-20,5,0.0011,4910.351,-5100
2025-03-20,6,0.0678,4931.04824333,-4350
2025-03-20,7,0.0781,4933.13537,-3600
2025-03-20,8,0.0189,4950.9195,-2850
2025-03-20,9,-0.0028,-74.0659066667,-2850
2025-03-20,10,0.0103,-55.837305,-2850
2025-03-20,11,0.0229,-72.505,-2850
2025-03-20,12,0.0111,-41.946865,-2850
2025-03-20,13,0.0081,-56.9888166667,-2850
2025-03-20,14,0.0178,-70.5885,-2850
2025-03-20,15,0.0041,4933.329075,-2100
2025-03-20,16,-0.0467,-124.59829,-2100
2025-03-20,17,-0.0723,-64.684,-2100
2025-03-20,18,0.0042,-106.141695,-2100
2025-03-20,19,0.0468,-51.27767,-2100
2025-03-20,20,0.0218,-54.9865,-2100
2025-03-20,21,0.0222,-67.292365,-2100
2025-03-20,22,0.0269,-64.524155,-2100
2025-03-20,23,0.0048,-60.2541666667,-2100
2025-03-20,24,-0.0378,-41.596785,-2100
2025-03-20,25,-0.0314,-81.648488879,-2100
2025-03-20,26,0.0156,4910.6555,-1350
2025-03-20,27,0.0253,4941.5766135,-600
2025-03-20,28,0.0139,-83.0048516548,-600
2025-03-20,29,-0.0016,-97.5078333333,-600
2025-03-20,30,-0.0156,3959.55983838,0
2025-03-20,31,0.0201,-69.5855193664,0
2025-03-20,32,0.0501,-92.802,0
2025-03-20,33,-0.0193,-56.653260155,0
2025-03-20,34,0.0086,-87.8265946099,0
2025-03-20,35,0.1086,0,15.2639814815
2025-03-20,36,0.0582,0,32.0642523816
2025-03-20,37,0.0174,0,45.5838303721
2025-03-20,38,0.0522,0,62.5080645594
2025-03-20,39,0.063,0,83.2047449302
2025-03-20,40,0.0578,0,105.809258259
2025-03-20,41,0.0373,0,131.484647889
2025-03-20,42,-0.01,-2481.4753351,-308.576085326
2025-03-20,43,-0.0015,-488.063160011,-378.804712619
2025-03-20,44,0.0402,-86.0686386698,-371.432268159
2025-03-20,45,0.0102,-89.4463832403,-363.096291474
2025-03-20,46,-0.0133,0,-351.247228073
2025-03-20,47,0.0171,0,-333.946399132
2025-03-20,48,0.0673,0,-304.483183494
2025-03-20,49,0.092,0,-283.954388892
2025-03-20,50,0.072,0,-257.039745952
2025-03-20,51,0.0259,0,-233.301769239
2025-03-20,52,0.0097,0,-199.93534254
2025-03-20,53,0.032,0,-174.644522201
2025-03-20,54,0.0525,0,-141.124037525
2025-03-20,55,0.0641,0,-100.116073189
2025-03-20,56,0.0644,0,-70.4865328009
2025-03-20,57,0.0515,0,-29.1998022159
2025-03-20,58,0.0402,0,-4.96153555325
2025-03-20,59,0.0154,0,-2.06703938034
2025-03-20,60,-0.0439,0,0
2025-03-20,61,-0.053,0,14.9817338348
2025-03-20,62,-0.027,0,31.7751278567
2025-03-20,63,-0.0569,0,62.9040543066
2025-03-20,64,-0.0362,0,94.1667607307
2025-03-20,65,0.0415,-193.552824513,87.1561098354
2025-03-20,66,0.0684,-224.098105016,89.7679086958
2025-03-20,67,0.0865,-1485.26982558,-78.1478148902
2025-03-20,68,0.0943,-262.183491795,-50.034551198
2025-03-20,69,0.0456,-446.943157621,-50.034551198
2025-03-20,70,0.0449,-205.222984019,-50.034551198
2025-03-20,71,0.0726,-137.751972266,-50.034551198
2025-03-20,72,0.0108,-39.0778186099,-38.9825605188
2025-03-20,73,-0.0116,-244.958695395,-22.3493277149
2025-03-20,74,0.0452,-89.6720161593,-5.77748172188
2025-03-20,75,0.0859,-210.568781145,-5.77748172188
2025-03-20,76,0.0922,-1072.41436967,-149.225963984
2025-03-20,77,0.0722,0,-136.256558602
2025-03-20,78,0.0489,0,-114.336435871
2025-03-20,79,0.0774,0,-98.3957079375
2025-03-20,80,0.1199,0,-82.3309402698
2025-03-20,81,0.0738,0,-55.8327240939
2025-03-20,82,-0.0197,0,-38.4644598214
2025-03-20,83,-0.083,0,-11.074258365
2025-03-20,84,-0.0651,0,0
2025-03-20,85,-0.0161,0,23.174643896
2025-03-20,86,-0.0004,0,62.3985360886
2025-03-20,87,-0.0359,0,106.682499226
2025-03-20,88,-0.0109,0,138.535657017
2025-03-20,89,0.0443,-170.74600472,138.535657017
2025-03-20,90,-0.0075,-1063.01580112,0
2025-03-20,91,-0.0418,-123.334759477,0
2025-03-20,92,-0.0007,-201.799763174,0
2025-03-20,93,0.0516,-129.963114057,0
2025-03-20,94,0.0965,-106.308198838,0
2025-03-20,95,0.1034,-129.489511726,-0.66037490188
2025-03-20,96,0.0496,-113.14702331,-0.352769260526
2025-03-20,97,0.0369,-78.463960048,0
2025-03-20,98,0.065,-37.7960890927,2.03082087384
2025-03-20,99,0.0436,-53.9975272509,0
2025-03-20,100,0.0514,-114.624227755,0
2025-03-20,101,0.0875,-80.8322917832,0
2025-03-20,102,0.069,-74.651414917,0
2025-03-20,103,0.0745,-85.6631227803,0
2025-03-20,104,0.1017,-120.082555967,-8.53745157261
2025-03-20,105,0.0631,-107.460821236,-8.53745157261
2025-03-20,106,0.019,-79.5243042031,-9.85951512044
2025-03-20,107,0.0175,-4387.7975,-807.782755861
2025-03-20,108,0.0432,-4230.50350218,-1586.67536317
2025-03-20,109,0.0314,-3725.36369933,-2269.95395713
2025-03-20,110,0.0022,-4530.3265,-3097.22627194
2025-03-20,111,0.0251,-4476.32483911,-3914.59131165
2025-03-20,112,-0.0068,-1097.08539464,-4103.14528905
2025-03-20,113,-0.0773,0,-4094.44763473
2025-03-20,114,-0.0624,4202.54913697,-3299.27673507
2025-03-20,115,-0.0776,4210.35790579,-2507.53158029
2025-03-20,116,-0.116,4237.7505,-1706.48213585
2025-03-20,117,-0.0588,0,-1684.37006469
2025-03-20,118,-0.0649,0,-1674.36959678
2025-03-20,119,-0.1249,0,-1662.93779352
2025-03-20,120,-0.0724,4316.986525,-855.280892593
2025-03-20,121,-0.0621,4357.1899,-32.9168907407
2025-03-20,122,-0.1101,0,-20.9367055556
2025-03-20,123,-0.0724,0,-1.35492592593
2025-03-20,124,-0.0457,-75.1651666667,0
2025-03-20,125,-0.047,-119.446,-0.474277796296
2025-03-20,126,0.0102,-114.135766667,-6.5155052963
2025-03-20,127,0.0628,-49.962265,-5.5555937963
2025-03-20,128,0.0593,-65.1625,-5.5555937963
2025-03-20,129,0.0132,-27.9193635,0
2025-03-20,130,-0.0056,-47.5671548333,0
2025-03-20,131,-0.0019,-4937.71867158,-731.893075737
2025-03-20,132,-0.0375,-4650.34620922,-1425.58829387
2025-03-20,133,-0.0535,-85.74240085,-1433.27379931
2025-03-20,134,-0.0295,-5049.4345,-2175.97342431
2025-03-20,135,-0.006,-5061.970215,-2924.25026148
2025-03-20,136,0.0102,-177.41584,-2943.10266665
2025-03-20,137,0.0191,-216.516,-2971.76739134
2025-03-20,138,0.0149,-100.871535,-2977.18263959
2025-03-20,139,-0.0191,-126.21886,-2989.38794324
2025-03-20,140,-0.0406,-211.761,-3012.32371916
2025-03-20,141,0.0008,-147.357345,-3021.83121416
2025-03-20,142,-0.0476,-204.628423333,-3032.34761266
2025-03-20,143,-0.1482,-210.7745,-3046.51016174
2025-06-21,0,-0.0684,-67.439375,-1092.65930243
2025-06-21,1,-0.0337,-4674.10816489,-1779.20515117
2025-06-21,2,0.0329,-139.6455,-1779.20515117
2025-06-21,3,-0.0182,-130.49143,-1779.20515117
2025-06-21,4,-0.0653,-105.818705,-1779.20515117
2025-06-21,5,-0.0499,-93.095,-1779.20515117
2025-06-21,6,-0.0323,-91.71165,-1779.20515117
2025-06-21,7,-0.0138,-60.924525,-1779.20515117
2025-06-21,8,-0.0025,-119.3925,-1779.20515117
2025-06-21,9,-0.0147,-158.312135,-1779.20515117
2025-06-21,10,-0.0038,-91.62378,-1779.20515117
2025-06-21,11,0.014,-73.1405,-1779.20515117
2025-06-21,12,-0.0243,-43.147545,-1779.20515117
2025-06-21,13,-0.054,-112.132715,-1779.20515117
2025-06-21,14,-0.045,-123.3895,-1779.20515117
2025-06-21,15,-0.0384,-107.653835,-1779.20515117
