date,span,charge_kwh,discharge_kwh
2025-03-20,00:00-04:00,1629.4020166666674,0.0
2025-03-20,04:00-08:00,833.3333333333334,5973.449826686449
2025-03-20,08:00-12:00,6049.148573327575,2666.550173313549
2025-03-20,12:00-16:00,5195.34448712651,468.0393789678088
2025-03-20,16:00-20:00,2.256467637596668,5675.545804619787
2025-03-20,20:00-24:00,3395.015928987078,2974.3856910833338
2025-06-21,00:00-04:00,762.8287208148403,0.0
2025-06-21,04:00-08:00,857.8825772264834,2271.6482627966725
2025-06-21,08:00-12:00,6553.325552693006,0.0
2025-06-21,12:00-16:00,4083.067952485336,0.0
2025-06-21,16:00-20:00,0.0,5995.035021661506
2025-06-21,20:00-24:00,8149.487471820988,2645.717593338495
2025-09-23,00:00-04:00,1682.236891666665,0.0
2025-09-23,04:00-08:00,833.3333333333334,5844.028057998882
2025-09-23,08:00-12:00,6049.6676971711,2598.8239117284843
2025-09-23,12:00-16:00,4754.745422555234,331.13587724256274
2025-09-23,16:00-20:00,42.156055564619095,5706.448277760121
2025-09-23,20:00-24:00,8152.714391666666,2962.874014055623
2025-12-21,00:00-04:00,1640.139445833334,0.0
2025-12-21,04:00-08:00,1660.816341660034,1605.7213868831425
2025-12-21,08:00-12:00,5884.069549017816,7358.099965496751
2025-12-21,12:00-16:00,7766.927437334086,2767.140407842613
2025-12-21,16:00-20:00,7.421332945468748,5602.703537499234
2025-12-21,20:00-24:00,8200.894470833333,3043.378353853759
