时间,电价(元/kWh),负载(kWh),光伏(kWh),购电量(kWh),充电量(kWh),放电量(kWh),弃光量(kWh),储电量(kWh)
00:10,0.4248,573.3078,0.0000,1406.6411,833.3333,0.0000,0.0000,6790.5694
00:20,0.4245,572.9965,0.0000,1406.3299,833.3333,0.0000,0.0000,7581.1388
00:30,0.4269,574.0505,0.0000,1407.3838,833.3333,0.0000,0.0000,8371.7082
00:40,0.4272,575.7406,0.0000,1409.0739,833.3333,0.0000,0.0000,9162.2777
00:50,0.4271,576.4712,0.0000,1409.8045,833.3333,0.0000,0.0000,9952.8471
01:00,0.4285,576.6400,0.0000,576.6400,0.0000,0.0000,0.0000,9952.8471
01:10,0.4311,577.8597,0.0000,577.8597,0.0000,0.0000,0.0000,9952.8471
01:20,0.4302,577.9939,0.0000,577.9939,0.0000,0.0000,0.0000,9952.8471
01:30,0.4279,577.8280,0.0000,637.4723,59.6443,0.0000,0.0000,10009.4306
01:40,0.4312,580.4154,0.0000,580.4154,0.0000,0.0000,0.0000,10009.4306
01:50,0.4333,582.5140,0.0000,582.5140,0.0000,0.0000,0.0000,10009.4306
02:00,0.4311,583.0740,0.0000,583.0740,0.0000,0.0000,0.0000,10009.4306
02:10,0.4293,584.2049,0.0000,584.2049,0.0000,0.0000,0.0000,10009.4306
02:20,0.4324,585.4398,0.0000,585.4398,0.0000,0.0000,0.0000,10009.4306
02:30,0.4367,586.1447,0.0000,586.1447,0.0000,0.0000,0.0000,10009.4306
02:40,0.4348,586.3208,0.0000,586.3208,0.0000,0.0000,0.0000,10009.4306
02:50,0.4335,586.4253,0.0000,586.4253,0.0000,0.0000,0.0000,10009.4306
03:00,0.4357,586.8496,0.0000,586.8496,0.0000,0.0000,0.0000,10009.4306
03:10,0.4374,587.8210,0.0000,587.8210,0.0000,0.0000,0.0000,10009.4306
03:20,0.4371,589.5476,0.0000,589.5476,0.0000,0.0000,0.0000,10009.4306
03:30,0.4356,590.8135,0.0000,590.8135,0.0000,0.0000,0.0000,10009.4306
03:40,0.4353,590.2131,0.0000,590.2131,0.0000,0.0000,0.0000,10009.4306
03:50,0.4360,591.0663,0.0000,591.0663,0.0000,0.0000,0.0000,10009.4306
04:00,0.4378,593.3678,0.0000,593.3678,0.0000,0.0000,0.0000,10009.4306
04:10,0.4401,593.6597,0.0000,593.6597,0.0000,0.0000,0.0000,10009.4306
04:20,0.4389,592.7864,0.0000,592.7864,0.0000,0.0000,0.0000,10009.4306
04:30,0.4364,593.3379,0.0000,593.3379,0.0000,0.0000,0.0000,10009.4306
04:40,0.4393,596.7757,0.0999,596.6758,0.0000,0.0000,0.0000,10009.4306
04:50,0.4422,597.8193,0.0391,597.7803,0.0000,0.0000,0.0000,10009.4306
