name,days,initial_energy_kwh,final_energy_kwh,first_residual_index,seconds,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,g_kwh,c_kwh,d_kwh,emergency_kwh,dump_kwh,h1_cost_yuan,h2_cost_yuan,saving_yuan,saving_percent,group,relative_folder,saving_vs_original_yuan
uniform56,334,8315.124735378853,6000.0,0,37.83235001564026,13058937.976922976,867197.1463554986,13926135.123278474,21611454.71656936,6730658.71548447,6059789.16410538,232180.5525136224,3233576.2227372257,5806272.626861936,8119862.496416539,0.0,0.0,原样本口径,variants/uniform56,0.0
half_life7,334,8315.124735378853,6000.0,0,40.69218349456787,13020413.782680778,944286.1959676296,13964699.978648406,21550930.50076674,6715182.822724237,6045860.860621171,251877.6762784889,3194296.7199754966,5814519.87830835,8150180.100340057,-38564.85536993109,-0.2769243227108096,原样本口径,variants/half_life7,-38564.85536993109
half_life14,334,8315.124735378853,6000.0,0,40.84515953063965,13032661.514319671,890395.4842313526,13923056.998551024,21571682.744379062,6716174.196114433,6046753.096672348,237644.3674741413,3200716.517444453,5795595.141191008,8127461.857360016,3078.124727450311,0.0221032231857711,原样本口径,variants/half_life14,3078.124727450311
half_life28,334,8315.124735378853,6000.0,0,40.56123232841492,13044216.842424298,867975.3933306895,13912192.23575499,21588760.531807706,6718526.358706935,6048870.0430056,232001.92919190557,3211916.65033161,5793098.0480777845,8119094.187677204,13942.887523485348,0.1001202946837624,原样本口径,variants/half_life28,13942.887523485348
uniform28,334,8315.124735378853,6000.0,0,18.376537799835205,13039645.902202744,924781.153068486,13964427.05527123,21588147.12255184,6713705.665567213,6044531.419179849,245061.2229680576,3224844.6041658707,5814139.274894973,8150287.780376257,-38291.9319927562,-0.2749645300277796,原样本口径,variants/uniform28,-38291.9319927562
uniform42,334,8315.124735378853,6000.0,0,27.399914026260376,13048525.206591388,880407.1551979871,13928932.361789376,21595428.43548494,6722709.897318052,6052635.227755605,235189.76634674496,3221354.037302571,5801783.091910038,8127149.269879338,-2797.2385109011084,-0.020086251398102,原样本口径,variants/uniform42,-2797.2385109011084
online_extended,334,8315.124735378853,6000.0,0,35.36748123168945,13017128.37855143,898912.608106384,13916040.986657811,21545276.50036644,6709402.219397526,6040658.317627132,239552.80554378545,3176895.909173167,5795087.181576479,8120953.805081334,10094.136620661244,0.0724834028343457,原样本口径,variants/online_extended,10094.136620663106
uniform56,334,8315.124735378853,6000.0,7,37.11374592781067,13011914.129412714,898152.7038431932,13910066.833255906,21536104.902933624,6709706.972976918,6040932.595848585,239906.65010151276,3168047.68094014,5790204.336839369,8119862.496416539,0.0,0.0,排除回退残差,sensitivity/valid_residuals/variants/uniform56,16068.290022568777
half_life7,334,8315.124735378853,6000.0,7,40.49177026748657,13017236.352617584,947938.8419405326,13965175.194558118,21545922.12684796,6714249.727938079,6045021.07531363,252864.85045933287,3190368.8297161786,5814995.0942180585,8150180.100340057,-55108.36130221188,-0.3961761072956165,排除回退残差,sensitivity/valid_residuals/variants/half_life7,-39040.0712796431
half_life14,334,8315.124735378853,6000.0,7,40.36954379081726,13021425.941715004,901240.166122732,13922666.107837737,21554463.05535645,6712236.621091003,6043209.27915126,240313.87842682883,3186560.096876875,5795204.25047772,8127461.857360016,-12599.274581830949,-0.0905766646045787,排除回退残差,sensitivity/valid_residuals/variants/half_life14,3469.0154407378286
half_life28,334,8315.124735378853,6000.0,7,40.74741983413696,13022092.27694583,887638.9408621801,13909731.21780801,21554255.742014125,6710416.619379531,6041571.277610935,236785.36718995476,3183006.2724688197,5790637.030130807,8119094.187677204,335.6154478956014,0.0024127522313064,排除回退残差,sensitivity/valid_residuals/variants/half_life28,16403.90547046438
online_primary,334,8315.124735378853,6000.0,7,37.307804107666016,13009092.831459418,911340.104058146,13920432.935517566,21535091.581147783,6704239.160576638,6036011.564688332,242370.50435283905,3170044.9946456514,5798456.815769076,8121976.119748488,-10366.10226166062,-0.0745223037812985,排除回退残差,sensitivity/valid_residuals/variants/online_primary,5702.187760908157
