group,name,month,saving_yuan
原样本口径,uniform56,2,0.0
原样本口径,uniform56,3,0.0
原样本口径,uniform56,4,0.0
原样本口径,uniform56,5,0.0
原样本口径,uniform56,6,0.0
原样本口径,uniform56,7,0.0
原样本口径,uniform56,8,0.0
原样本口径,uniform56,9,0.0
原样本口径,uniform56,10,0.0
原样本口径,uniform56,11,0.0
原样本口径,uniform56,12,0.0
原样本口径,half_life7,2,13823.10607850322
原样本口径,half_life7,3,-6968.867232020915
原样本口径,half_life7,4,-7665.748186782501
原样本口径,half_life7,5,-7009.359478435388
原样本口径,half_life7,6,-426.3826276787804
原样本口径,half_life7,7,-6933.024851642331
原样本口径,half_life7,8,-10477.18836242806
原样本口径,half_life7,9,-6531.885122067444
原样本口径,half_life7,10,-4337.792531628886
原样本口径,half_life7,11,-841.0747155038807
原样本口径,half_life7,12,-1196.6383402477695
原样本口径,half_life14,2,16444.500332329928
原样本口径,half_life14,3,-1479.4699846626954
原样本口径,half_life14,4,-2768.462945923766
原样本口径,half_life14,5,-2599.2674402576413
原样本口径,half_life14,6,1080.185709442343
原样本口径,half_life14,7,-1576.6335519713684
原样本口径,half_life14,8,-4780.630775174453
原样本口径,half_life14,9,-1867.26829264556
原样本口径,half_life14,10,-1283.0287194555858
原样本口径,half_life14,11,1656.1191583370273
原样本口径,half_life14,12,252.0812374331872
原样本口径,half_life28,2,14165.404538584618
原样本口径,half_life28,3,-573.4837727927097
原样本口径,half_life28,4,-531.0355607852653
原样本口径,half_life28,5,-889.0850671677181
原样本口径,half_life28,6,1002.7786463119846
原样本口径,half_life28,7,271.71702135258965
原样本口径,half_life28,8,-1424.8364876360429
原样本口径,half_life28,9,-144.97873924527084
原样本口径,half_life28,10,73.81587609768758
原样本口径,half_life28,11,1974.684144074632
原样本口径,half_life28,12,17.906924691695167
原样本口径,uniform28,2,13218.66871215031
原样本口径,uniform28,3,-1929.6718116560369
原样本口径,uniform28,4,-2300.3573415029077
原样本口径,uniform28,5,-3521.039995293484
原样本口径,uniform28,6,-13334.24759673479
原样本口径,uniform28,7,-10204.10465274378
原样本口径,uniform28,8,-6061.289046008613
原样本口径,uniform28,9,-3699.7604377043535
原样本口径,uniform28,10,-5388.469026394574
原样本口径,uniform28,11,-526.2739889716686
原样本口径,uniform28,12,-4545.386807896091
原样本口径,uniform42,2,4358.949706489511
原样本口径,uniform42,3,-1372.274220301184
原样本口径,uniform42,4,-809.9955007159915
原样本口径,uniform42,5,-561.5156802757883
原样本口径,uniform42,6,2874.3706467009033
原样本口径,uniform42,7,-4905.139518623739
原样本口径,uniform42,8,-1107.7765287216862
原样本口径,uniform42,9,-1658.3332705937137
原样本口径,uniform42,10,381.2722115928409
原样本口径,uniform42,11,460.5941288429276
原样本口径,uniform42,12,-457.3904852957603
原样本口径,online_extended,2,14988.442263892808
原样本口径,online_extended,3,-274.46109397086366
原样本口径,online_extended,4,-561.1921263442055
原样本口径,online_extended,5,-1073.5892893483706
原样本口径,online_extended,6,-1893.7544687732807
原样本口径,online_extended,7,2155.544051480563
原样本口径,online_extended,8,-114.84740821645028
原样本口径,online_extended,9,-346.95933597984913
原样本口径,online_extended,10,0.0
原样本口径,online_extended,11,-754.9992638956646
原样本口径,online_extended,12,-2030.0467081832976
