date,uniform56,half_life7,half_life14,half_life28,uniform28,uniform42
2025-01-01,,,,,,
2025-01-02,,,,,,
2025-01-03,,,,,,
2025-01-04,,,,,,
2025-01-05,,,,,,
2025-01-06,,,,,,
2025-01-07,,,,,,
2025-01-08,3666.188435805968,3666.188435805968,3666.188435805968,3666.188435805968,3666.188435805968,3666.188435805968
2025-01-09,3362.3365941619195,3200.7108805721746,3362.3365941619195,3362.3365941619195,3362.3365941619195,3362.3365941619195
2025-01-10,3404.202334516609,3201.284709696459,3272.0777422621977,3404.202334516609,3404.202334516609,3404.202334516609
2025-01-11,2947.614625243957,2970.781054083699,2970.781054083699,2970.781054083699,2947.614625243957,2947.614625243957
2025-01-12,2989.68411928163,2896.287027266604,3001.764131876587,2990.74063413963,2989.68411928163,2989.68411928163
2025-01-13,3307.472755203417,3042.1726168696455,3309.0296550144167,3307.472755203417,3307.472755203417,3307.472755203417
2025-01-14,3016.4662521514774,2700.7674108914125,2845.180590655589,3016.4662521514774,3016.4662521514774,3016.4662521514774
2025-01-15,2758.2562347291464,2226.657181385499,2438.554499024858,2439.691907659614,2758.2562347291464,2758.2562347291464
2025-01-16,2628.671007843566,2353.9133153427933,2640.7957888637548,2640.7957888637548,2628.671007843566,2628.671007843566
2025-01-17,2760.2801908852375,1480.677176461329,2558.8908977675783,2763.1538127339377,2760.2801908852375,2760.2801908852375
2025-01-18,2661.73416004354,1465.8444223562108,2374.788375051445,2661.79403615074,2661.73416004354,2661.73416004354
2025-01-19,2462.697372317165,1294.151776015292,2172.5506282892284,2182.6803190531755,2462.697372317165,2462.697372317165
2025-01-20,2475.8734680141715,1194.723155618337,1304.5597756441803,2177.5562082368024,2475.8734680141715,2475.8734680141715
2025-01-21,2923.7906994392574,1814.5657004053305,1981.7475128322628,2925.7080243021687,2923.7906994392574,2923.7906994392574
2025-01-22,2017.7368387547233,1164.195782976278,1190.937362797087,1185.3353319521684,2017.7368387547233,2017.7368387547233
2025-01-23,2003.1403309541674,1138.5474947446905,1146.906868469465,1228.075499820671,2003.1403309541674,2003.1403309541674
2025-01-24,2520.430548192321,1286.2586797974095,1451.185734168028,1605.849699989567,2520.430548192321,2520.430548192321
2025-01-25,2724.88086957018,1365.5134980713724,1515.4881479009869,1788.3736522375848,2724.88086957018,2724.88086957018
2025-01-26,1244.157322023766,1034.451534605407,1087.851640594838,1188.5627711359598,1244.157322023766,1244.157322023766
2025-01-27,1682.2415146014503,1284.9823963193185,1356.3069010474524,1467.5649178678614,1682.2415146014503,1682.2415146014503
2025-01-28,1135.6263094648334,1060.723351344018,1007.7340013424382,1037.847950218737,1135.6263094648334,1135.6263094648334
2025-01-29,2133.3113754806477,1636.0149508049667,1726.88023225064,1889.7234873952123,2133.3113754806477,2133.3113754806477
2025-01-30,1466.9863973872211,1145.2452439535052,1150.395038995653,1191.9149217783654,1275.7730906576003,1466.9863973872211
2025-01-31,1394.6283982648006,1271.2183530056118,1254.2449855879922,1286.1395483533138,1325.6477589596316,1394.6283982648006
2025-02-01,1636.5081617382446,1301.835918988741,1380.0617567155527,1475.9754428438487,1461.091651738026,1636.5081617382446
2025-02-02,1773.2230992970763,1344.6247325239551,1461.160381656629,1582.7471536235691,1601.240376972608,1773.2230992970763
2025-02-03,1281.4232543496719,918.4911071544444,979.441203561397,1052.602981407058,1015.0180197589104,1281.4232543496719
2025-02-04,1211.9355490122043,1380.0479090391132,1280.2620638879696,1203.1384654171775,1265.9139486060071,1211.9355490122043
2025-02-05,1081.2715916123998,1068.7190003709286,1033.1232216643423,1045.9920201362297,1078.0401468377236,1081.2715916123998
2025-02-06,950.086310559889,1039.245194711936,955.3249644160492,947.0019559703187,1064.0638487499668,950.086310559889
2025-02-07,1482.3625405216533,1423.6523698945,1403.3561761218962,1419.8922971627726,1409.4293222288557,1482.3625405216533
2025-02-08,1235.979626588673,1167.200617640296,1169.7684849406774,1146.5587551751944,1256.4515830767825,1235.979626588673
2025-02-09,1064.6433021743007,1130.4236382771728,1091.2304785720885,1083.3965231844259,1135.5951120320374,1064.6433021743007
2025-02-10,1526.991770535034,1404.168419301172,1393.0973268126118,1451.7969902990274,1320.7103816947638,1526.991770535034
2025-02-11,1189.8076833727253,1046.5154719990985,1043.9190797252936,1105.0667636274125,980.4827476791903,1189.8076833727253
2025-02-12,1245.1318491878253,1143.25203816104,1153.0883498820995,1154.9921814424597,1105.4179435368887,1245.1318491878253
2025-02-13,1709.022671833033,1504.0446725191848,1522.1316097329652,1579.4665100211066,1497.0542667184886,1629.041317643002
2025-02-14,1212.1689614420638,1304.0268708616777,1253.8867343846027,1234.4920949422722,1268.582044286344,1225.8222703584197
2025-02-15,993.5530036736106,1068.312659605108,1027.7639886083264,1002.0826153390499,1065.376481722905,998.9692691962645
2025-02-16,1133.9690855011654,1282.0077677246006,1198.9539941349162,1160.8250574214364,1273.3327630046601,1161.4454195966916
2025-02-17,1180.1277187167743,1087.4671411709548,1055.0752418286675,1086.6258000114763,987.418729991934,1036.6891816338318
2025-02-18,1056.5483228968058,1099.9562552985738,1037.7043308867542,1030.8913729155333,1021.2791485622336,1006.9292682075842
2025-02-19,1189.2180240693801,1272.2004935648683,1245.3349590253854,1207.1827942951732,1262.8425740325088,1246.2814388723284
2025-02-20,1232.980830691424,1234.683960518604,1223.130716012444,1209.135787777303,1207.0093078576265,1219.8036858875998
2025-02-21,1084.8136732241142,1121.61997880111,1083.0781885891388,1060.1387693803536,1067.8044105689842,1037.7768569293344
2025-02-22,1081.2022622025206,1368.3794608826988,1292.5602840067643,1211.4817058962858,1384.4774819023417,1440.3378062135412
2025-02-23,1169.8065762190492,1214.0015985737518,1228.8576742298126,1191.3197632000447,1231.6502226504126,1273.4673962289569
2025-02-24,1296.9285748097213,1299.6088335651875,1250.5536262162889,1240.6256343427754,1235.8075763256545,1170.8350920607174
2025-02-25,1591.0470489743243,1633.522903926731,1574.3319092217557,1554.0636231461742,1558.3332756212428,1500.9304533457737
2025-02-26,1195.143346350318,1268.0192793701665,1242.0858231061443,1220.0228791172563,1253.4562451516254,1262.571597802136
2025-02-27,1232.3054017593718,1204.0390826533928,1192.0737073022324,1203.3116366637091,1167.9708214300224,1213.2098851743722
2025-02-28,1144.9274824417257,1317.7042038998823,1210.75644536101,1172.298670015537,1240.3720783936303,1153.2840432162423
2025-03-01,2054.7819809371003,2029.8343879067843,2017.3966191990455,2040.3857864456345,1980.721168092682,2099.503731810066
