date,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,g_kwh,c_kwh,d_kwh,emergency_kwh,dump_kwh,energy_start_kwh,energy_end_kwh,chosen_candidate,sample_count,effective_sample_count,max_history_day,selection_last_observed_day
2025-02-01,24268.07995250061,363.5203660094397,24631.600318510053,47044.23123630997,20357.86553761644,18214.719322569865,104.82939406462609,10627.73848199469,8315.124735378853,8428.291754873715,half_life14,31,26.07746953696181,2025-01-31,2025-01-31
2025-02-02,56610.3808060952,222.1163070689713,56832.497113164165,90588.07454912772,25220.692974777925,22698.623677300136,35.46523342687078,9745.192535076818,8428.291754873715,8428.291754873715,half_life14,32,26.651725829146937,2025-02-01,2025-02-01
2025-02-03,55113.03454953102,584.2212150606409,55697.25576459166,88438.3034252348,24991.19564209522,22492.076077885707,162.0531637443375,5884.320524769637,8428.291754873715,8428.291754873715,half_life14,33,27.207532584605097,2025-02-02,2025-02-02
2025-02-04,54596.207796269984,3261.0965978477984,57857.30439411778,87710.1685664951,24804.25025757606,22323.82523181846,856.0089884345466,4890.888579172049,8428.291754873715,8428.291754873715,half_life14,34,27.745116255961648,2025-02-03,2025-02-03
2025-02-05,54043.5955412162,2318.54243634035,56362.13797755656,86857.28439649334,24907.841780550116,22417.057602495108,626.5579505969868,4244.631185701997,8428.291754873715,8428.291754873715,half_life14,35,28.2647318805808,2025-02-04,2025-02-04
2025-02-06,53729.96334527757,1538.5355620388789,55268.49890731645,86181.8836437093,24284.99700154589,22280.748075635416,338.41616472041835,4244.993665852593,8428.291754873715,7981.092172973282,half_life14,36,28.76666029174491,2025-02-05,2025-02-05
2025-02-07,21045.948844240484,1629.4984593338863,22675.447303574372,41037.62037911637,18589.296908300472,17142.044803796958,367.85955059355274,8152.548158539743,7981.092172973282,7547.145894829138,half_life14,37,29.251205398705324,2025-02-06,2025-02-06
2025-02-08,21152.98595123274,835.9095127424217,21988.89546397516,41252.12347005771,19767.035179504725,16954.403300983613,207.55388011352886,7069.8827549834605,7547.145894829138,8428.291754873715,half_life14,38,29.71869155041572,2025-02-07,2025-02-07
2025-02-09,52473.531652297126,3222.9538049409034,55696.48545723803,84464.27249152977,24526.30351956364,22073.673167607274,998.8911983900409,3455.117371296794,8428.291754873715,8428.291754873715,half_life14,39,30.16946099541768,2025-02-08,2025-02-08
2025-02-10,53026.396572994745,336.84681663751064,53363.243389632255,85346.16417889908,24748.72566770319,22273.85310093288,122.10331383282846,8666.757342628272,8428.291754873715,8428.291754873715,half_life14,40,30.603871448111406,2025-02-09,2025-02-09
2025-02-11,52158.08936645414,438.0512896110698,52596.14065606521,84216.26539102888,24617.3486084718,22155.613747624622,98.11997581349226,6632.053372661863,8428.291754873715,8428.291754873715,half_life14,41,31.022293769538333,2025-02-10,2025-02-10
2025-02-12,51550.05573320687,1695.801632125162,53245.85736533203,83227.03542299761,24289.70764873473,21860.736883861257,416.43546193144476,5947.763986722259,8428.291754873715,8428.291754873715,half_life14,42,31.425109768839178,2025-02-11,2025-02-11
2025-02-13,50615.195963400925,641.8662064394044,51257.062169840334,81313.28515638364,23043.98227978144,21907.868039652858,232.10856625850238,9079.80046584691,8428.291754873715,7196.812303037354,half_life14,43,31.812710129744225,2025-02-12,2025-02-12
2025-02-14,18676.49278503229,2143.857880269455,20820.350665301747,36177.48493053589,17683.302627654975,16213.707768477914,658.0843592123456,5564.172613904508,7196.812303037354,6881.917538680989,half_life14,44,32.18549246480907,2025-02-13,2025-02-13
2025-02-15,19282.12135015055,1482.2226401416438,20764.343990292196,37586.52657435945,19243.328519656323,15851.976276252703,409.1833256613934,5324.266556617226,6881.917538680989,8428.291754873715,half_life14,45,32.54385949863105,2025-02-14,2025-02-14
2025-02-16,49064.72804997853,4064.9142696741,53129.64231965263,79801.89034800303,23671.23019935137,21304.107179416234,1028.488931984462,3085.8771600523605,8428.291754873715,8428.291754873715,half_life14,46,32.88821737996875,2025-02-15,2025-02-15
2025-02-17,49072.59004185962,363.69551884634046,49436.28556070596,79849.51673635165,23384.384282078758,21045.945853870886,135.43258191609982,6462.647723393212,8428.291754873715,8428.291754873715,half_life14,47,33.218974121536284,2025-02-16,2025-02-16
2025-02-18,48458.2597210674,1495.6119458292153,49953.871666896615,79100.2382646766,23181.044662946995,20862.940196652296,382.58729600694545,5073.333311055524,8428.291754873715,8428.291754873715,half_life14,48,33.53653816524981,2025-02-17,2025-02-17
2025-02-19,48418.531640045585,3514.7190182433906,51933.25065828898,79064.23110199376,23262.919601394853,20936.62764125537,939.3762486209312,4797.988007141879,8428.291754873715,8428.291754873715,half_life14,49,33.841317069858135,2025-02-18,2025-02-18
2025-02-20,47617.1720540425,1734.3350875539613,49351.50714159646,77058.62590962581,21177.293917021176,20908.687328746848,423.8149221703299,6220.700510188479,8428.291754873715,6479.145177477841,half_life14,50,34.13371631718382,2025-02-19,2025-02-19
2025-02-21,18174.901207267976,1105.37275591012,19280.273963178093,35146.85293783978,16839.31015233852,15422.125474213515,308.27635121504125,8477.682577596483,6479.145177477841,6197.969849887494,half_life14,51,34.41413823262596,2025-02-20,2025-02-20
2025-02-22,18928.303712345783,1690.3691346511987,20618.67284699698,37163.079532514654,19144.739227590493,15114.396164294809,444.29476522288724,5732.268351108525,6197.969849887494,8428.291754873715,half_life14,52,34.68298101511979,2025-02-21,2025-02-21
2025-02-23,47485.46982512188,2822.487441735775,50307.95726685766,77656.80982668718,23189.54049775651,20870.586447980866,891.1383597743816,4697.140453352582,8428.291754873715,8428.291754873715,half_life14,53,34.940637871402046,2025-02-22,2025-02-22
2025-02-24,47099.70487053243,1367.4643346065534,48467.16920513898,77194.65727351606,23007.83143037808,20707.048287340273,302.4674593447155,6993.307973156314,8428.291754873715,8428.291754873715,half_life14,54,35.18749624918146,2025-02-23,2025-02-23
