date,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,g_kwh,c_kwh,d_kwh,emergency_kwh,dump_kwh,energy_start_kwh,energy_end_kwh,chosen_candidate,sample_count,effective_sample_count,max_history_day,selection_last_observed_day
2025-02-01,23585.21142320775,549.5189744810144,24134.73039768877,45720.79994323363,19934.360927615846,17833.565173569325,149.92032675699224,9391.748582610766,8315.124735378853,8428.291754873715,half_life7,31,18.420154003961088,2025-01-31,2025-01-31
2025-02-02,56057.9882281763,236.18339955251284,56294.17162772881,89773.97479611434,25119.288512538813,22607.359661284936,40.25796606788549,8946.025960928362,8428.291754873715,8428.291754873715,half_life7,32,18.582466290723865,2025-02-01,2025-01-31
2025-02-03,54424.01055247122,863.5431810475168,55287.55373351874,87470.77735559898,24785.157132800116,22306.641419520114,260.75735230443604,5036.102494623434,8428.291754873715,8428.291754873715,half_life7,33,18.73065788729454,2025-02-02,2025-01-31
2025-02-04,53879.555388891116,4593.121465160399,58472.676854051526,86705.91447660918,24601.96939653886,22141.772456884977,1165.2234567731641,4216.077043728463,8428.291754873715,8428.291754873715,half_life7,34,18.86585894531792,2025-02-03,2025-01-31
2025-02-05,53418.909193981424,3100.8646145727184,56519.77380855415,85962.891672211,24807.41920912884,22326.677288215957,860.543762545416,3594.266530510201,8428.291754873715,8428.291754873715,half_life7,35,18.989126448237037,2025-02-04,2025-01-31
2025-02-06,53205.88746423385,2458.9722928388333,55664.859757072685,85432.76626877929,24166.846878155666,22174.41296458421,550.9378006562007,3720.2129391973867,8428.291754873715,7981.092172973282,half_life7,36,19.101445780956862,2025-02-05,2025-01-31
2025-02-07,20572.53295787843,2424.8382450678896,22997.37120294632,40123.97208312765,18382.27123689654,16955.721699533424,545.4271739371408,7437.170053035013,7981.092172973282,7547.145894829138,half_life7,37,19.203732949090323,2025-02-06,2025-01-31
2025-02-08,20758.79650259425,1370.5491803470113,22129.34568294126,40447.32112265933,19588.109939475748,16793.370584957527,346.90623083722926,6422.325282311666,7547.145894829138,8428.291754873715,half_life7,38,19.296837280570852,2025-02-07,2025-02-07
2025-02-09,52015.65195227953,3899.4872538693007,55915.13920614884,83807.05818391356,24444.35495340655,21999.919458065895,1206.143298126311,3013.3500200325434,8428.291754873715,8428.291754873715,half_life7,39,19.381544468775004,2025-02-08,2025-02-07
2025-02-10,52703.54372105758,658.8861090607243,53362.4298301183,84915.64413308862,24726.32240261475,22253.69016235328,213.5365285952746,8329.910838089096,8428.291754873715,8428.291754873715,half_life7,40,19.458579840093314,2025-02-09,2025-02-07
2025-02-11,51853.452403465526,701.3286914022543,52554.78109486778,83811.01415104532,24554.344076926376,22098.909669233744,173.78758150703368,6308.770191526398,8428.291754873715,8428.291754873715,half_life7,41,19.52861175000875,2025-02-10,2025-02-07
2025-02-12,51260.14138553632,2055.719382860255,53315.860768396575,82801.13299140095,24228.518628130027,21805.666765317026,498.11066091922623,5609.65565617386,8428.291754873715,8428.291754873715,half_life7,42,19.592255030215778,2025-02-11,2025-02-07
