date,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,g_kwh,c_kwh,d_kwh,emergency_kwh,dump_kwh,energy_start_kwh,energy_end_kwh,chosen_candidate,sample_count,effective_sample_count,max_history_day,selection_last_observed_day
2025-02-01,24716.330441186925,549.5189744810144,25265.849415667944,47488.85273777625,20737.12331110092,16797.06988199174,149.92032675699224,9320.543702090737,8550.0,8550.0,half_life7,31,18.420154003961088,2025-01-31,2025-01-31
2025-02-02,58005.47634253887,236.18339955251284,58241.659742091375,91922.85295200227,24747.77739031532,20045.699686155414,40.25796606788549,8904.755263910241,8550.0,8550.0,half_life7,32,18.582466290723865,2025-02-01,2025-02-01
2025-02-03,56317.48735641814,924.8500370418785,57242.33739346002,89583.301547749,24465.55928887424,19817.103023988137,273.4272087595184,4991.355991622408,8550.0,8550.0,half_life7,33,18.730657887294537,2025-02-02,2025-02-02
2025-02-04,55743.944964633374,4915.4905535351145,60659.43551816849,88799.94892136996,24349.813744994397,19723.349133445467,1232.5341767434195,4211.1545365644415,8550.0,8550.0,half_life7,34,18.86585894531792,2025-02-03,2025-02-03
2025-02-05,55262.582549850005,3100.8646145727193,58363.44716442273,88010.3391988464,24391.262376380662,19756.922524868336,860.5437625454163,3488.1161265461624,8550.0,8550.0,half_life7,35,18.989126448237034,2025-02-04,2025-02-04
2025-02-06,54969.95309529267,2704.9363272648607,57674.88942255753,87304.0237670627,23672.90399094083,19715.052232662078,600.9214594046342,3676.0362515219126,8550.0,7950.0,half_life7,36,19.101445780956862,2025-02-05,2025-02-05
2025-02-07,21834.7985152502,2567.278922840098,24402.077438090302,42412.773694763324,20261.61993400261,16411.912146542116,569.8264488732165,7327.212689509381,7950.0,7950.0,half_life7,37,19.203732949090313,2025-02-06,2025-02-06
2025-02-08,21744.868257992683,1459.2053021334418,23204.073560126126,42092.3325941551,20801.760188514927,16309.425752697092,360.77021357910394,6383.605655249701,7950.0,8550.0,half_life7,38,19.29683728057085,2025-02-07,2025-02-07
2025-02-09,53902.552611429375,3941.9519962447625,57844.504607674135,85967.10426791143,24421.466430989472,19781.387809101478,1215.0762669718324,2986.6859463286028,8550.0,8550.0,half_life7,39,19.381544468774997,2025-02-08,2025-02-08
2025-02-10,54617.097129014044,658.8861090607243,55275.983238074776,87092.38465064374,24634.86205099002,19954.238261301918,213.5365285952746,8298.659806217576,8550.0,8550.0,half_life7,40,19.458579840093314,2025-02-09,2025-02-09
2025-02-11,53735.70354094848,701.328691402254,54437.032232350735,85976.34907436787,24536.941290287927,19874.92244513322,173.78758150703356,6267.520677386863,8550.0,8550.0,half_life7,41,19.528611750008753,2025-02-10,2025-02-10
2025-02-12,53096.06519727687,2055.7193828602544,55151.78458013712,84937.83310711902,24343.730053865373,19718.421343630955,498.1106609192261,5543.89892447049,8550.0,8550.0,half_life7,42,19.592255030215785,2025-02-11,2025-02-11
2025-02-13,52266.33352922984,855.3685274329273,53121.702056662776,83183.79006014574,22908.27085899702,19406.62372235222,300.0228364687621,8652.686743303027,8550.0,7604.528526039303,half_life7,43,19.65007442526223,2025-02-12,2025-02-12
2025-02-14,19195.530407436454,2981.5790558191716,22177.109463255623,36922.682152187,18761.864725736188,15495.84583143474,868.5404484804831,4723.401889699369,7604.528526039303,7272.600299829933,half_life7,44,19.702587970800977,2025-02-13,2025-02-13
2025-02-15,19762.860315643597,1994.360489508534,21757.22080515213,38204.51269237703,20172.004877519605,15189.664220637818,559.221171634638,4501.302107129884,7272.600299829933,8550.0,half_life7,45,19.75027027701345,2025-02-14,2025-02-14
2025-02-16,50582.41317577564,4689.81546635808,55272.22864213372,81466.52342749001,23199.10768097364,18791.27722158865,1165.709039468085,2847.022907573105,8550.0,8550.0,half_life7,46,19.79355569034012,2025-02-15,2025-02-15
2025-02-17,50725.07569061885,578.7048568979172,51303.78054751676,81747.77922455317,23242.25756967687,18826.228631438265,188.85579551536273,6336.742915163287,8550.0,8550.0,half_life7,47,19.832841314552898,2025-02-16,2025-02-16
2025-02-18,50051.32632963957,2144.965124603764,52196.29145424333,80980.71947563815,23232.099154336735,18818.00031501276,527.5919722902509,5002.824825271095,8550.0,8550.0,half_life7,48,19.868489878650053,2025-02-17,2025-02-17
2025-02-19,50060.12666098537,3918.053798238464,53978.18045922383,80960.77104201273,23176.64079679705,18773.07904540561,1033.2987813478983,4711.180688635853,8550.0,8550.0,half_life7,49,19.900832444251417,2025-02-18,2025-02-18
2025-02-20,49309.594895098024,1841.672820155221,51151.26771525324,79118.42888925214,21301.559426961292,18786.026277981506,453.63620525510197,6063.398212194137,8550.0,6848.040953174604,half_life7,50,19.93017094930536,2025-02-19,2025-02-19
2025-02-21,18854.590008173356,1416.740077346879,20271.330085520236,36163.33078422918,18050.644827164142,14887.7686471118,380.3539664567928,7820.546537300299,6848.040953174604,6551.656134164777,half_life7,51,19.95678058815949,2025-02-20,2025-02-20
2025-02-22,19572.88936410283,2144.0023289403434,21716.891693043173,38078.42188731881,20231.935476218467,14589.35825648526,532.9255016804025,5124.007285932675,6551.656134164777,8550.0,half_life7,52,19.98091203053891,2025-02-21,2025-02-21
2025-02-23,49180.402467861175,2915.6170636541146,52096.01953151529,79661.87066097288,23247.844856901924,18830.75433409056,928.723577270408,4641.6500320986015,8550.0,8550.0,half_life7,53,20.002793483850624,2025-02-22,2025-02-22
2025-02-24,48809.99720983878,1521.0179110076735,50331.01512084646,79298.59273673355,23315.792404236112,18885.791847431246,330.93387865995237,6996.492441921977,8550.0,8550.0,half_life7,54,20.022632604599874,2025-02-23,2025-02-23
2025-02-25,48530.84966596853,1739.2920599416789,50270.141725910216,78800.34695243736,23324.249441811226,18892.64204786709,421.278058574263,8968.694383734157,8550.0,8550.0,half_life7,55,20.040618265659838,2025-02-24,2025-02-24
2025-02-26,47886.79723889512,2591.5981414219145,50478.39538031703,77788.3551520064,23082.021716301337,18696.43759020408,644.0094300425151,5231.932422618338,8550.0,8550.0,half_life7,56,20.056922186759717,2025-02-25,2025-02-25
2025-02-27,46802.24461319654,1861.4232814816876,48663.667894678234,75290.67820281332,20786.39579537247,18764.45776945578,379.0579520748289,6691.213928971461,8550.0,6408.358694217686,half_life7,56,20.056922186759717,2025-02-26,2025-02-26
