date,planned_cost_yuan,increase_cost_yuan,cancellation_refund_yuan,breach_cost_yuan,adjustment_net_yuan,emergency_cost_yuan,total_cost_yuan,original_kwh,adjusted_kwh,increase_kwh,decrease_kwh,emergency_kwh,dump_kwh,charge_kwh,discharge_kwh,energy_start_kwh,energy_end_kwh,lp_eq_max,lp_ineq_max,max_tree_nodes,raw_simultaneous_slots
2025-02-01,24756.466673554714,0.0,592.9101804270437,296.4550902135218,-296.4550902135218,401.32107728641233,24861.332660627606,48067.01032779856,46901.365801007785,0.0,1165.6445267907757,98.12523361586571,8065.753103162588,22374.311972352632,17818.749974224902,6000.0,8443.524415003492,1.8189894035458565e-12,1.1368683772161603e-13,3,0
2025-02-02,56097.3263777631,0.0,306.0417471038801,153.02087355194004,-153.02087355194004,263.4961534089696,56207.80165762012,89816.1983145375,89274.60237066858,0.0,541.5959438689327,42.062259748278166,8449.755311454539,25089.728702123022,22579.097333160717,8443.524415003492,8445.272626185673,1.8189894035458565e-12,1.1368683772161603e-13,3,0
2025-02-03,55195.3422960441,0.0,264.12591451229656,132.06295725614828,-132.06295725614828,870.6631010467266,55933.942439834675,88535.25841436168,88167.42243964142,0.0,367.8359747202502,223.68815570708475,5630.322972365975,25262.46568982539,22718.594566842847,8445.272626185673,8463.850537313885,1.8189894035458565e-12,1.1368683772161603e-13,3,0
2025-02-04,55285.32665273379,26.98852123847995,77.57775297174261,38.788876485871306,-11.800355247391359,1454.4635616089433,56727.98985909534,88576.35120668483,88482.93749419058,22.51858259364201,115.93229508788329,408.69780246245534,5141.75730481788,25323.30527335171,22768.291231516538,8463.850537313885,8487.761061033036,9.094947017729282e-13,1.1368683772161603e-13,3,0
2025-02-05,53560.14300568291,252.36240039799495,0.0,0.0,252.36240039799495,2144.768542072496,55957.2739481534,86020.19533693958,86350.80269520021,330.6073582606409,0.0,569.3467469192121,3718.845231170905,24761.226211151923,22308.34898353673,8487.761061033036,8463.258264844078,1.8189894035458565e-12,1.1368683772161603e-13,3,0
2025-02-06,54433.799425747624,0.0,63.83247569034648,31.91623784517324,-31.91623784517324,1284.6371749453624,55686.52036284782,87167.80500082148,87082.96179963314,0.0,84.84320118833057,282.43956833033087,5102.959843467099,24676.36681054268,22684.982502712977,8463.258264844078,7961.244184694,1.8189894035458565e-12,1.1368683772161603e-13,3,0
2025-02-07,20998.663528859128,0.0,0.0,0.0,0.0,838.8931264920809,21837.55665535121,40806.70557240771,40806.70557240771,0.0,0.0,213.92082884048477,7724.383350734709,18896.822295441336,17406.258911594516,7961.244184694,7540.53598152706,9.094947017729282e-13,1.1368683772161603e-13,3,0
2025-02-08,20006.203215188318,69.61158474427882,0.0,0.0,69.61158474427882,919.0575452139703,20994.872345146567,38852.59750621777,38916.49870048379,63.90119426602149,0.0,215.76533873670223,4779.557783405413,19182.611219765244,16407.067680616834,7540.53598152706,8444.190993619664,9.094947017729282e-13,1.1368683772161603e-13,3,0
2025-02-09,52645.08918415327,121.76489749151705,0.09357914237447716,0.04678957118723858,121.71810792032981,1638.4072016595774,54405.214493733176,84682.21458581832,84813.18196246377,131.09651580582,0.1291391603710963,506.4940429051675,3362.441740866836,24263.736845854404,21861.918548018963,8444.190993619664,8418.307343300892,1.8189894035458565e-12,1.1368683772161603e-13,3,0
2025-02-10,52185.94426782997,0.0,1894.1841198956122,947.0920599478061,-947.0920599478061,604.0889674658646,51842.94117534802,84126.51446315527,81323.94792388553,0.0,2802.5665392697474,183.02022505131492,4808.007785995103,23690.765913583993,21318.44313397559,8418.307343300892,8421.729126162118,9.094947017729282e-13,1.1368683772161603e-13,3,0
