date,planned_cost_yuan,increase_cost_yuan,cancellation_refund_yuan,breach_cost_yuan,adjustment_net_yuan,emergency_cost_yuan,total_cost_yuan,original_kwh,adjusted_kwh,increase_kwh,decrease_kwh,emergency_kwh,dump_kwh,charge_kwh,discharge_kwh,energy_start_kwh,energy_end_kwh,lp_eq_max,lp_ineq_max,max_tree_nodes,raw_simultaneous_slots
2025-02-01,24796.377121366975,0.0,333.560991399567,166.7804956997835,-166.7804956997835,370.8687428223176,25000.46536848951,48142.23458196665,47404.957704067754,0.0,737.276877898905,89.47851609878086,8541.239589629211,22416.500038115184,17841.479340911195,6000.0,8459.588672202197,1.8189894035458565e-12,1.1368683772161603e-13,7,0
2025-02-02,56071.647734287726,0.1090649383389523,576.6009716856474,288.3004858428237,-288.19142090448474,270.7977770843039,56054.25409046755,89767.55755194605,88803.55361987013,0.09294383087387814,964.0968759067804,43.227814653032624,8019.404336003461,25008.108180197043,22537.009031677335,8459.588672202197,8428.26982263348,1.8189894035458565e-12,1.1368683772161603e-13,7,0
2025-02-03,55148.98967399471,0.0,506.3595252080846,253.1797626040423,-253.1797626040423,992.7939774596656,55888.603888850324,88488.30477257313,87794.503728207,0.0,693.8010443661215,258.22859438433,5305.730686145644,25132.573384456893,22602.4882480112,8428.26982263348,8446.007879195222,1.8189894035458565e-12,1.1368683772161603e-13,7,0
2025-02-04,55410.12168504455,26.98852123847995,85.1825389065523,42.59126945327615,-15.6027482147962,1391.2272690724503,56785.7462059022,88735.94336919884,88592.87580564946,22.51858259364201,165.58614614301757,385.65479904499466,5181.452871521768,25478.007481726847,22875.79369855416,8446.007879195222,8503.364254196045,9.094947017729282e-13,2.2737367544323206e-13,7,0
2025-02-05,53526.67661493964,181.16867571735636,0.0,0.0,181.16867571735636,2217.1043927754927,55924.9496834325,85985.46431128295,86212.74878662493,227.28447534199105,0.0,581.1808645430694,3656.004508927663,24561.014376014566,22171.516217107557,8503.364254196045,8433.158234092905,1.8189894035458565e-12,1.1368683772161603e-13,7,0
2025-02-06,54117.58631707102,0.0,792.8852736815398,396.4426368407699,-396.4426368407699,1561.422521559031,55282.56620178929,86623.457715536,85498.832440346,0.0,1124.6252751899972,329.4580117831126,4001.7151845411076,23766.497933607705,22210.979882686363,8433.158234092905,7567.609379035782,1.8189894035458565e-12,1.1368683772161603e-13,7,0
2025-02-07,21044.185549700742,0.0,608.8472146145906,304.4236073072953,-304.4236073072953,805.8620127833025,21545.62395517675,40873.951919632076,39562.142253868136,0.0,1311.8096657639358,209.56547788325867,6401.645810923932,18954.788690292004,17390.40643613121,7567.609379035782,7218.602902850543,9.094947017729282e-13,1.1368683772161603e-13,7,0
2025-02-08,20161.84985236523,2.1267888612515438,0.0,0.0,2.1267888612515438,989.6680802613448,21153.644721487828,39265.251723083114,39267.216333365555,1.9646102824364178,0.0,244.59431352680738,4752.911145695667,19593.763067777447,16412.026283247418,7218.602902850543,8507.083980006806,1.8189894035458565e-12,1.1368683772161603e-13,7,0
2025-02-09,52685.18267902698,254.99719599977496,0.09357914237447716,0.04678957118723858,254.9504064285877,1463.714171017244,54403.847256472814,84736.08492462317,85010.78309114455,274.8273056817543,0.1291391603710963,467.6759808308279,3499.9915165461134,24487.16185262587,22064.11026386328,8507.083980006806,8480.031119950412,9.094947017729282e-13,1.1368683772161603e-13,7,0
2025-02-10,52193.07370189602,0.0,1326.1916933155146,663.0958466577573,-663.0958466577573,529.4750928259177,52059.45294806418,84137.28935185797,82117.517724514,0.0,2019.7716273439542,158.97806343324027,5519.703522257537,24302.162593563742,21872.007911207365,8480.031119950412,8479.966212093252,1.8189894035458565e-12,1.1368683772161603e-13,7,0
2025-02-11,51738.378419740795,0.0,1341.670557287468,670.835278643734,-670.835278643734,753.484935653556,51821.02807675062,83586.84243898847,81700.75504703232,0.0,1886.0873919561677,174.06836978808678,4197.502851014051,23689.898394730073,21233.174962257057,8479.966212093252,8572.445539156652,9.094947017729282e-13,1.1368683772161603e-13,6,0
