date,planned_cost_yuan,increase_cost_yuan,cancellation_refund_yuan,breach_cost_yuan,adjustment_net_yuan,emergency_cost_yuan,total_cost_yuan,original_kwh,adjusted_kwh,increase_kwh,decrease_kwh,emergency_kwh,dump_kwh,charge_kwh,discharge_kwh,energy_start_kwh,energy_end_kwh,lp_eq_max,lp_ineq_max,max_tree_nodes,raw_simultaneous_slots
2025-02-01,24723.05305028453,0.0,0.0,0.0,0.0,265.4443281774627,24988.497378461994,48047.9307342487,48047.9307342487,0.0,0.0,67.95716332984912,9212.417819126229,22216.143144765247,17690.848999646256,6000.0,8428.291754873715,1.8189894035458565e-12,1.1368683772161603e-13,1,0
2025-02-02,56078.119940268305,0.0,0.0,0.0,0.0,330.0011678430691,56408.12110811137,89840.50123147861,89840.50123147861,0.0,0.0,54.20264208382025,9016.703444168417,25217.22479394022,22695.502314546196,8428.291754873715,8428.291754873715,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-03,54969.30315367825,0.0,0.0,0.0,0.0,850.1315369023083,55819.43469058056,88282.89861808305,88282.89861808305,0.0,0.0,222.75669665397106,5774.286737478475,25144.520772585598,22630.06869532704,8428.291754873715,8428.291754873715,1.8189894035458565e-12,1.1368683772161603e-13,1,0
2025-02-04,55066.89856517091,0.0,0.0,0.0,0.0,1855.0096390305507,56921.908204201456,88308.41126932757,88308.41126932757,0.0,0.0,505.45882548968973,5105.070489557129,25139.35655260133,22625.4208973412,8428.291754873715,8428.291754873715,1.8189894035458565e-12,1.1368683772161603e-13,1,0
2025-02-05,53496.49310561674,0.0,0.0,0.0,0.0,3115.477405977652,56611.970511594394,85999.01648822882,85999.01648822882,0.0,0.0,865.2669497944252,3646.772760623544,24690.836940663703,22221.75324659733,8428.291754873715,8428.291754873715,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-06,54368.44433415145,0.0,0.0,0.0,0.0,1386.9769318862395,55755.4212660377,87120.85836240147,87120.85836240147,0.0,0.0,303.7568932541753,5106.1055358152635,24717.10480223954,22669.65229906582,8428.291754873715,7981.084580548984,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-07,21024.653233770172,0.0,0.0,0.0,0.0,1192.9741283007866,22217.627362070954,40821.45112120775,40821.45112120775,0.0,0.0,276.67158891470956,7848.323673942687,18557.903742920178,17113.784373407074,7981.084580548984,7547.145239965177,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-08,19953.52189533337,0.0,0.0,0.0,0.0,1373.2289032811916,21326.750798614565,38755.09612001365,38755.09612001365,0.0,0.0,336.6303682173282,4753.812145370131,19248.226443650346,16487.47481745617,7547.145239965177,8428.291754873715,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-09,52533.37444957444,0.0,0.0,0.0,0.0,2659.077935071943,55192.452384646385,84555.17683689669,84555.17683689669,0.0,0.0,789.8332477918522,3354.414002699572,24351.801153222947,21916.621037900655,8428.291754873715,8428.291754873715,1.8189894035458565e-12,1.1368683772161603e-13,1,0
2025-02-10,52126.85877254428,0.0,0.0,0.0,0.0,410.2456158846469,52537.104388428925,84057.32577403547,84057.32577403547,0.0,0.0,133.8469514866165,7402.724867003231,24618.102751855306,22156.29247666977,8428.291754873715,8428.291754873715,9.094947017729282e-13,1.1368683772161603e-13,1,0
