date,span,original_kwh,adjusted_kwh
2025-03-20,10:00-10:10,0.0,0.0
2025-03-20,12:00-12:10,556.2782098781422,556.2782098781422
2025-03-20,14:00-14:10,0.0,0.0
2025-03-20,16:00-16:10,544.790581052873,544.790581052873
2025-03-20,18:00-18:10,437.5314807977,437.5314807977
2025-03-20,20:00-20:10,0.0,0.0
2025-06-21,10:00-10:10,0.0,0.0
2025-06-21,12:00-12:10,0.0,0.0
2025-06-21,14:00-14:10,0.0,0.0
2025-06-21,16:00-16:10,227.71735606081958,176.2700897942124
2025-06-21,18:00-18:10,0.0,0.0
2025-06-21,20:00-20:10,0.0,0.0
2025-09-23,10:00-10:10,0.0,0.0
2025-09-23,12:00-12:10,411.7060178704187,411.7060178704187
2025-09-23,14:00-14:10,0.0,0.0
2025-09-23,16:00-16:10,560.2910642826312,560.2910642826312
2025-09-23,18:00-18:10,761.9693606912057,761.9693606912057
2025-09-23,20:00-20:10,0.0,0.0
2025-12-21,10:00-10:10,0.0,0.0
2025-12-21,12:00-12:10,965.838674162228,954.33285296772
2025-12-21,14:00-14:10,0.0,0.0
2025-12-21,16:00-16:10,872.5293771533326,872.5293771533326
2025-12-21,18:00-18:10,662.4130794790283,662.4130794790283
2025-12-21,20:00-20:10,0.0,0.0
