date,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,g_kwh,c_kwh,d_kwh,emergency_kwh,dump_kwh,energy_start_kwh,energy_end_kwh,emergency_slots
2025-01-01,39224.412168463554,192086.95903032497,231311.37119878852,60085.887737152916,22402.354731771182,17858.4394279516,36514.41488333333,21.217300000000023,6000.0,8428.291754873715,141
2025-01-02,92477.31249081729,2681.802417224997,95159.11490804229,115062.95943769293,27747.188210262804,24972.469389236532,810.913416666666,20213.91476666666,8428.291754873715,8428.291754873715,37
2025-01-03,72754.33379149284,0.0,72754.33379149284,116574.29560991515,27564.26851581836,24807.84166423653,0.0,68312.92739166666,8428.291754873715,8428.291754873715,0
2025-01-04,70270.15981732775,0.0,70270.15981732775,115166.19747226083,27272.374208719597,24545.13678784764,0.0,67673.35768472221,8428.291754873715,8428.291754873715,0
2025-01-05,92168.92578103904,1061.5075308416663,93230.43331188071,114351.61619654068,27323.854428369803,24591.468985532825,319.2440333333334,20902.764487037035,8428.291754873715,8428.291754873715,21
2025-01-06,92332.39582621171,702.0157561006596,93034.41158231236,114545.01959525466,27347.240049768978,24612.516044792086,163.26659215277778,21341.08108243055,8428.291754873715,8428.291754873715,15
2025-01-07,74039.47977964274,11003.987334194886,85043.46711383763,96657.54416824461,26137.807031057328,23524.0263279516,2273.3809187037036,3750.243433842593,8428.291754873715,8428.291754873715,44
2025-01-08,91424.84677159243,141.70832942499953,91566.55510101742,115617.37133683226,26807.869220571447,24127.08229851431,52.564616666666666,23463.14771477513,8428.291754873715,8428.291754873715,4
2025-01-09,90912.01422107455,259.31455843333424,91171.32877950788,115003.24496235087,26933.64050268491,24240.276452416423,109.23318333333361,21327.557978749053,8428.291754873715,8428.291754873715,8
2025-01-10,34614.94191496143,797.3792953041658,35412.321210265596,68850.96836773354,23597.599990397655,21237.83999135789,244.43173333333277,21244.97338536045,8428.291754873715,8428.291754873715,11
2025-01-11,35416.33517076708,299.13633931198495,35715.47151007906,69217.86675514543,23966.089548544212,21569.480593689794,84.52995543650798,22039.901139060847,8428.291754873715,8428.291754873715,6
2025-01-12,88282.93574574581,597.227813356945,88880.16355910276,111839.31646682048,27146.882930897726,24432.19463780796,138.08022361111114,18396.819997341838,8428.291754873715,8428.291754873715,5
2025-01-13,86608.22179573638,834.1020619623237,87442.32385769869,110933.09150966334,26728.875822918064,24055.988240626262,224.63136156977941,20210.878322274653,8428.291754873715,8428.291754873715,11
2025-01-14,86021.59574445202,550.4591326022206,86572.05487705424,110666.04080976981,26669.721362975917,24002.74922667833,143.96647888888845,18862.72221902778,8428.291754873715,8428.291754873715,8
2025-01-15,86097.25127915399,245.61333945333357,86342.86461860733,110390.06005240942,26585.722862616964,23927.150576355274,39.874595,17701.019427814408,8428.291754873715,8428.291754873715,6
2025-01-16,85782.58194916224,169.89851818416875,85952.4804673464,110946.00144155027,26788.54976238488,24109.694786146396,25.887886666666873,19218.882901978457,8428.291754873715,8428.291754873715,4
2025-01-17,31373.34512149383,199.80565379527752,31573.150775289105,62955.5011454122,22339.625450343043,20105.66290530874,68.02309888888874,18100.448232600123,8428.291754873715,8428.291754873715,5
2025-01-18,30952.287310750427,158.88594217749974,31111.17325292793,62571.488242911706,21969.75867454081,19772.782807086725,77.38501166666657,17209.388370457622,8428.291754873715,8428.291754873715,5
2025-01-19,82734.82775672086,60.40652949036021,82795.23428621121,107328.25158581922,26182.52229908664,23564.270069177983,18.049624836601424,16044.909514080504,8428.291754873715,8428.291754873715,2
2025-01-20,81866.51413480882,79.65197014576903,81946.1661049546,106657.13805412911,26137.807031057328,23524.0263279516,12.194035763227248,15988.474836786621,8428.291754873715,8428.291754873715,3
2025-01-21,80283.86900196053,161.10156118999907,80444.97056315052,106739.87743732134,26137.807031057328,23524.0263279516,54.41857999999979,20704.610630882275,8428.291754873715,8428.291754873715,6
2025-01-22,79317.71745469522,416.61733145110736,79734.33478614633,103863.97139800945,26137.807031057328,23524.0263279516,103.77744944444362,12455.203777681501,8428.291754873715,8428.291754873715,7
2025-01-23,80425.58384052702,730.0601457866151,81155.64398631363,103989.84735271517,26137.807031057328,23524.0263279516,153.51549102418738,11963.656540633629,8428.291754873715,8428.291754873715,5
2025-01-24,27625.508753667913,119.58377211888993,27745.092525786804,58874.53469735677,21611.680880198273,19450.512792178448,44.160830000000146,16928.11428933695,8428.291754873715,8428.291754873715,6
2025-01-25,27365.199301784083,88.93272226388949,27454.132024047973,58600.70094444644,21582.71015648578,19424.439140837203,15.959694444444494,18018.81415657565,8428.291754873715,8428.291754873715,2
2025-01-26,78177.4061701684,653.7124180063969,78831.1185881748,102623.7901866269,26137.807031057328,23524.026327951597,193.40260050666134,12504.422050694504,8428.291754873715,8428.291754873715,6
2025-01-27,71832.19651246272,417.2041995239287,72249.40071198664,97749.46310357303,26137.807031057328,23524.026327951597,71.68468413258643,11012.45030126656,8428.291754873715,8428.291754873715,7
2025-01-28,70705.09482070233,855.5372245587125,71560.63204526105,96838.10430181857,26137.807031057328,23524.0263279516,156.7832087008259,7400.707440747008,8428.291754873715,8428.291754873715,12
2025-01-29,70245.33896534727,257.66620474789295,70503.00517009516,97548.17101793777,26137.807031057328,23524.026327951597,64.64822566211035,13613.837490494156,8428.291754873715,8428.291754873715,6
2025-01-30,69822.45052415029,255.7043600262126,70078.1548841765,96490.3742983366,26137.807031057328,23524.0263279516,34.2640244968822,10168.274836394416,8428.291754873715,8428.291754873715,3
2025-01-31,23303.444984822218,863.975855422889,24167.420840245108,51771.77518370559,20791.595304105707,18819.795434980075,198.0695812556695,11233.721845835631,8428.291754873715,8315.124735378853,11
