name,month,cost_yuan,saving_yuan
q2_repriced,2,1277361.1013664522,0.0
q2_repriced,3,1165445.202394484,0.0
q2_repriced,4,958411.204711931,0.0
q2_repriced,5,995381.5363718144,0.0
q2_repriced,6,1517287.709013086,0.0
q2_repriced,7,1755983.6147246582,0.0
q2_repriced,8,1482896.134156716,0.0
q2_repriced,9,1167888.337222092,0.0
q2_repriced,10,1138585.9323241333,0.0
q2_repriced,11,1330814.9315234672,0.0
q2_repriced,12,1902354.3672518316,0.0
mean_price,2,1276347.4340763055,1013.667290146579
mean_price,3,1165604.5375960467,-159.33520156244776
mean_price,4,962839.1576133535,-4427.952901422481
mean_price,5,996967.9754112314,-1586.4390394169532
mean_price,6,1508762.7383795308,8524.970633555073
mean_price,7,1753298.602818192,2685.0119064662795
mean_price,8,1472927.0835637392,9969.050592976779
mean_price,9,1172486.2043093871,-4597.867087294942
mean_price,10,1141989.295137954,-3403.362813820473
mean_price,11,1328463.3841545898,2351.547368877358
mean_price,12,1902745.6676821576,-391.30043032582034
joint_price,2,1276375.451439877,985.6499265750535
joint_price,3,1165709.3074008187,-264.1050063345192
joint_price,4,961015.4600373862,-2604.255325455186
joint_price,5,996970.386740283,-1588.8503684685365
joint_price,6,1509890.3036924473,7397.405320638798
joint_price,7,1752909.4250956934,3074.1896289647266
joint_price,8,1470190.1013179491,12706.03283876686
joint_price,9,1172770.8196956299,-4882.482473537666
joint_price,10,1143564.3524621269,-4978.420137993437
joint_price,11,1330046.4512509597,768.4802725076006
joint_price,12,1904586.4913742477,-2232.124122416033
known_today_price,2,1263936.2266608092,13424.874705642926
known_today_price,3,1149354.6179712752,16090.58442320885
known_today_price,4,947186.7898360895,11224.41487584143
known_today_price,5,979343.2410318678,16038.295339946611
known_today_price,6,1494476.7896408415,22810.91937224455
known_today_price,7,1738056.777074031,17926.837650627163
known_today_price,8,1459751.2467528798,23144.887403836277
known_today_price,9,1152434.7752766837,15453.561945408366
known_today_price,10,1125931.3501014563,12654.582222677162
known_today_price,11,1312374.5782459045,18440.353277562666
known_today_price,12,1888538.7327489061,13815.634502925674
