date,interval,planned_grid_kwh
2025-03-20,10:00—10:10,0.0
2025-03-20,12:00—12:10,653.1487700170067
2025-03-20,14:00—14:10,0.0
2025-03-20,16:00—16:10,494.34758453373
2025-03-20,18:00—18:10,0.0
2025-03-20,20:00—20:10,520.3531438884615
2025-06-21,10:00—10:10,0.0
2025-06-21,12:00—12:10,0.0
2025-06-21,14:00—14:10,0.0
2025-06-21,16:00—16:10,252.87024857142853
2025-06-21,18:00—18:10,273.5886487830935
2025-06-21,20:00—20:10,0.0
2025-09-23,10:00—10:10,0.0
2025-09-23,12:00—12:10,568.091803061224
2025-09-23,14:00—14:10,0.0
2025-09-23,16:00—16:10,550.0640140476194
2025-09-23,18:00—18:10,0.0
2025-09-23,20:00—20:10,0.0
2025-12-21,10:00—10:10,0.0
2025-12-21,12:00—12:10,993.1895326190474
2025-12-21,14:00—14:10,0.0
2025-12-21,16:00—16:10,863.8168963265306
2025-12-21,18:00—18:10,719.7676491836735
2025-12-21,20:00—20:10,0.0
