date,interval,charge_kwh,discharge_kwh
2025-03-20,00:00—04:00,3284.903201427702,599.05322
2025-03-20,04:00—08:00,1666.6666666666667,7438.729149125179
2025-03-20,08:00—12:00,5902.761621505102,3168.630512159753
2025-03-20,12:00—16:00,4838.35631956735,559.6464856802726
2025-03-20,16:00—20:00,0.0,6661.405697673395
2025-03-20,20:00—24:00,1666.6666666666667,3195.9539636115387
2025-06-21,00:00—04:00,0.0,0.0
2025-06-21,04:00—08:00,2927.4596560657596,2634.713690459184
2025-06-21,08:00—12:00,6987.626360004801,0.0
2025-06-21,12:00—16:00,3131.662152534012,0.0
2025-06-21,16:00—20:00,0.0,6477.743802033232
2025-06-21,20:00—24:00,9166.666666666668,3357.9958592517005
2025-09-23,00:00—04:00,5628.669308835108,622.6163775000001
2025-09-23,04:00—08:00,1666.6666666666667,7568.7158246258505
2025-09-23,08:00—12:00,5847.497517657857,3038.643836659081
2025-09-23,12:00—16:00,4618.5327409126985,312.06757142857134
2025-09-23,16:00—20:00,0.0,6712.57553597881
2025-09-23,20:00—24:00,5833.333333333333,2394.7841253061224
2025-12-21,00:00—04:00,952.6218458721453,750.0000000000007
2025-12-21,04:00—08:00,1666.6666666666667,2333.333333333333
2025-12-21,08:00—12:00,5833.333333333334,8274.026327951597
2025-12-21,12:00—16:00,8333.333333333334,3642.6403387150694
2025-12-21,16:00—20:00,0.0,5936.706193520408
2025-12-21,20:00—24:00,8333.333333333334,3170.6534677645245
