date,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,g_kwh,c_kwh,d_kwh,emergency_kwh,dump_kwh,energy_start_kwh,energy_end_kwh,emergency_slots,sample_count,max_history_day,clipped_scenario_price_count,horizon_expected_cost_yuan,solver_status,raw_simultaneous_slots
2025-02-01,20010.766200004866,360.43147192447987,20371.197671929345,48363.79903140674,23858.11162427046,19222.30046184341,113.22954714002307,9463.041482786386,8315.124735378853,10686.83298050514,6,24,2025-01-31,0,83689.12654517847,0,0
2025-02-02,61480.70722161009,297.2282045645195,61777.93542617461,88510.7863151704,25000.0,24000.000000000007,48.599864229025115,9203.108229399424,10686.83298050514,9105.69415042095,4,25,2025-02-01,0,128938.67318118754,0,0
2025-02-03,61454.70189158597,1005.7239691511421,62460.425860737116,87235.38679920541,26769.920288664034,24842.928259797634,220.21137079553648,5311.6896411345515,9105.69415042095,8315.124735378855,16,26,2025-02-02,0,124733.18773688732,0,0
2025-02-04,60711.19289053908,4762.916711669563,65474.10960220865,86580.56849587073,27017.779380743777,25066.001442669403,1027.8886801321692,4461.815287928527,8315.124735378855,7524.55532033676,32,27,2025-02-03,0,123270.79090015059,0,0
2025-02-05,60872.69690561203,3676.4707442229505,64549.16764983498,87964.1200647124,27900.614844008425,23610.55335960759,793.1506873885518,3718.7822843667973,7524.55532033676,9105.69415042095,34,28,2025-02-04,0,121929.58374352,0,0
2025-02-06,57219.319321684416,2416.721454022997,59636.04077570741,78989.60785240124,20439.68218100305,25145.713962902748,475.1153869174387,3899.697804551716,9105.69415042095,1990.569415042095,28,29,2025-02-05,0,78248.80770033877,0,0
2025-02-07,19134.180330929637,1720.4054039958648,20854.585734925502,47842.25539053611,28177.501492775642,19359.751343498083,427.08718812129376,7645.912762713181,1990.569415042095,8315.124735378855,24,30,2025-02-06,0,33599.67395323133,0,0
2025-02-08,17278.88344945748,874.2570424126908,18153.140491870174,42574.64734433258,25361.569958657186,20575.412962791466,234.1718038267892,6445.49943562699,8315.124735378855,10686.83298050514,18,31,2025-02-07,0,74470.03198490305,0,0
2025-02-09,57295.62045230622,5190.71965732532,62486.340109631536,82664.43392563914,24398.252935701694,23351.067980846597,1195.4096321993459,3257.242636316723,10686.83298050514,9218.86116991581,40,32,2025-02-08,0,117676.44552776375,0,0
2025-02-10,57239.51798103167,382.56326943317106,57622.08125046484,84905.52853216548,25979.011726277735,23488.47021493489,124.00321760179361,8212.352655091101,9218.86116991581,9105.69415042095,12,33,2025-02-09,0,117768.05314746697,0,0
2025-02-11,56413.134358324074,410.1107651133913,56823.24512343747,82599.1906607097,25333.345828930782,24192.651584752773,97.32854030443002,6335.227823502795,9105.69415042095,7637.72233983162,13,34,2025-02-10,0,116110.60000757662,0,0
2025-02-12,56973.72065855538,1760.0077347111492,58733.72839326653,84847.04498847298,27402.72148318045,23269.808996147334,377.78876808735754,5825.185136193887,7637.72233983162,9105.69415042095,22,35,2025-02-11,0,115111.38042214932,0,0
2025-02-13,51819.45571939532,659.6283169378869,52479.08403633321,75431.92514498191,21136.09149447166,25772.4823450245,218.03205331377512,8956.869032181858,9105.69415042095,1990.569415042095,17,36,2025-02-12,0,73325.21952563121,0,0
2025-02-14,17192.863342088724,1945.0594827615926,19137.922824850317,43660.72267989468,29345.42601668697,20410.883415018274,686.6217944642858,5611.000056023604,1990.569415042095,8315.124735378855,29,37,2025-02-13,0,30233.269088022236,0,0
2025-02-15,16163.019696511641,1325.8530507902453,17488.872747301888,38978.39042624766,24189.929371987888,19413.576773504166,434.1345691666063,5356.0812969305425,8315.124735378855,10800.0,29,38,2025-02-14,0,67185.91759579707,0,0
2025-02-16,51876.151991504245,5256.604674782863,57132.75666628711,76322.32565778216,21116.345503733657,22004.710953360296,1176.0346023838704,3009.346609792674,10800.0,7637.72233983162,48,39,2025-02-15,0,107538.32510834864,0,0
2025-02-17,54071.33444730505,283.68569067931827,54355.02013798437,82135.9285120322,28168.807056161848,23101.926350545666,101.83155991496591,5987.016199664319,7637.72233983162,10009.430584957905,14,40,2025-02-16,0,106195.2431005027,0,0
2025-02-18,50897.16176344237,1865.5674591032987,52762.72922254567,77244.08071348266,23851.849903067196,23074.02457404541,399.93034845240857,4774.797949579958,10009.430584957905,8315.124735378855,21,41,2025-02-17,0,105234.79739730936,0,0
2025-02-19,52229.56928274006,4217.422359730167,56446.991642470224,80617.01340037404,26533.987045366943,22380.588340830247,973.971311468855,4558.2586239728735,8315.124735378855,9896.263565463045,37,42,2025-02-18,0,105339.90532584029,0,0
2025-02-20,48761.47484276778,2320.9599267146423,51082.43476948242,70703.18956328138,18200.052177148045,23880.046959433243,494.2921524203034,5884.342764653553,9896.263565463045,1990.569415042095,25,43,2025-02-19,0,67985.43540929226,0,0
2025-02-21,17274.552543418155,789.6249475311934,18064.177490949347,41812.14739751031,27522.52991595255,19520.276924357295,249.33274993632276,8498.965122518042,1990.569415042095,7524.55532033676,22,44,2025-02-20,0,28733.94296836242,0,0
2025-02-22,15925.70230720645,1308.9712140169374,17234.673521223387,38790.19317490272,24702.636576088098,19125.013257194358,411.7997904045338,5779.606763080184,7524.55532033676,10800.0,29,45,2025-02-21,0,62857.44459581785,0,0
2025-02-23,49494.78515276156,4026.817735842501,53521.60288860406,74634.41529179428,21262.739043101872,21493.824800076614,1008.7443446312222,4342.391710066921,10800.0,8315.124735378855,38,46,2025-02-22,0,101103.32742792081,0,0
2025-02-24,50165.72802054612,1550.4712784038022,51716.19929894993,77033.23409853638,25298.436232754368,22661.232948194,315.80366596741584,6508.800863276765,8315.124735378855,8428.291754873715,22,47,2025-02-23,0,99827.0058606486,0,0
2025-02-25,49021.548616693886,1401.2021587541747,50422.75077544806,76344.70821785711,24443.18429979159,22106.22553109736,326.8780883361686,8513.30430416572,8428.291754873715,8315.124735378855,21,48,2025-02-24,0,98990.67016844165,0,0
2025-02-26,48624.00928761953,2725.8831257773095,51349.89241339683,74753.49007597273,23463.286215559314,21866.957594003383,631.7720244941171,4974.085445577586,8315.124735378855,7524.55532033676,29,49,2025-02-25,0,97549.08570330335,0,0
2025-02-27,45168.14456578532,2700.791451104676,47868.936016889995,69731.13437205093,20116.72086561795,23355.048779056153,480.2976222578683,6493.1757077470065,7524.55532033676,1990.569415042095,18,50,2025-02-26,0,63556.856112137415,0,0
2025-02-28,15740.423232043257,628.9856649288461,16369.408896972103,39814.114248978374,24106.51871867881,17088.507185526,216.87463080960288,9720.383796635173,1990.569415042095,6847.152924789525,20,51,2025-02-27,0,27550.74638400017,0,0
2025-03-01,15342.667257328198,789.052357124951,16131.719614453148,38500.674079227116,26071.910358410958,19714.71932256986,238.8705719550389,8723.587682007725,6847.152924789525,10800.0,21,52,2025-02-28,0,58420.851117653896,0,0
2025-03-02,45756.510050525016,20472.264518773474,66228.77456929849,70300.17019167547,20199.721354355668,20429.749218920097,4654.052266910447,2825.943256483679,10800.0,8428.291754873715,54,53,2025-03-01,0,92610.31195113757,0,0
2025-03-03,46205.75958841079,15617.328858480942,61823.08844689173,71059.33425238734,21315.77353887203,21434.196184984827,3297.727038290322,2458.337303457129,8428.291754873715,6056.58350974743,66,54,2025-03-02,0,93153.46235215924,0,0
2025-03-04,48654.08768555903,3162.886606540062,51816.9742920991,75891.18382678216,24914.96474355873,21030.827930487787,806.1839949575491,3613.7730753354344,6056.58350974743,7524.55532033676,38,55,2025-03-03,0,94545.01749468497,0,0
2025-03-05,48214.009456296226,624.4625167142162,48838.47197301044,76501.11827020989,26485.54582357443,22979.63157993206,136.02967910856128,7000.761689009418,7524.55532033676,8428.291754873715,11,56,2025-03-04,0,95172.19179556085,0,0
2025-03-06,44502.83092570694,819.6500807699421,45322.48100647688,68015.75273897171,19130.77380591367,23325.056086607234,206.8143162316012,6476.195202563551,8428.291754873715,1990.569415042095,19,56,2025-03-05,0,61062.861434620194,0,0
2025-03-07,15649.756905267284,336.0398531141234,15985.796758381408,39696.66430928472,25962.649659362294,17259.025032141133,141.49089821102626,10212.245046941256,1990.569415042095,8428.291754873715,14,56,2025-03-06,0,26118.06619382632,0,0
2025-03-08,13826.10109539204,727.5504661275149,14553.651561519555,35062.64145260835,23715.32237979782,19093.790141818037,272.19457812292177,11650.164276084823,8428.291754873715,10800.0,18,56,2025-03-07,0,58133.95369398442,0,0
2025-03-09,44373.9587250983,825.9981515969625,45199.956876695265,70882.88346929499,22181.816178140805,22320.994221611658,205.49213556318773,7894.0285983290305,10800.0,8315.124735378855,16,56,2025-03-08,0,92018.35580742806,0,0
2025-03-10,45933.354176251,7164.6441565862315,53097.998332837225,71154.52729590109,23302.352256896742,21614.75736992214,1936.7132005765452,3361.5741595030404,8315.124735378855,7637.72233983162,52,56,2025-03-09,0,89318.6601797988,0,0
