date,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,g_kwh,c_kwh,d_kwh,emergency_kwh,dump_kwh,energy_start_kwh,energy_end_kwh,emergency_slots,sample_count,max_history_day,clipped_scenario_price_count,horizon_expected_cost_yuan,solver_status,raw_simultaneous_slots
2025-02-01,19756.180103879975,360.43147192447987,20116.611575804454,48923.6547979502,29053.884070840508,23791.13600247152,113.22954714002307,9395.960343387902,8315.124735378853,10800.0,6,24,2025-01-31,0,82429.21256365917,0,0
2025-02-02,60988.89729227254,266.75687671592334,61255.654168988454,88753.78431951106,29075.55652215979,27774.14278661048,42.062150093537525,9138.154784055298,10800.0,9106.977765954993,2,25,2025-02-01,0,125301.960742175,0,0
2025-02-03,60867.65055716821,1261.649071755249,62129.29962892346,87999.54249206955,29577.026864969095,26513.18226180552,289.9262257789515,5008.707614684928,9106.977765954993,9218.86116991581,18,26,2025-02-02,0,123010.42662652509,0,0
2025-02-04,59341.193068765686,5109.146162047607,64450.33923081329,84946.18423197455,27766.293534283057,27239.664180854754,1093.78593994055,4318.476868486801,9218.86116991581,6847.152924789525,34,27,2025-02-03,0,121961.08529156265,0,0
2025-02-05,60697.71012219046,3880.3451811510313,64578.05530334149,88850.96016602936,31621.025491711414,26316.282603825202,833.239009052385,3631.029303862196,6847.152924789525,9105.69415042095,34,28,2025-02-04,0,120540.18127528082,0,0
2025-02-06,56546.05925258079,2779.4368802793315,59325.49613286012,78954.80462693238,21071.910358410958,25714.719322569857,543.2935392484605,3869.849913673079,9105.69415042095,1990.569415042095,28,29,2025-02-05,0,76735.3162357948,0,0
2025-02-07,18561.046511768,1774.2257796415204,20335.272291409517,47332.88084824327,30238.577025077626,21857.359661284936,436.66610998382197,7582.649927767739,1990.569415042095,7637.72233983162,24,30,2025-02-06,0,32602.506108262558,0,0
2025-02-08,17047.678168610033,880.7888017726345,17928.46697038267,43604.726982194945,29805.34779452207,23824.813015069863,236.7957225208727,6283.825208596945,7637.72233983162,10800.0,19,31,2025-02-07,0,73516.7042649015,0,0
2025-02-09,56769.601765160194,5332.733597963317,62102.335363123515,82612.20358511274,26774.379264769646,25596.941338292683,1221.3813117136162,3100.731003682728,10800.0,9218.86116991581,41,32,2025-02-08,0,116261.0857936448,0,0
2025-02-10,56641.16146216319,434.4640248081736,57075.62548697136,85130.55216970122,29675.503908885486,26815.313179281868,133.8501342684608,8077.573991032736,9218.86116991581,9105.69415042095,13,33,2025-02-09,0,115089.50929049602,0,0
2025-02-11,55733.33933923483,410.1107651133913,56143.45010434822,82643.42792498365,26064.51748995584,24850.70607967533,97.32854030443002,6306.34792167425,9105.69415042095,7637.72233983162,13,34,2025-02-10,0,114389.3767251678,0,0
2025-02-12,56031.57186536465,1709.5686589641682,57741.14052432881,84197.0371781517,27270.915857579934,23793.824271821934,362.8412701905328,5816.050729250903,7637.72233983162,8428.291754873715,21,35,2025-02-11,0,113060.13134714862,0,0
2025-02-13,51444.40226006462,764.6543654392865,52209.05662550391,76114.38345676832,24628.32598617941,28272.85304884641,246.8215526575957,8676.253055426248,8428.291754873715,1990.569415042095,18,36,2025-02-12,0,70532.24303681162,0,0
2025-02-14,16755.683297859214,1940.6719794923595,18696.355277351573,42994.88910034576,28232.99507702644,19818.17648599046,685.2505170100627,5463.519209653183,1990.569415042095,7884.548042918821,30,37,2025-02-13,0,29553.211320082366,0,0
2025-02-15,15987.528649421494,1255.7238628489508,17243.252512270446,39334.33801731571,25383.203267076875,20186.40202370252,403.23835389024475,5260.684027831608,7884.548042918821,10686.83298050514,28,38,2025-02-14,0,67230.93293260287,0,0
2025-02-16,50925.318667055,5390.931876343609,56316.25054339861,75249.3845304711,24118.21264866941,26021.349308802466,1199.341287498981,2974.4833781031425,10686.83298050514,6138.467963573804,48,39,2025-02-15,0,106524.0200355952,0,0
2025-02-17,53122.01616610991,280.3256203275121,53402.34178643743,81499.6096543958,29852.903418116595,25389.74515130494,100.34183685941008,5952.930057776888,6138.467963573804,7696.277538209437,14,40,2025-02-16,0,105230.62674293954,0,0
2025-02-18,50970.65829554671,2011.139148559432,52981.797444106145,78836.00099494321,26906.16631642258,24271.10002349539,438.908333946627,4548.455252629327,7696.277538209437,7637.72233983162,22,41,2025-02-17,0,103726.06875391028,0,0
2025-02-19,50914.47086614974,4375.358855175156,55289.829721324895,79138.20545816112,28858.239775915055,25972.41579832355,1018.0000424592643,4391.054139695549,7637.72233983162,7637.72233983162,41,42,2025-02-18,0,103702.53063343439,0,0
2025-02-20,49560.4156150126,2350.9573363125337,51911.37295132513,73841.89852795898,21737.00040585388,24170.66002655342,504.057217885156,5786.4816332103555,7637.72233983162,2781.13883008419,26,43,2025-02-19,0,67318.16246797498,0,0
2025-02-21,15131.018198204078,858.4895418448091,15989.507740048886,37548.898976732184,23696.24706989055,19911.44557234594,276.4277115554049,8480.263157409645,2781.13883008419,4272.866146738396,22,44,2025-02-20,0,28676.323767719146,0,0
2025-02-22,16801.797662955756,1316.509686855872,18118.30734981163,42259.90266288151,28767.19876540114,19698.296018131652,416.30340551337747,5762.540437792072,4272.866146738396,10800.0,30,45,2025-02-21,0,62837.7237134567,0,0
2025-02-23,48686.647178015075,4056.3458664282634,52742.99304444334,74028.80877705799,24516.876509606576,25172.54851993085,1042.1094265772872,4194.736530626215,10800.0,7524.55532033676,40,46,2025-02-22,0,100516.28427331171,0,0
2025-02-24,49163.252178235576,1494.660071655534,50657.91224989111,76117.27513650716,25433.474943616184,23640.127449254567,310.1880696256224,6431.082095104499,7524.55532033676,6733.985905294665,22,47,2025-02-23,0,99357.41131595544,0,0
2025-02-25,49601.6723877039,1412.7752061488966,51014.44759385279,79068.48249900906,28426.98479958897,23226.926658345143,334.4395602806129,8381.540684712518,6733.985905294665,9218.86116991581,21,48,2025-02-24,0,97770.22733012008,0,0
2025-02-26,48129.41850475356,2895.8745254993473,51025.2930302529,74868.00652014867,26622.26927573246,24817.402009444144,667.0577219022477,4915.348942429284,9218.86116991581,8315.124735378855,30,49,2025-02-25,0,97335.2692129314,0,0
2025-02-27,44534.05362896602,2569.3070652977085,47103.360694263734,69140.05326999338,21294.908292906126,25165.41746361551,456.6765887424751,6510.654829445251,8315.124735378855,1990.569415042095,18,50,2025-02-26,0,61897.87268672984,0,0
2025-02-28,15396.296888132498,656.1044270988483,16052.401315231347,40044.36011830187,25722.278841552306,18321.89131323041,230.02983368356377,9581.408873663542,1990.569415042095,7079.896542533683,22,51,2025-02-27,0,27140.392330726427,0,0
