date,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,g_kwh,c_kwh,d_kwh,emergency_kwh,dump_kwh,energy_start_kwh,energy_end_kwh,emergency_slots,sample_count,max_history_day,clipped_scenario_price_count,horizon_expected_cost_yuan,solver_status,raw_simultaneous_slots
2025-02-01,19984.928534626382,360.43147192447987,20345.36000655086,48290.56301842917,23853.354894665325,19218.01940519879,113.22954714002307,9390.281142769329,8315.124735378853,10686.83298050514,6,24,2025-01-31,0,83616.34011965751,0,0
2025-02-02,61468.77935094268,290.39319106451967,61759.172542007196,88512.2737011635,25000.0,24000.000000000007,45.582864229025176,9201.578615392535,10686.83298050514,9105.69415042095,3,25,2025-02-01,0,128840.92783739379,0,0
2025-02-03,61201.24456237802,1261.649071755249,62462.89363413327,86858.09222822079,26716.124787869994,24794.512309083,289.9262257789515,5009.489475212749,9105.69415042095,8315.124735378855,18,26,2025-02-02,0,124616.17731068909,0,0
2025-02-04,60606.994822034,5029.2116513410365,65636.20647337503,86418.30158511858,26939.984520485188,24995.986068436676,1079.369826215805,4358.809009285871,8315.124735378855,7524.55532033676,33,27,2025-02-03,0,123153.72387877775,0,0
2025-02-05,60827.6148096677,3684.8135741851725,64512.42838385287,87917.46305732836,27881.27770745771,23593.149936711943,797.027467110774,3677.935770360043,7524.55532033676,9105.69415042095,34,28,2025-02-04,0,121822.90609295371,0,0
2025-02-06,57202.48599786987,2479.741480815768,59682.227478685636,78973.71183445152,20428.837963203565,25135.95416688321,486.66939460364125,3896.440216068137,9105.69415042095,1990.569415042095,28,29,2025-02-05,0,78147.67361863333,0,0
2025-02-07,19112.366557749014,1725.1568358273562,20837.52339357637,47782.189644999344,28139.58896910891,19325.630072198022,428.0156635949336,7590.566745016722,1990.569415042095,8315.124735378855,24,30,2025-02-06,0,33524.1469990914,0,0
2025-02-08,17172.784122718065,890.2404161269446,18063.02453884501,42299.4947424144,25322.18313735566,20539.964823620096,241.10667638778403,6181.220388399951,8315.124735378855,10686.83298050514,20,31,2025-02-07,0,74391.1440712328,0,0
2025-02-09,57213.94073394669,5247.693064305574,62461.63379825227,82532.44287637051,24390.651479612316,23344.226670366155,1211.6370467217382,3142.2391471794285,10686.83298050514,9218.86116991581,41,32,2025-02-08,0,117579.01388984674,0,0
2025-02-10,57161.49563680666,434.46402480817386,57595.959661614834,84811.7853647384,25966.171652134373,23476.914148205866,133.85013426846092,8129.740411745032,9218.86116991581,9105.69415042095,13,33,2025-02-09,0,117670.50223382423,0,0
2025-02-11,56421.74863105497,410.1107651133913,56831.859396168365,82602.88702321223,25326.878517687397,24186.83100463373,97.32854030443002,6339.570917129654,9105.69415042095,7637.72233983162,13,34,2025-02-10,0,116012.75587648246,0,0
2025-02-12,56987.701334960075,1758.9170685098968,58746.618403469976,84868.22271905934,27398.588575647063,23266.08937936729,372.3814670896251,5841.368856535862,7637.72233983162,9105.69415042095,21,35,2025-02-11,0,115014.27518078694,0,0
2025-02-13,51690.025911812365,742.1515887069072,52432.177500519276,75203.21054110452,21123.559813298823,25761.20383196894,246.72351130839002,8758.099054416372,9105.69415042095,1990.569415042095,17,36,2025-02-12,0,73223.27386018889,0,0
