date,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,g_kwh,c_kwh,d_kwh,emergency_kwh,dump_kwh,energy_start_kwh,energy_end_kwh,emergency_slots
2025-02-01,19208.251031204483,385.6884170049425,19593.939448209425,45595.67985992832,19896.308169020405,17799.31769083343,119.01777793650808,9239.53122634452,8315.124735378853,8428.291754873715,7
2025-02-02,62189.70493322924,266.75687671592334,62456.46180994516,89959.21458340403,25119.28851253881,22607.359661284936,42.062150093537525,9133.069932243692,8428.291754873715,8428.291754873715,2
2025-02-03,61353.30242592979,1261.649071755249,62614.95149768504,87433.88125092188,24811.49186096105,22330.34267486495,289.9262257789515,5025.74179060474,8428.291754873715,8428.291754873715,18
2025-02-04,60823.14366193272,5136.185353280721,65959.32901521344,86888.83115764044,24639.253272214166,22175.327944992758,1097.374157755721,4327.41603817476,8428.291754873715,8428.291754873715,33
2025-02-05,60072.06542318561,3834.279007760081,63906.34443094569,86039.60272640326,24621.476967562347,22159.329270806116,823.1296053627248,3652.1576516764358,8428.291754873715,8428.291754873715,34
2025-02-06,59916.4242706461,2634.1563910748782,62550.580661720975,85615.31717279488,24082.366683756012,22098.38078962453,516.3128881867301,3876.5869501834686,8428.291754873715,7981.092172973282,28
2025-02-07,16769.81692967631,1774.2257796415208,18544.042709317833,40289.82739433064,18413.719245593868,16984.024907361014,436.66610998382214,7491.11949941495,7981.092172973282,7547.145894829138,24
2025-02-08,16615.664249593254,890.2404161269448,17505.904665720198,40294.28363032943,19490.01394370731,16705.084188765934,241.1066763877841,6173.297835109177,7547.145894829138,8428.291754873715,20
2025-02-09,57752.884613623,5315.1750831740255,63068.05969679703,83912.73105098998,24394.711436176236,21955.240292558618,1224.2239085768967,3142.0678492826046,8428.291754873715,8428.291754873715,41
2025-02-10,57114.29219948668,434.46402480817335,57548.75622429485,84803.89158919557,24612.50858163353,22151.257723470182,133.8501342684607,8149.85328196735,8428.291754873715,8428.291754873715,13
2025-02-11,56893.61109917155,415.4406939703763,57309.05179314192,83871.78186800728,24473.839035943492,22026.45513234915,98.23291442116619,6302.03374550078,8428.291754873715,8428.291754873715,14
2025-02-12,56155.977957216324,1758.917068509897,57914.89502572622,83112.04346725118,24171.70368070918,21754.53331263827,372.3814670896253,5800.51843293656,8428.291754873715,8428.291754873715,21
2025-02-13,54461.54521647718,742.1515887069068,55203.69680518408,80964.37445841472,22938.857257972155,21813.255520024504,246.7235113083899,8756.017215108797,8428.291754873715,7196.812303037354,17
2025-02-14,14960.763313982947,1978.5091232578166,16939.272437240765,35991.80283150865,17490.435899971635,16040.127713562904,701.1501369670416,5440.842965400291,7196.812303037354,6881.917538680989,30
2025-02-15,15741.24718655589,1255.7238628489508,16996.97104940484,37477.94588132918,19105.406643580103,15727.846587784097,403.23835389024464,5223.533079423423,6881.917538680989,8428.291754873715,28
2025-02-16,53293.693371306224,5384.260839589111,58677.95421089534,79494.08055813109,23580.814255867856,21222.732830281075,1197.847582540554,2956.467615084862,8428.291754873715,8428.291754873715,49
2025-02-17,52880.06828157614,280.32562032751247,53160.393901903655,79463.57172462152,23339.10061734975,21005.19055561478,100.3418368594102,6046.140333079292,8428.291754873715,8428.291754873715,14
2025-02-18,51593.798333281076,1892.8734236327425,53486.67175691382,78574.7325740429,23133.51392571936,20820.162533147428,415.5176038490013,4585.511001986637,8428.291754873715,8428.291754873715,22
2025-02-19,51404.36960019195,4248.12260592324,55652.49220611519,78664.60074136546,23209.188322292808,20888.26949006353,993.7785964955459,4458.133122298397,8428.291754873715,8428.291754873715,39
2025-02-20,51338.011482740665,2276.4469750047892,53614.45845774545,76604.08532785976,21138.88838873447,20874.122353288818,489.6084665491777,5835.794025629955,8428.291754873715,6479.145177477841,26
2025-02-21,14914.715065903316,894.0750650903101,15808.790130993626,35156.64756672775,16805.738441036396,15391.910934041603,287.4841425264601,8470.042168926086,6479.145177477841,6197.969849887494,22
2025-02-22,15445.5891334991,1330.3428308558716,16775.93196435497,37165.393973068174,19106.25250699627,15079.75811576001,418.76657218004397,5712.903270678632,6197.969849887494,8428.291754873715,30
2025-02-23,50551.90118612035,4193.090237497331,54744.99142361768,76979.26567131605,23079.65821472824,20771.69239325542,1069.5863840570119,4209.032550566914,8428.291754873715,8428.291754873715,40
2025-02-24,49943.51793483115,1516.23653136139,51459.75446619254,76618.20836601884,22777.42257012514,20499.68031311263,314.77451619024833,6452.207008529918,8428.291754873715,8428.291754873715,22
2025-02-25,49018.41296394494,1382.6806007183407,50401.09356466328,76270.64153299718,22751.439547411897,20476.295592670707,330.08889361394654,8504.263238536605,8428.291754873715,8428.291754873715,21
2025-02-26,48957.56584531356,2697.246347690234,51654.812193003796,75388.73640946992,22322.69090918874,20090.421818269875,626.225383280965,4967.844668498682,8428.291754873715,8428.291754873715,30
2025-02-27,46624.80690039549,2634.1875020784055,49258.994402473894,72703.54189696301,19485.33675388549,19781.639914985957,467.6185440696594,6510.879402133142,8428.291754873715,6062.025961956294,18
2025-02-28,13875.668962170577,676.8364548608672,14552.505417031445,33962.50398646574,16354.187594881321,14991.848202774145,237.40756556232344,9544.978609920883,6062.025961956294,5774.175034315728,22
2025-03-01,14700.05433907853,905.3920934614715,15605.446432540002,36390.01436018337,19082.337536719897,14656.187579177944,269.5560035588891,8574.654472866976,5774.175034315728,8428.291754873715,22
2025-03-02,46785.457515349386,20487.400117934645,67272.85763328403,72676.8655087212,21886.303551803132,19697.67319662282,4670.256347782254,2800.1844346564785,8428.291754873715,8428.291754873715,56
2025-03-03,47073.718281714726,15253.600221216799,62327.31850293152,73414.11555388784,22179.824496433383,19961.842046790054,3244.4038136610357,2423.3902845722087,8428.291754873715,8428.291754873715,66
2025-03-04,47937.62528539009,3198.02539750392,51135.65068289401,74315.49766382793,22427.549567221333,20184.7946104992,820.1913508288636,3693.4761246013386,8428.291754873715,8428.291754873715,38
2025-03-05,47398.34567566089,652.4696489921364,48050.81532465303,75065.81938220469,22546.65746377714,20291.991717399433,152.01772457937892,6832.6993437397,8428.291754873715,8428.291754873715,14
2025-03-06,45832.577918490904,969.8209899574152,46802.39890844832,70805.93107628457,19100.336491020116,20353.897747403724,244.49854689302964,6363.336746227878,8428.291754873715,5093.569923060499,23
2025-03-07,12955.346892809017,380.42451471874,13335.771407527756,31980.34628951286,15084.136335433155,13959.756125767391,161.48493499956456,10095.165481513328,5093.569923060499,4688.763150698514,15
2025-03-08,14286.740253604517,828.8578292381067,15115.598082842624,35707.25763420159,19008.02430482429,13559.593544978698,314.65281404765585,11510.340171736989,4688.763150698514,8428.291754873715,22
2025-03-09,45337.850122318356,873.7643701720256,46211.614492490386,73106.83326959619,22737.855606044235,20464.070045439817,218.6358648503716,7718.15852384214,8428.291754873715,8428.291754873715,16
