date,planned_cost_yuan,increase_cost_yuan,cancellation_refund_yuan,breach_cost_yuan,adjustment_net_yuan,emergency_cost_yuan,total_cost_yuan,original_kwh,adjusted_kwh,increase_kwh,decrease_kwh,emergency_kwh,dump_kwh,charge_kwh,discharge_kwh,energy_start_kwh,energy_end_kwh,lp_eq_max,lp_ineq_max,max_tree_nodes,raw_simultaneous_slots
2025-02-01,16047.06570016989,0.0,0.0,0.0,0.0,903.0825583947208,16950.148258564608,37656.382794465855,37656.382794465855,0.0,0.0,283.07245813116907,6493.515501643349,16214.436482628074,19146.672665007733,6000.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-02,59949.04126695743,0.0,0.0,0.0,0.0,1032.7285718764042,60981.76983883384,87100.71822526117,87100.71822526117,0.0,0.0,210.634818974395,6134.318259835738,28207.568343998297,25386.81150959846,1200.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-03,59254.26784282844,0.0,0.0,0.0,0.0,3709.282514510434,62963.550357338885,84912.8033048817,84912.8033048817,0.0,0.0,859.58853275923,2861.4576690687163,26940.176685722192,24246.159017149974,1200.0,1200.0,1.8189894035458565e-12,1.1368683772161603e-13,1,0
2025-02-04,58565.74233528657,0.0,0.0,0.0,0.0,9738.365988183083,68304.10832346966,84305.29496458374,84305.29496458374,0.0,0.0,2033.5026883971123,2471.880183525597,26720.535194552554,24048.481675097304,1200.0,1200.0,1.8189894035458565e-12,1.1368683772161603e-13,1,0
2025-02-05,57918.381965448534,0.0,0.0,0.0,0.0,8541.32486005852,66459.70682550705,83219.14857924118,83219.14857924118,0.0,0.0,1917.556446947428,1715.9454550369862,26723.32587818302,24050.993290364713,1200.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-06,58102.02243716517,0.0,0.0,0.0,0.0,7237.962401849438,65339.98483901461,83222.47311131592,83222.47311131592,0.0,0.0,1590.003829893641,1885.9899133061488,26554.29811236745,23898.8683011307,1200.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-07,15855.313138244095,0.0,0.0,0.0,0.0,3585.7907086013734,19441.10384684547,38364.09864541112,38364.09864541112,0.0,0.0,941.6605627358556,5561.150580820533,19389.289606597755,17450.360645937977,1200.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-08,15317.604867712711,0.0,0.0,0.0,0.0,2757.169774815224,18074.774642527933,37144.21991951017,37144.21991951017,0.0,0.0,782.5133893656241,4386.396191951308,19631.744002578194,17668.569602320375,1200.0,1200.0,1.8189894035458565e-12,1.1368683772161603e-13,1,0
2025-02-09,55892.902303628194,0.0,0.0,0.0,0.0,11308.92792360916,67201.83022723734,80942.36940517803,80942.36940517803,0.0,0.0,2577.915556525106,1558.182016862202,24066.869781742764,21660.18280356849,1200.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-10,55019.38056239525,0.0,0.0,0.0,0.0,1919.477884362273,56938.85844675753,81930.57221849874,81930.57221849874,0.0,0.0,544.1675806003393,5582.123437828783,25659.787779369733,23093.809001432768,1200.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
