date,planned_cost_yuan,increase_cost_yuan,cancellation_refund_yuan,breach_cost_yuan,adjustment_net_yuan,emergency_cost_yuan,total_cost_yuan,original_kwh,adjusted_kwh,increase_kwh,decrease_kwh,emergency_kwh,dump_kwh,charge_kwh,discharge_kwh,energy_start_kwh,energy_end_kwh,lp_eq_max,lp_ineq_max,max_tree_nodes,raw_simultaneous_slots
2025-02-01,16093.112156301562,0.0,0.0,0.0,0.0,522.1987279318887,16615.310884233455,37525.85368159591,37525.85368159591,0.0,0.0,164.05949903622854,6232.127395501768,16332.896824395037,19253.286972597998,6000.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-02,59828.09135206608,0.0,0.0,0.0,0.0,1116.9704590408783,60945.06181110696,86931.51019141485,86931.51019141485,0.0,0.0,223.85428016215394,5976.767939658259,28223.185819187616,25400.867237268852,1200.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-03,59896.768874958994,0.0,0.0,0.0,0.0,2709.405775326659,62606.174650285655,85724.74561053768,85724.74561053768,0.0,0.0,640.3474796183172,3412.5587617772826,27356.17828378716,24620.560455408442,1200.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-04,59748.99296657831,0.0,0.0,0.0,0.0,5162.037541956224,64911.03050853454,85675.19719239588,85675.19719239588,0.0,0.0,1129.3489490960792,2880.9618772312397,27287.203142607097,24558.482828346387,1200.0,1200.0,1.8189894035458565e-12,1.1368683772161603e-13,1,0
2025-02-05,57990.03816767928,0.0,0.0,0.0,0.0,8484.864945729254,66474.90311340854,83243.46987999091,83243.46987999091,0.0,0.0,1969.6709007784539,1794.8633135153523,26698.50483920689,24028.65435528619,1200.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-06,59342.42127838447,0.0,0.0,0.0,0.0,4389.785720067203,63732.20699845168,84730.05943866294,84730.05943866294,0.0,0.0,953.1897659932536,2685.0967451936403,27270.9524279588,24543.857185162917,1200.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-07,16015.151739743698,0.0,0.0,0.0,0.0,2694.6343335437323,18709.786073287432,38642.826984360494,38642.826984360494,0.0,0.0,742.5946112243074,5625.007915716359,19547.340132017747,17592.606118815973,1200.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-08,14873.839656232742,0.0,0.0,0.0,0.0,2944.5331564985436,17818.372812731286,36070.201329212854,36070.201329212854,0.0,0.0,871.5824102579388,3419.4466888354364,19451.74333968694,17506.569005718244,1200.0,1200.0,1.8189894035458565e-12,1.1368683772161603e-13,1,0
2025-02-09,56466.37461087352,0.0,0.0,0.0,0.0,8508.012887500834,64974.38749837436,81576.65247975233,81576.65247975233,0.0,0.0,2015.138511266338,1578.7414322114264,24576.33592140577,22118.702329265187,1200.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-10,54388.59315174943,0.0,0.0,0.0,0.0,2046.0181179804356,56434.61126972987,81102.24908108945,81102.24908108945,0.0,0.0,566.6546557074169,4784.4734257059845,25577.927277575647,23020.134549818085,1200.0,1200.0,1.8189894035458565e-12,1.1368683772161603e-13,1,0
2025-02-11,54521.06354006447,0.0,0.0,0.0,0.0,3161.951266148433,57683.0148062129,80546.63051914693,80546.63051914693,0.0,0.0,713.6996826260449,3453.683829417697,25860.492390219348,23274.44315119741,1200.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-12,53854.05350350158,0.0,0.0,0.0,0.0,4316.95080605426,58171.004309555836,80052.76259486876,80052.76259486876,0.0,0.0,947.5880683607985,3283.6933098566187,24499.212200396116,22049.290980356505,1200.0,1200.0,1.8189894035458565e-12,1.1368683772161603e-13,1,0
2025-02-13,51985.91539362601,0.0,0.0,0.0,0.0,2478.1677457267015,54464.083139352704,78326.21357094524,78326.21357094524,0.0,0.0,734.2516793888358,5223.087746050349,25078.98487617064,22571.086388553576,1200.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-14,14270.137382223347,0.0,0.0,0.0,0.0,2906.9788986607814,17177.11628088413,35076.123122324556,35076.123122324556,0.0,0.0,996.4770118183278,4202.629209185303,20681.69108290918,18613.52197461827,1200.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-15,14624.690647630505,0.0,0.0,0.0,0.0,3015.5171408998694,17640.207788530373,34580.55565830416,34580.55565830416,0.0,0.0,950.1301864140859,4187.913043818542,20626.8170089971,18564.135308097386,1200.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-16,52093.58408029211,0.0,0.0,0.0,0.0,8282.950378614518,60376.53445890663,77614.64581695537,77614.64581695537,0.0,0.0,1937.6564324387334,1826.875514015485,23480.476353786125,21132.428718407515,1200.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-17,51671.656965609815,0.0,0.0,0.0,0.0,2153.2095690713113,53824.86653468113,77657.75588961318,77657.75588961318,0.0,0.0,568.1194787204693,4722.114198192678,23198.980034743036,20879.08203126873,1200.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-18,48689.80662184447,0.0,0.0,0.0,0.0,7718.577464861486,56408.38408670596,74705.85658480796,74705.85658480796,0.0,0.0,1817.284126158592,2116.283642862301,23154.692847709193,20839.223562938274,1200.0,1200.0,4.547473508864641e-13,1.1368683772161603e-13,1,0
2025-02-19,49017.906279227805,0.0,0.0,0.0,0.0,8930.82967844205,57948.73595766985,74944.64736341767,74944.64736341767,0.0,0.0,2056.6090368013147,1716.5670748697275,24053.61942015924,21648.257478143314,1200.0,1200.0,4.547473508864641e-13,1.1368683772161603e-13,1,0
2025-02-20,50192.67776213599,0.0,0.0,0.0,0.0,3995.080169671094,54187.757931807086,75925.87420019766,75925.87420019766,0.0,0.0,879.4653470206421,3401.278580347213,24109.27233537747,21698.345101839725,1200.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-21,14270.990295857331,0.0,0.0,0.0,0.0,2324.647165978783,16595.637461836115,34089.77566167331,34089.77566167331,0.0,0.0,757.8995701362276,7350.199524567403,19372.136739088008,17434.923065179202,1200.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-22,14101.407394226137,0.0,0.0,0.0,0.0,3540.823628565568,17642.231022791704,33442.776117572386,33442.776117572386,0.0,0.0,1086.5430967086436,4792.6254480248945,18919.308829228023,17027.37794630522,1200.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-23,48285.207684520276,0.0,0.0,0.0,0.0,8651.022057387745,56936.22974190802,73949.79438082302,73949.79438082302,0.0,0.0,2117.1869560672703,2247.5209464086865,22876.06707148269,20588.460364334424,1200.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-24,47698.1045943848,0.0,0.0,0.0,0.0,3539.126937987293,51237.2315323721,73057.57964349672,73057.57964349672,0.0,0.0,826.1451913089832,3334.4770960958404,23462.14122043198,21115.92709838878,1200.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-25,47097.6127680003,0.0,0.0,0.0,0.0,3321.182045606387,50418.794813606684,73529.99221486397,73529.99221486397,0.0,0.0,821.6751232506717,6179.383405356453,23509.60699424857,21158.64629482371,1200.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-26,45980.537717347244,0.0,0.0,0.0,0.0,8678.851756431133,54659.38947377837,71063.40450358724,71063.40450358724,0.0,0.0,2091.9016196151697,2022.5837850577095,23178.743048113603,20860.86874330225,1200.0,1200.0,4.547473508864641e-13,1.1368683772161603e-13,1,0
2025-02-27,45205.595972388706,0.0,0.0,0.0,0.0,6488.392962937964,51693.98893532666,71352.02920394516,71352.02920394516,0.0,0.0,1260.1238411395425,3339.409751974249,23161.590931104613,20845.43183799415,1200.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
