date,span,original_kwh,adjusted_kwh
2025-03-20,10:00-10:10,0.0,0.0
2025-03-20,12:00-12:10,520.8755033922937,520.8755033922937
2025-03-20,14:00-14:10,0.0,0.0
2025-03-20,16:00-16:10,516.0607063362376,516.0607063362376
2025-03-20,18:00-18:10,-0.0,0.0
2025-03-20,20:00-20:10,719.4977541666667,719.4977541666667
2025-06-21,10:00-10:10,0.0,0.0
2025-06-21,12:00-12:10,0.0,0.0
2025-06-21,14:00-14:10,0.0,0.0
2025-06-21,16:00-16:10,186.2659829565255,134.07310348186775
2025-06-21,18:00-18:10,6.667994600931195,6.667994600931195
2025-06-21,20:00-20:10,0.0,0.0
2025-09-23,10:00-10:10,0.0,0.0
2025-09-23,12:00-12:10,426.19720145844485,244.68466057567576
2025-09-23,14:00-14:10,0.0,0.0
2025-09-23,16:00-16:10,536.5690340862285,536.5690340862285
2025-09-23,18:00-18:10,0.0,0.0
2025-09-23,20:00-20:10,0.0,0.0
2025-12-21,10:00-10:10,0.0,0.0
2025-12-21,12:00-12:10,918.2622481684166,918.2622481684166
2025-12-21,14:00-14:10,0.0,0.0
2025-12-21,16:00-16:10,843.1468195421941,843.1468195421941
2025-12-21,18:00-18:10,703.4101574697179,703.4101574697179
2025-12-21,20:00-20:10,0.0,0.0
