date,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,g_kwh,c_kwh,d_kwh,emergency_kwh,dump_kwh,energy_start_kwh,energy_end_kwh,emergency_slots,sample_count,max_history_day,clipped_scenario_price_count,horizon_expected_cost_yuan,solver_status,raw_simultaneous_slots
2025-02-01,20761.06486413555,385.68841700494266,21146.753281140496,50252.1325581587,25122.1766505487,18323.96308694444,119.0177779365082,9194.760839157616,8550.0,10800.0,7,24,2025-01-31,0,85821.28126823282,0,0
2025-02-02,63004.71631162979,266.75687671592334,63271.47318834571,89981.12795409298,23298.264276406037,20761.594063888893,42.062150093537525,9130.241941669385,10800.0,8700.0,2,25,2025-02-01,0,129790.05678426418,0,0
2025-02-03,63213.55647490643,1261.6490717552488,64475.20554666168,90069.17203462386,24666.666666666668,19440.0,289.92622577895145,4915.51509373614,8700.0,9300.0,18,26,2025-02-02,0,127318.9999319191,0,0
2025-02-04,61190.04638059012,5348.3111646582865,66538.35754524841,85773.73362381243,21635.83825873494,20225.028989575305,1137.1178825681702,4305.178287220961,9300.0,6300.0,34,27,2025-02-03,0,126379.01152708866,0,0
2025-02-05,62961.57289824933,3910.161263298256,66871.73416154759,90869.00206679173,27377.05375102436,20015.413538329736,838.3767455263078,3597.311616290075,6300.0,8700.0,35,28,2025-02-04,0,124913.10255295505,0,0
2025-02-06,58712.35152270473,2779.4368802793315,61491.788402984064,80942.35646557687,17998.64670781893,20653.903833333334,543.2935392484605,3869.849913673079,8700.0,1950.0,28,29,2025-02-05,0,79747.90050036831,0,0
2025-02-07,19413.093534243646,1783.7780457815195,21196.871580025167,48591.7257857243,27811.4404676731,18113.7380166181,438.5555899838218,7526.899257986457,1950.0,6853.920846885676,24,30,2025-02-06,0,34450.79286102486,0,0
2025-02-08,18422.984273614857,887.5732160713894,19310.557489686245,46101.4398002431,26327.20447808313,17773.564389444444,239.89678749889532,6210.533782436642,6853.920846885676,10800.0,20,31,2025-02-07,0,76581.81097492698,0,0
2025-02-09,58427.131286756325,5478.253717227756,63905.38500398408,83264.0146271791,20666.666666666668,18765.000000000004,1253.2233788406481,3060.15537268642,10800.0,8550.0,41,32,2025-02-08,0,120446.89986721367,0,0
2025-02-10,58867.93517910552,434.4640248081736,59302.399203913694,86959.07935883968,24101.024198559673,19386.82960083333,133.8501342684608,8052.097312048463,8550.0,8700.0,13,33,2025-02-09,0,119314.18421033902,0,0
2025-02-11,58059.71816828254,415.44069397037657,58475.158862252916,84878.88818044767,22679.747724740686,19180.595657039954,98.2329144211663,6257.37189383477,8700.0,7800.0,14,34,2025-02-10,0,118599.47654255718,0,0
2025-02-12,58045.34092461138,1792.8545494709747,59838.19547408235,86120.01427312127,25186.05228434115,19725.70235031633,378.5273347030041,5771.455540466129,7800.0,8550.0,22,35,2025-02-11,0,117207.2526155591,0,0
2025-02-13,53329.29476808956,777.6020071351205,54106.896775224675,77107.09170003419,17704.986238560505,20281.038853234008,251.83870737981817,8605.504005420848,8550.0,1950.0,18,36,2025-02-12,0,73438.7496889709,0,0
2025-02-14,17397.657548162857,2178.617540300898,19576.275088463757,43742.909727287624,26387.192988185834,16648.62632043052,788.3679516143972,4990.909194480046,1950.0,7200.0,32,37,2025-02-13,0,31215.254639940515,0,0
2025-02-15,16900.11335882849,1497.3775955953447,18397.490954423836,40797.47832177202,24020.784157559632,16756.8351676233,498.87420256295854,4752.312434398643,7200.0,10200.0,33,38,2025-02-14,0,70066.71083907913,0,0
2025-02-16,53171.67087086281,5469.078651913211,58640.749522776016,77453.52738675772,19759.674460302842,19380.336312845306,1213.4666197856875,2910.27675908588,10200.0,6450.0,49,39,2025-02-15,0,110520.2627910256,0,0
2025-02-17,55179.02484152433,280.3256203275121,55459.35046185184,83248.13360162554,25720.904275694327,19483.9324633124,100.34183685941008,5927.640459436359,6450.0,7950.0,14,40,2025-02-16,0,109231.32959465159,0,0
2025-02-18,52914.04153588373,2234.206767339308,55148.24830322303,80599.27692634838,23785.19228179018,19266.005748250045,484.57800171308975,4473.280611187999,7950.0,7950.0,24,41,2025-02-17,0,107653.43728432829,0,0
2025-02-19,52861.76259283037,4418.346475309583,57280.10906813995,80786.8493047832,24837.66380065163,20253.50767852782,1026.854620837622,4350.220420163682,7950.0,7800.0,41,42,2025-02-18,0,107720.12030821876,0,0
2025-02-20,51275.27114898035,2350.9573363125337,53626.228485292886,75259.37610882362,19176.20475957883,20122.725855258854,504.057217885156,5716.820689055472,7800.0,2700.0,26,43,2025-02-19,0,69995.68421203789,0,0
2025-02-21,16190.109660831722,866.8798995376139,17056.989560369337,39452.15503882336,22243.620615427513,15992.33269849629,278.6941506944662,7919.299239253267,2700.0,4950.0,22,44,2025-02-20,0,30197.41034540877,0,0
2025-02-22,17516.96491502882,1459.9689259909062,18976.933841019727,42924.17773855115,26688.022111733477,16352.29791050412,446.24021522709626,5189.930869215556,4950.0,10800.0,33,45,2025-02-21,0,65604.63610773411,0,0
