date,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,g_kwh,c_kwh,d_kwh,emergency_kwh,dump_kwh,energy_start_kwh,energy_end_kwh,emergency_slots
2025-02-01,20146.92417176782,385.6884170049425,20532.612588772765,47329.088578884504,20656.69947511066,16731.926574839632,119.01777793650808,9145.157523216656,8550.0,8550.0,7
2025-02-02,64271.38354787145,290.39319106451967,64561.77673893598,92142.0970049262,24795.751019513133,20084.55832580564,45.582864229025176,9120.209225447728,8550.0,8550.0,3
2025-02-03,63420.82746013935,1261.649071755249,64682.476531894594,89564.71538323582,24549.62709749395,19885.197948970108,289.9262257789515,4973.295960490926,8550.0,8550.0,18
2025-02-04,62922.52902188848,5333.117664342547,68255.64668623102,89027.37290121066,24464.27141235076,19816.059844004118,1131.1097700702817,4315.407152934302,8550.0,8550.0,33
2025-02-05,62075.85276481706,3979.147354762491,66055.00011957955,88123.90247670279,24335.280293233824,19711.577037519404,849.6276422579296,3601.3998799129618,8550.0,8550.0,34
2025-02-06,61901.05532790878,2779.436880279332,64680.492208188116,87554.31016761395,23681.08836220586,19721.68157338675,543.2935392484607,3867.1397013766373,8550.0,7950.0,28
2025-02-07,17747.81484446226,2045.9909443180136,19793.80578878027,42613.46028556415,20297.050897079655,16440.611226634515,491.49718706144705,7442.838135513791,7950.0,7950.0,24
2025-02-08,17308.664865854178,960.4658291861411,18269.13069504032,41830.27236794804,20633.94732337151,16173.497331930925,258.2101449924633,6050.869804833251,7950.0,8550.0,22
2025-02-09,59658.43990703532,5456.983395456202,65115.423302491516,86004.95431980233,24310.792076317543,19691.741581817212,1249.0120996474186,3079.499958282754,8550.0,8550.0,41
2025-02-10,59037.05860432322,434.46402480817335,59471.522629131396,86898.80255683941,24512.043769214866,19854.75545306405,133.8501342684607,8048.7267916237215,8550.0,8550.0,13
2025-02-11,58928.82391561189,463.51265774200255,59392.33657335389,86015.30291504053,24427.33925063728,19786.144793016196,106.25962401736359,6259.770948103477,8550.0,8550.0,15
2025-02-12,58089.440036150314,1792.8545494709745,59882.29458562129,85254.25400274928,24232.12682162576,19628.022725516865,378.52733470300404,5761.941108010063,8550.0,8550.0,22
2025-02-13,56548.91741320735,742.1515887069063,57291.06900191426,83235.37355282469,22748.57501453427,19277.27008833739,246.72351130838967,8681.313121269543,8550.0,7604.528526039303,17
2025-02-14,15603.04607446489,2376.1016403270087,17979.1477147919,37236.573551542926,18833.31188434756,15553.718029909958,853.1323857337723,5008.31026617243,7604.528526039303,7272.600299829933,33
2025-02-15,16295.166869372313,1630.4387422574084,17925.605611629722,38465.52759672012,20231.708501981495,15238.02415645195,533.8329149131797,4725.585066103761,7272.600299829933,8550.0,33
2025-02-16,55244.049387808554,5403.77809685697,60647.827484665526,81504.68847172994,23180.420764314058,18776.14081909439,1201.470525724369,2924.499952234646,8550.0,8550.0,49
2025-02-17,54743.33682849792,280.3256203275122,55023.66244882543,81443.75845783154,23213.13296607497,18802.63770252073,100.34183685941008,5949.741864470046,8550.0,8550.0,14
2025-02-18,53440.77428889567,2170.3536908846772,55611.12797978035,80561.23713208546,23217.66969483418,18806.312452815688,471.9969432919738,4530.489050025609,8550.0,8550.0,23
2025-02-19,53194.6859216842,4413.42919357304,57608.11511525724,80643.57548709892,23191.560996031745,18785.164406785716,1024.2466267554669,4382.098141275029,8550.0,8550.0,40
2025-02-20,53190.59459799984,2330.7891620146856,55521.38376001453,78761.61333584812,21298.437733260896,18783.497706084185,498.20963574985774,5751.749211087929,8550.0,6848.040953174604,26
2025-02-21,15506.497344886171,957.6674595444371,16464.16480443061,36263.347991801114,18025.065279833434,14867.049213773927,301.6825905742774,7846.752482982551,6848.040953174604,6551.656134164777,23
2025-02-22,16032.282469904265,1595.724141172193,17628.006611076456,38123.793157214015,20179.993795492715,14547.2854950974,473.1535706476875,5119.475544133056,6551.656134164777,8550.0,32
2025-02-23,52383.15790124134,4230.7049779238405,56613.862879165186,79022.74302613639,23227.041312962723,18813.903463499806,1076.575537265629,4154.327030605775,8550.0,8550.0,41
2025-02-24,51817.74147318219,1516.23653136139,53333.97800454358,78729.17080864157,23274.86801218429,18852.64308986928,314.77451619024833,6418.6867858501555,8550.0,8550.0,22
2025-02-25,50797.83940908258,1419.7609985933416,52217.60040767593,78339.78154085451,23271.714345801076,18850.08862009887,335.80078250283543,8432.633364321811,8550.0,8550.0,21
2025-02-26,50708.625612540374,2963.674317893657,53672.299930434034,77449.15498595536,23032.113794336667,18656.012173412702,680.3583847462484,4938.563716444313,8550.0,8550.0,30
2025-02-27,48397.06578681569,2634.1875020784055,51031.2532888941,74952.29194667016,20706.852214209997,18700.027468714183,467.6185440696594,6456.501545244009,8550.0,6408.358694217686,18
