date,planned_cost_yuan,increase_cost_yuan,cancellation_refund_yuan,breach_cost_yuan,adjustment_net_yuan,emergency_cost_yuan,total_cost_yuan,original_kwh,adjusted_kwh,increase_kwh,decrease_kwh,emergency_kwh,dump_kwh,charge_kwh,discharge_kwh,energy_start_kwh,energy_end_kwh,lp_eq_max,lp_ineq_max,max_tree_nodes,raw_simultaneous_slots
2025-02-01,25768.299900888534,0.0,231.08151329123726,115.54075664561863,-115.54075664561863,388.314265000095,26041.073409243014,49829.39626815445,49327.806789163325,0.0,501.5894789911227,93.3262272098919,8303.636295753435,23534.36285848135,16795.042071194894,6000.0,8519.76871575,1.8189894035458565e-12,1.1368683772161603e-13,7,0
2025-02-02,57961.04394388662,37.146213725459994,447.48899619965334,223.74449809982667,-186.59828437436667,270.7977770843039,58045.24343659657,91856.04805749668,91110.47772481944,28.957037150651672,774.5273698278909,43.227814653032624,8069.429162069526,24749.586461857656,20021.588034454704,8519.76871575,8548.18760425,1.8189894035458565e-12,1.1368683772161603e-13,7,0
2025-02-03,56987.61136561292,0.0,429.2433804667237,214.62169023336185,-214.62169023336185,1014.6706362525265,57787.660311632084,90506.24615490522,89907.52032750813,0.0,598.7258273971025,263.1004432087932,5258.238185349091,24633.2687745675,19937.802689199678,8548.18760425,8565.015402250001,1.8189894035458565e-12,1.1368683772161603e-13,7,0
2025-02-04,57249.88246879465,0.0,57.7585825518879,28.87929127594395,-28.87929127594395,1623.4313746703708,58844.434552189065,90700.26737570402,90575.04268980166,0.0,125.22468590237293,445.1589139686802,5060.03197882909,24999.482781796007,20234.177106854764,8565.015402250001,8582.130898250001,1.8189894035458565e-12,2.2737367544323206e-13,7,0
2025-02-05,55389.974841401716,255.77825227330393,0.0,0.0,255.77825227330393,1993.5237662015834,57639.276859876605,88059.4749132021,88411.7268767325,352.25196353040883,0.0,532.8579971328527,3587.4808974267617,24386.929021475025,19778.252028369763,8582.130898250001,8554.531430500001,1.8189894035458565e-12,1.1368683772161603e-13,7,0
2025-02-06,56103.7761846128,0.0,755.1329485375985,377.56647426879925,-377.56647426879925,1447.6154683812433,57173.82517872524,88885.4354383793,87858.10454287741,0.0,1027.3308955018815,310.494243959095,4010.7881245616063,23850.71985346433,19963.966407856104,8554.531430500001,7837.994401000001,1.8189894035458565e-12,1.1368683772161603e-13,7,0
2025-02-07,22108.0769371571,0.0,746.6462754872216,373.3231377436108,-373.3231377436108,966.1897857430238,22700.943585156514,42799.84138425496,41205.35764563399,0.0,1594.4837386209758,236.70073568037668,5914.741787938588,20558.235031586628,16836.59810487752,7837.994401000001,7633.074701786275,1.8189894035458565e-12,1.1368683772161603e-13,7,0
2025-02-08,21062.16091289115,19.968238872004356,0.0,0.0,19.968238872004356,1073.9625854236278,22156.091737186784,40754.70578937116,40772.41872623042,17.712936859252693,0.0,257.7481179343921,4646.266137396783,20716.543069521078,15909.80507941972,7633.074701786275,8600.402265,9.094947017729282e-13,1.1368683772161603e-13,7,0
2025-02-09,54493.11749335366,191.36178947567774,0.19402496650087492,0.09701248325043746,191.2647769924273,1582.0120795322514,56266.394349878334,86764.63528567998,87041.53886842198,277.1848191045282,0.2812363625175749,500.0306653912451,3373.126704892381,24341.173449890393,19728.146587636216,8600.402265,8587.29549475,1.8189894035458565e-12,1.1368683772161603e-13,7,0
2025-02-10,54061.25982346729,0.0,1275.8790324641247,637.9395162320624,-637.9395162320624,501.5919677703108,53924.91227500553,86245.97788472928,84239.69178785241,0.0,2006.2860968768587,153.13746254654922,5522.661862209214,23865.516674244267,19321.98686938786,8587.29549475,8597.38620225,9.094947017729282e-13,1.1368683772161603e-13,7,0
2025-02-11,53570.89212844946,0.0,1264.6909152642806,632.3454576321403,-632.3454576321403,728.5279680757958,53667.074638893115,85591.67917892084,83875.8413755684,0.0,1715.8378033524332,168.67320947891727,4290.142658477045,23676.1381565102,19142.36336327326,8597.38620225,8636.61791725,9.094947017729282e-13,1.1368683772161603e-13,6,0
2025-02-12,53311.595701448234,0.0,986.324486385654,493.162243192827,-493.162243192827,1469.123201526988,54287.55665978239,85208.68052255975,83634.26963681138,0.0,1574.410885748357,348.69563569507113,4205.851447460393,23632.685447303906,19122.30775559117,8636.61791725,8659.026202499997,1.8189894035458565e-12,1.1368683772161603e-13,6,0
2025-02-13,51359.0716393904,0.0,1092.5996841421916,546.2998420710958,-546.2998420710958,674.4794472691585,51487.251244588464,81858.2582515107,80269.31847275065,0.0,1588.9397787600708,242.65738210802783,6052.103219371133,22011.860212894324,18881.46659407345,8659.026202499997,7490.293067356613,1.8189894035458565e-12,1.1368683772161603e-13,6,0
2025-02-14,19252.89450542878,282.8640662335531,52.43605355331374,26.21802677665687,256.64603945689623,1801.7807888367688,21311.321333722444,37032.526436934786,37137.68899759927,232.6511421216061,127.48858145712069,514.3493883983473,4804.647900293032,18501.91212335338,15456.323454315458,7490.293067356613,6968.321251357476,1.8189894035458565e-12,1.1368683772161603e-13,7,0
2025-02-15,20067.613688826073,6.687725662573264,0.0,0.0,6.687725662573264,1627.5816428505864,21701.883057339233,38705.37929310542,38711.29711069906,5.9178175936406205,0.0,410.93000287963116,4462.23954442678,20395.182969992857,15015.286500840944,6968.321251357476,8640.33425675,9.094947017729282e-13,1.1368683772161603e-13,7,0
