date,planned_cost_yuan,increase_cost_yuan,cancellation_refund_yuan,breach_cost_yuan,adjustment_net_yuan,emergency_cost_yuan,total_cost_yuan,original_kwh,adjusted_kwh,increase_kwh,decrease_kwh,emergency_kwh,dump_kwh,charge_kwh,discharge_kwh,energy_start_kwh,energy_end_kwh,lp_eq_max,lp_ineq_max,max_tree_nodes,raw_simultaneous_slots
2025-02-01,25999.844535788958,0.0,0.0,0.0,0.0,265.4443281774627,26265.28886396642,50152.33164456007,50152.33164456007,0.0,0.0,67.95716332984912,9111.082658716194,23347.527451791546,16616.49723595115,6000.0,8550.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-02,58049.42480094861,0.0,0.0,0.0,0.0,353.21698784463047,58402.64178879324,92021.76132230382,92021.76132230382,0.0,0.0,58.440652306814286,9005.590691277299,24833.333333333336,20115.0,8550.0,8550.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-03,56887.06386639697,0.0,0.0,0.0,0.0,850.1315369023083,57737.19540329928,90416.09454699807,90416.09454699807,0.0,0.0,222.75669665397106,5703.601410318709,24833.333333333336,20115.0,8550.0,8550.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-04,57003.92959190639,0.0,0.0,0.0,0.0,1925.0868776944485,58929.01646960083,90462.70612525663,90462.70612525663,0.0,0.0,519.954125500556,5069.462967423848,24833.333333333336,20115.0,8550.0,8550.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-05,55311.052934025094,0.0,0.0,0.0,0.0,3241.3878478078386,58552.440781832935,88021.1321316401,88021.1321316401,0.0,0.0,890.6859010303599,3541.797605262216,24324.176021446932,19702.582577372013,8550.0,8550.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-06,56186.51529909032,0.0,0.0,0.0,0.0,1386.97693188624,57573.49223097657,89042.9137864819,89042.9137864819,0.0,0.0,303.7568932541754,5023.946796402757,24166.66666666667,20115.0,8550.0,7950.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-07,22329.136602874558,0.0,0.0,0.0,0.0,1362.8559482291676,23691.99255110373,43200.86824006132,43200.86824006132,0.0,0.0,307.26505955138697,7806.856293360753,20503.143892554097,16607.546552968815,7950.0,7950.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-08,20890.20163786688,0.0,0.0,0.0,0.0,1402.229707474092,22292.431345340974,40311.241817027316,40311.241817027316,0.0,0.0,343.93331314031724,4662.821060781089,20395.743961683555,15980.552608963675,7950.0,8550.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-09,54332.06945601622,0.0,0.0,0.0,0.0,2757.620950596379,57089.6904066126,86599.96103522097,86599.96103522097,0.0,0.0,806.5724615163037,3247.17885608927,24231.256178849213,19627.31750486786,8550.0,8550.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-10,53942.12039635271,0.0,0.0,0.0,0.0,410.2456158846469,54352.366012237355,86129.67383492402,86129.67383492402,0.0,0.0,133.8469514866165,7279.037886040605,24514.975352824724,19857.130035788025,8550.0,8550.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-11,53553.46514874164,0.0,0.0,0.0,0.0,752.7865208532753,54306.251669594916,85551.83967864068,85551.83967864068,0.0,0.0,173.71652786370055,5892.734031294573,24274.86864145513,19662.643599578652,8550.0,8550.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-12,53317.37808828333,0.0,0.0,0.0,0.0,1345.113546876095,54662.49163515943,85211.7105703977,85211.7105703977,0.0,0.0,320.18367634112894,5658.9335392475605,24243.287232410144,19637.062658252216,8550.0,8550.0,4.547473508864641e-13,1.1368683772161603e-13,1,0
2025-02-13,51335.12182143586,0.0,0.0,0.0,0.0,680.1535305445803,52015.27535198044,81914.16355910244,81914.16355910244,0.0,0.0,247.0955990272961,7452.44886189631,22264.516714153695,18885.18543458694,8550.0,7604.525670975057,1.8189894035458565e-12,1.1368683772161603e-13,1,0
2025-02-14,19321.15244044541,0.0,0.0,0.0,0.0,2226.007981968047,21547.160422413457,37180.40205268712,37180.40205268712,0.0,0.0,669.7297385635558,4753.530485165413,18913.363477784937,15618.563988366343,7604.525670975057,7272.592813907785,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-15,19876.32774943382,0.0,0.0,0.0,0.0,1970.2647217828817,21846.592471216703,38293.4417773,38293.4417773,0.0,0.0,496.0531291859636,4566.842249713122,19962.605733104458,15020.044176331616,7272.592813907785,8550.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-16,51408.849690462965,0.0,0.0,0.0,0.0,2920.0770167584697,54328.926707221435,82571.88853595594,82571.88853595594,0.0,0.0,746.2083834500544,3509.632200781653,23321.50325591756,18890.417637293227,8550.0,8550.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-17,51242.95847798901,0.0,0.0,0.0,0.0,193.0405803971181,51435.99905838613,82619.27099464941,82619.27099464941,0.0,0.0,72.43949583374217,7106.180657149827,23166.666666666668,18765.0,8550.0,8550.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-18,49039.92759347915,0.0,0.0,0.0,0.0,3075.1677078287844,52115.09530130794,79347.85708514485,79347.85708514485,0.0,0.0,799.6885981337566,3652.8876678826828,23175.106484539934,18771.836252477347,8550.0,8550.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
2025-02-19,49200.158472698924,0.0,0.0,0.0,0.0,3783.8491562022014,52984.007628901134,79558.66430206608,79558.66430206608,0.0,0.0,994.964817339795,3251.274961185867,23279.08828887725,18856.061513990575,8550.0,8550.0,9.094947017729282e-13,1.1368683772161603e-13,1,0
