date,planned_cost_yuan,increase_cost_yuan,cancellation_refund_yuan,breach_cost_yuan,adjustment_net_yuan,emergency_cost_yuan,total_cost_yuan,original_kwh,adjusted_kwh,increase_kwh,decrease_kwh,emergency_kwh,dump_kwh,charge_kwh,discharge_kwh,energy_start_kwh,energy_end_kwh,lp_eq_max,lp_ineq_max,max_tree_nodes,raw_simultaneous_slots
2025-02-01,17116.26131511381,20.78491595259174,139.82177409134545,69.91088704567272,-49.12597109308098,601.5053881176373,17668.640732138367,39136.747861029515,38712.63065086222,20.96615956825694,445.08336973555333,179.60285488120553,5985.167071180154,14994.16053278913,16465.27003155919,6000.0,1200.0,1.8189894035458565e-12,1.1368683772161603e-13,15,0
2025-02-02,61978.681446569026,133.68417000478973,596.2610600780299,298.13053003901496,-164.4463600342252,711.7962137427878,62526.03130027759,88966.96690475209,88261.0812370203,94.01961528527977,799.9052830170582,154.33119652615997,5383.003719932738,24611.214545335446,19935.083781721718,1200.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,15,0
2025-02-03,61993.38064544234,0.0,513.4394490516296,256.7197245258148,-256.7197245258148,3120.290379518767,64856.951300435285,87681.33427693238,87062.07764520371,0.0,619.2566317286729,730.8021351186264,3030.6805325043324,23922.540777989452,19377.258030171455,1200.0,1200.0,1.8189894035458565e-12,1.1368683772161603e-13,15,0
2025-02-04,62089.01917919333,360.8052068662291,99.57897589484229,49.789487947421144,311.01571891880803,4092.496636183041,66492.53153429518,87741.46756654119,87874.39224269506,285.04088262112157,152.11620646724964,919.2796421979383,2927.230266665166,24587.25088540963,19915.6732171818,1200.0,1200.0,1.8189894035458565e-12,1.1368683772161603e-13,15,0
2025-02-05,60203.81833293913,953.5311706553841,28.621703541305475,14.310851770652738,939.2203188847315,5582.17348016902,66725.21213199288,85177.73191432768,85987.41325887674,837.8962925072916,28.214947958238085,1258.8946109058284,1992.1099256960438,23714.58400396414,19208.813043210954,1200.0,1200.0,9.094947017729282e-13,2.2737367544323206e-13,15,0
2025-02-06,61537.49066883893,0.0,1152.2852040277353,576.1426020138676,-576.1426020138676,6026.3474833064465,66987.69555013152,86922.96403029296,85602.17987350978,0.0,1320.7841567831815,1298.752108966153,2048.330307682233,24113.391884879093,19531.847426752058,1200.0,1200.0,1.8189894035458565e-12,1.1368683772161603e-13,15,0
2025-02-07,16963.744508488893,0.0,218.23898225582846,109.11949112791423,-109.11949112791423,2127.468971647909,18982.093989008885,40448.037764206354,39853.507621412995,0.0,594.5301427933582,627.3250986873907,4890.414508874645,19919.676550310913,16134.938005751837,1200.0,1200.0,1.8189894035458565e-12,1.1368683772161603e-13,15,0
2025-02-08,15623.588443376726,64.80789905764472,4.736378999346981,2.3681894996734907,62.43970955797123,2796.7838158167756,18482.811968751474,37442.32399233107,37503.49827733312,67.98725824622379,6.812973244169996,833.5801777164246,3079.8530814033397,19368.75082620811,15688.688169228571,1200.0,1200.0,9.094947017729282e-13,1.1368683772161603e-13,15,0
2025-02-09,58651.83159871738,938.7824616599066,0.0,0.0,938.7824616599066,5258.149111109888,64848.76317148717,83784.13876439414,84590.81504324914,806.6762788549868,0.0,1264.527896564812,1800.4290226085245,23681.56816073029,19182.070210191538,1200.0,1200.0,1.8189894035458565e-12,1.1368683772161603e-13,15,0
2025-02-10,56628.519185485624,19.415735633710295,1533.3669186509997,766.6834593254998,-747.2677236917896,2257.225048548732,58138.47651034257,83284.03475871462,81228.31182098012,14.547540387652589,2070.270478122162,610.1279462546574,3171.8565904810403,22841.81891273894,18501.873319318544,1200.0,1200.0,1.8189894035458565e-12,1.1368683772161603e-13,15,0
